item,cond,adjunct,contrast,pronoun,og_sent,sent,target
24,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"Before sending himself the secret contract, Rachel repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending himself the secret contract,",Mary
1,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone offered him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry, the",guy
1,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone offered her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry,",Larry
1,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry,",Samuel
1,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry,",Kevin
1,CATAMARAN2-REF-Match,Reflexive,Match,himself,"Before offering himself a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering himself a fancy pastry,",Kevin
1,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"Before offering herself a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering herself a fancy pastry,",Kevin
2,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While a parent drove him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday,",Steven
2,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While a parent drove her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday,",Alexander
2,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday,",Christopher
2,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday,",Frank
2,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While driving himself to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving himself to school on Friday,",Frank
2,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While driving herself to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving herself to school on Friday,",Frank
3,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an employee baked him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies,",Brett
3,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an employee baked her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies,",Dennis
3,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies,",Carlos
3,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies,",Phillip
3,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While baking himself some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking himself some cookies,",Phillip
3,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While baking herself some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking herself some cookies,",Phillip
4,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After an orderly lifted him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus, the",guy
4,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After an orderly lifted her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus, the",father
4,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus,",Gregory
4,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus,",Phillip
4,CATAMARAN2-REF-Match,Reflexive,Match,himself,"After lifting himself onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting himself onto the bus,",Phillip
4,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"After lifting herself onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting herself onto the bus,",Phillip
5,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before an officer interrogated him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime,",Christopher
5,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before an officer interrogated her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime,",Douglas
5,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime,",Omar
5,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime, the",nephew
5,CATAMARAN2-REF-Match,Reflexive,Match,himself,"Before interrogating himself about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating himself about the crime, the",nephew
5,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"Before interrogating herself about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating herself about the crime, the",nephew
6,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a guest embarrassed him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party,",Charles
6,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a guest embarrassed her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party,",Kevin
6,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After embarrassing him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party,",Christopher
6,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After embarrassing her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party,",Guy
6,CATAMARAN2-REF-Match,Reflexive,Match,himself,"After embarrassing himself during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing himself during the party,",Guy
6,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"After embarrassing herself during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing herself during the party,",Guy
7,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an intern helped him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents,",Jason
7,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an intern helped her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents,",Bruce
7,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While helping him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents, the",father
7,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While helping her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents,",Bradley
7,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While helping himself shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping himself shred the documents,",Bradley
7,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While helping herself shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping herself shred the documents,",Bradley
8,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While someone read him a bedtime story, William gently gestured to Luis to turn off the lights.","While someone read him a bedtime story,",Phillip
8,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While someone read her a bedtime story, William gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story,",Samuel
8,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While reading him a bedtime story, William gently gestured to Luis to turn off the lights.","While reading him a bedtime story,",John
8,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While reading her a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her a bedtime story,",Steven
8,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While reading himself a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading himself a bedtime story,",Steven
8,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While reading herself a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading herself a bedtime story,",Steven
9,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a colleague cornered him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler,",Bruce
9,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a colleague cornered her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler,",Bradley
9,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After cornering him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler, the",nephew
9,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After cornering her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler,",Keith
9,CATAMARAN2-REF-Match,Reflexive,Match,himself,"After cornering himself next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering himself next to the water cooler,",Keith
9,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"After cornering herself next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering herself next to the water cooler,",Keith
10,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a nurse weighed him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After a nurse weighed him on the scale,",Frank
10,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a nurse weighed her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After a nurse weighed her on the scale,",Benjamin
10,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After weighing him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale,",Michael
10,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After weighing her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale,",Christopher
10,CATAMARAN2-REF-Match,Reflexive,Match,himself,"After weighing himself on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing himself on the scale,",Christopher
10,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"After weighing herself on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing herself on the scale,",Christopher
11,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone spotted him at yoga class, Zachary secretly followed Christian around town.","Before anyone spotted him at yoga class,",Charles
11,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone spotted her at yoga class, Zachary secretly followed Kaitlyn around town.","Before anyone spotted her at yoga class,",Ronald
11,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before spotting him at yoga class, Zachary secretly followed Christian around town.","Before spotting him at yoga class,",Charles
11,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before spotting her at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting her at yoga class,",Ronald
11,CATAMARAN2-REF-Match,Reflexive,Match,himself,"Before spotting himself at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting himself at yoga class,",Ronald
11,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"Before spotting herself at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting herself at yoga class,",Ronald
12,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before friends visited him on Sunday afternoons, Benjamin usually called Jason up to confirm that they were still free.","Before friends visited him on Sunday afternoons,",Guy
12,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before friends visited her on Sunday afternoons, Benjamin usually called Mary up to confirm that they were still free.","Before friends visited her on Sunday afternoons,",Martin
12,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before visiting him on Sunday afternoons, Benjamin usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons,",Chad
12,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before visiting her on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons,",Travis
12,CATAMARAN2-REF-Match,Reflexive,Match,himself,"Before visiting himself on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting himself on Sunday afternoons,",Travis
12,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"Before visiting herself on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting herself on Sunday afternoons,",Travis
13,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a professor had her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After a professor had her in multiple classes, the",waitress
13,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a professor had him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After a professor had him in multiple classes,",Denise
13,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After having her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes,",Sheila
13,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After having him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes,",Elizabeth
13,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After having herself in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having herself in multiple classes,",Elizabeth
13,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After having himself in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having himself in multiple classes,",Elizabeth
14,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a stranger bought her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After a stranger bought her a pumpkin-spice latte,",Tara
14,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a stranger bought him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After a stranger bought him a pumpkin-spice latte, the",girlfriend
14,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After buying her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte,",Grace
14,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After buying him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte,",Cheryl
14,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After buying herself a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying herself a pumpkin-spice latte,",Cheryl
14,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After buying himself a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying himself a pumpkin-spice latte,",Cheryl
15,CATAMARAN2-FIN-Match,No Constraint,Match,her,"While someone writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While someone writing her a reminder note,",Julia
15,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"While someone writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While someone writing him a reminder note, the",girlfriend
15,CATAMARAN2-OBJ-Match,Constraint,Match,her,"While writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note,",Natalie
15,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"While writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note,",Naomi
15,CATAMARAN2-REF-Match,Reflexive,Match,herself,"While writing herself a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing herself a reminder note,",Naomi
15,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"While writing himself a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing himself a reminder note,",Naomi
16,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a waiter poured her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After a waiter poured her some hot tea,",Tiffany
16,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a waiter poured him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After a waiter poured him some hot tea,",Sally
16,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After pouring her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea,",Kristen
16,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After pouring him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea,",Connie
16,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After pouring herself some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring herself some hot tea,",Connie
16,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After pouring himself some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring himself some hot tea,",Connie
17,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a volunteer left her a voice message, Stephanie also sent Marissa a text containing the same information.","After a volunteer left her a voice message,",Kristen
17,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a volunteer left him a voice message, Stephanie also sent Marcus a text containing the same information.","After a volunteer left him a voice message,",Naomi
17,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After leaving her a voice message, Stephanie also sent Marissa a text containing the same information.","After leaving her a voice message,",Sally
17,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After leaving him a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving him a voice message,",Grace
17,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After leaving herself a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving herself a voice message,",Grace
17,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After leaving himself a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving himself a voice message,",Grace
18,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After someone sent her a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After someone sent her a thank-you note,",Tara
18,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After someone sent him a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After someone sent him a thank-you note,",Danielle
18,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After sending her a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After sending her a thank-you note,",Karen
18,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After sending him a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending him a thank-you note,",Ann
18,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After sending herself a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending herself a thank-you note,",Ann
18,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After sending himself a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending himself a thank-you note,",Ann
19,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before a chaperon took her kids on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before a chaperon took her kids on the roller coaster,",Linda
19,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,his,"Before a chaperon took his kids on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before a chaperon took his kids on the roller coaster,",Leslie
19,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before taking her on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster,",Natalie
19,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before taking him on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster,",Ann
19,CATAMARAN2-REF-Match,Reflexive,Match,herself,"Before taking herself on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking herself on the roller coaster,",Ann
19,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"Before taking himself on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking himself on the roller coaster,",Ann
20,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After anyone took her to a social event, Rebecca always checked with Julia to see whether they actually had a good time.","After anyone took her to a social event,",Kristen
20,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After anyone took him to a social event, Rebecca always checked with Elijah to see whether they actually had a good time.","After anyone took him to a social event,",Maria
20,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After taking her to a social event, Rebecca always checked with Julia to see whether she actually had a good time.","After taking her to a social event,",Pamela
20,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After taking him to a social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking him to a social event,",Catherine
20,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After taking herself to a social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking herself to a social event,",Catherine
20,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After taking himself to a social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking himself to a social event,",Catherine
21,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before auctioneers showed her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before auctioneers showed her any new paintings,",Cynthia
21,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"Before auctioneers showed him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before auctioneers showed him any new paintings,",Alice
21,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before showing her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings,",Naomi
21,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before showing him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings,",Carol
21,CATAMARAN2-REF-Match,Reflexive,Match,herself,"Before showing herself any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing herself any new paintings,",Carol
21,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"Before showing himself any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing himself any new paintings,",Carol
22,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a student nominated her for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After a student nominated her for class president,",Naomi
22,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a student nominated him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After a student nominated him for class president,",Lori
22,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After nominating her for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her for class president,",Laura
22,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After nominating him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the",girl
22,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After nominating herself for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating herself for class president, the",girl
22,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After nominating himself for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating himself for class president, the",girl
23,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After everyone watched her on the Voice, Kimberly immediately called up Selena to discuss some of the highlights of the performance.","After everyone watched her on the Voice,",Victoria
23,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After everyone watched him on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After everyone watched him on the Voice,",Sara
23,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After watching her on the Voice, Kimberly immediately called up Selena to discuss some of the highlights of the performance.","After watching her on the Voice,",Laura
23,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After watching him on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After watching him on the Voice,",Laura
23,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After watching herself on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After watching herself on the Voice,",Laura
23,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After watching himself on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After watching himself on the Voice,",Laura
24,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before a secretary sent her the secret contract, Rachel repeatedly made Crystal promise not to disclose the terms to anyone.","Before a secretary sent her the secret contract,",Cynthia
24,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"Before a secretary sent him the secret contract, Rachel repeatedly made Raymond promise not to disclose the terms to anyone.","Before a secretary sent him the secret contract, the",mother
24,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before sending her the secret contract, Rachel repeatedly made Crystal promise not to disclose the terms to anyone.","Before sending her the secret contract,",Wendy
24,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before sending him the secret contract, Rachel repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending him the secret contract,",Leslie
24,CATAMARAN2-REF-Match,Reflexive,Match,herself,"Before sending herself the secret contract, Rachel repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending herself the secret contract,",Leslie
24,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"Before sending himself the secret contract, Rachel repeatedly made Raymond promise not to disclose the terms to anyone.","Before sending himself the secret contract,",Leslie
1,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone offered him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before anyone offered him a fancy pastry,",Samuel
1,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone offered her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before anyone offered her a fancy pastry,",Bruce
1,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before offering him a fancy pastry, Michael politely asked Tyler whether he had any preference.","Before offering him a fancy pastry,",Dennis
1,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before offering her a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering her a fancy pastry,",Omar
1,CATAMARAN2-REF-Match,Reflexive,Match,himself,"Before offering himself a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering himself a fancy pastry,",Omar
1,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"Before offering herself a fancy pastry, Michael politely asked Emily whether he had any preference.","Before offering herself a fancy pastry,",Omar
2,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While a parent drove him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While a parent drove him to school on Friday,",Edward
2,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While a parent drove her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While a parent drove her to school on Friday,",Steven
2,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While driving him to school on Friday, Christopher casually told Juan that he would pick up everyone early for a surprise.","While driving him to school on Friday,",Ronald
2,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While driving her to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving her to school on Friday,",Andrew
2,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While driving himself to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving himself to school on Friday,",Andrew
