item,exp,pronoun,cond,contrast,sent,target,/data/EleutherAI/gpt-neo-1.3B_surp
8,1,she,m,Mismatch,"When she was jealous,",Douglas,17.26215362548828
8,1,she,f,Match,"When she was jealous,",Leslie,16.47974395751953
8,1,he,f,Mismatch,"When he was jealous,",Nicole,17.86741828918457
9,1,he,m,Match,"When he was in residence,",William,11.547167778015137
9,1,she,m,Mismatch,"When she was in residence,",Douglas,14.983529090881348
9,1,she,f,Match,"When she was in residence,",Tiffany,16.369335174560547
9,1,he,f,Mismatch,"When he was in residence,",Sharon,16.671451568603516
10,1,he,m,Match,"When he was introduced,",Steven,15.784581184387207
10,1,she,m,Mismatch,"When she was introduced,",Alexander,15.002501487731934
10,1,she,f,Match,"When she was introduced, the",granddaughter,13.86601448059082
10,1,he,f,Mismatch,"When he was introduced,",Sharon,16.838539123535156
11,1,he,m,Match,"When he arrived,",Thomas,12.150575637817383
11,1,she,m,Mismatch,"When she arrived,",Dennis,15.815448760986328
11,1,she,f,Match,"When she arrived,",Julie,14.446494102478027
11,1,he,f,Mismatch,"When he arrived,",Connie,17.165699005126953
12,1,he,m,Match,"When he felt sad,",Brett,19.2833194732666
12,1,she,m,Mismatch,"When she felt sad,",Kevin,17.151775360107422
12,1,she,f,Match,"When she felt sad,",Nicole,17.507076263427734
12,1,he,f,Mismatch,"When he felt sad,",Amanda,17.820161819458008
13,1,he,m,Match,"When he was present,",Eric,14.349178314208984
13,1,she,m,Mismatch,"When she was present,",Theodore,17.478181838989258
13,1,she,f,Match,"When she was present,",Nicole,15.313072204589844
13,1,he,f,Mismatch,"When he was present,",Naomi,17.805278778076172
14,1,he,m,Match,"When he was depressed, the",son,9.410575866699219
14,1,she,m,Mismatch,"When she was depressed,",Keith,15.478609085083008
14,1,she,f,Match,"When she was depressed,",Ellen,15.8513822555542
14,1,he,f,Mismatch,"When he was depressed,",Wendy,19.722436904907227
15,1,he,m,Match,"When he was around,",Kevin,13.425015449523926
15,1,she,m,Mismatch,"When she was around,",Keith,16.032970428466797
15,1,she,f,Match,"When she was around,",Sally,14.972352981567383
15,1,he,f,Mismatch,"When he was around,",Naomi,17.470869064331055
16,1,he,m,Match,"When he was near,",Benjamin,17.180891036987305
16,1,she,m,Mismatch,"When she was near,",Donald,15.985461235046387
16,1,she,f,Match,"When she was near,",Mary,11.870952606201172
16,1,he,f,Mismatch,"When he was near,",Susan,15.97339916229248
17,1,he,m,Match,"When he was in court,",William,12.092653274536133
17,1,she,m,Mismatch,"When she was in court,",Eric,14.610751152038574
17,1,she,f,Match,"When she was in court,",Anna,13.55575180053711
17,1,he,f,Mismatch,"When he was in court,",Nicole,16.67629623413086
18,1,he,m,Match,"When he was poorly,",Mitchell,18.135522842407227
18,1,she,m,Mismatch,"When she was poorly,",Jeffrey,18.009841918945312
18,1,she,f,Match,"When she was poorly,",Julie,16.8729305267334
18,1,he,f,Mismatch,"When he was poorly,",Julia,17.061561584472656
19,1,he,m,Match,"When he arrived,",Travis,16.301820755004883
19,1,she,m,Mismatch,"When she arrived,",Ronald,16.250574111938477
19,1,she,f,Match,"When she arrived, the",sister,11.25936222076416
19,1,he,f,Mismatch,"When he arrived,",Vanessa,17.17961883544922
20,1,he,m,Match,"When he was appointed,",Eric,15.529064178466797
20,1,she,m,Mismatch,"When she was appointed,",Benjamin,15.671623229980469
20,1,she,f,Match,"When she was appointed,",Sharon,15.538716316223145
20,1,he,f,Mismatch,"When he was appointed,",Grace,16.6257381439209
21,1,he,m,Match,"When he was fired, the",nephew,14.71195125579834
21,1,she,m,Mismatch,"When she was fired,",Edward,15.409019470214844
21,1,she,f,Match,"When she was fired, the",lady,11.798279762268066
21,1,he,f,Mismatch,"When he was fired,",Danielle,17.875858306884766
22,1,he,m,Match,"When he was close,",Frank,13.723554611206055
22,1,she,m,Mismatch,"When she was close,",Ronald,17.18729591369629
22,1,she,f,Match,"When she was close,",Tiffany,16.68440055847168
22,1,he,f,Mismatch,"When he was close, the",waitress,14.561097145080566
23,1,he,m,Match,"When he was retired,",Samuel,13.764301300048828
23,1,she,m,Mismatch,"When she was retired,",Steven,16.125144958496094
23,1,she,f,Match,"When she was retired, the",sister,11.222091674804688
23,1,he,f,Mismatch,"When he was retired,",Victoria,15.894533157348633
24,1,he,m,Match,"When he was abroad,",Derek,18.539108276367188
24,1,she,m,Mismatch,"When she was abroad,",Carlos,16.789236068725586
24,1,she,f,Match,"When she was abroad,",Elizabeth,12.778563499450684
24,1,he,f,Mismatch,"When he was abroad,",Meredith,18.545759201049805
25,1,he,m,Match,"When he was discovered,",Jason,15.049834251403809
25,1,she,m,Mismatch,"When she was discovered,",Eric,14.887277603149414
25,1,she,f,Match,"When she was discovered, the",waitress,13.801758766174316
25,1,he,f,Mismatch,"When he was discovered,",Beth,16.720064163208008
26,1,he,m,Match,"When he was busy,",Carlos,16.045793533325195
26,1,she,m,Mismatch,"When she was busy,",Todd,16.892578125
26,1,she,f,Match,"When she was busy,",Grace,13.945611000061035
26,1,he,f,Mismatch,"When he was busy,",Susan,14.726728439331055
27,1,he,m,Match,"When he was twenty-one,",Walter,13.560931205749512
27,1,she,m,Mismatch,"When she was twenty-one,",Phillip,16.371456146240234
27,1,she,f,Match,"When she was twenty-one,",Ellen,12.758659362792969
27,1,he,f,Mismatch,"When he was twenty-one, the",girlfriend,14.091979026794434
28,1,he,m,Match,"When he was annoyed,",Travis,18.518747329711914
28,1,she,m,Mismatch,"When she was annoyed,",Bradley,19.23239517211914
28,1,she,f,Match,"When she was annoyed,",Beth,16.09493064880371
28,1,he,f,Mismatch,"When he was annoyed,",Maria,14.216733932495117
29,1,he,m,Match,"When he was in church,",Roger,15.100685119628906
29,1,she,m,Mismatch,"When she was in church,",Martin,15.009977340698242
29,1,she,f,Match,"When she was in church,",Alice,12.647703170776367
29,1,he,f,Mismatch,"When he was in church,",Naomi,17.824209213256836
30,1,he,m,Match,"When he was banished,",Rodney,19.277259826660156
30,1,she,m,Mismatch,"When she was banished,",Steven,18.6085262298584
30,1,she,f,Match,"When she was banished,",Anne,12.94489574432373
30,1,he,f,Mismatch,"When he was banished, the",lady,10.89594841003418
31,1,he,m,Match,"When he was angry,",Bruce,16.179323196411133
31,1,she,m,Mismatch,"When she was angry,",Carlos,16.846431732177734
31,1,she,f,Match,"When she was angry,",Sarah,13.15222454071045
31,1,he,f,Mismatch,"When he was angry,",Laura,16.09008026123047
32,1,he,m,Match,"When he was distraught,",Charles,12.886098861694336
32,1,she,m,Mismatch,"When she was distraught,",Christopher,16.431598663330078
32,1,she,f,Match,"When she was distraught,",Alice,13.54619312286377
32,1,he,f,Mismatch,"When he was distraught, the",sister,11.895665168762207
1,1,he,m,Match,"When he was off work,",Charles,13.343730926513672
1,1,she,m,Mismatch,"When she was off work, the",grandson,14.722576141357422
1,1,she,f,Match,"When she was off work,",Danielle,14.444868087768555
1,1,he,f,Mismatch,"When he was off work,",Laurie,16.729080200195312
2,1,he,m,Match,"When he arrived, the",boy,7.735547065734863
2,1,she,m,Mismatch,"When she arrived,",Chad,17.52301025390625
2,1,she,f,Match,"When she arrived,",Veronica,15.717284202575684
2,1,he,f,Mismatch,"When he arrived,",Ellen,14.885534286499023
3,1,he,m,Match,"When he was fed up,",Eric,15.21920108795166
3,1,she,m,Mismatch,"When she was fed up,",Edward,14.573579788208008
3,1,she,f,Match,"When she was fed up,",Florence,16.83861541748047
3,1,he,f,Mismatch,"When he was fed up,",Anna,15.527739524841309
4,1,he,m,Match,"When he was talking,",Christopher,16.08734893798828
4,1,she,m,Mismatch,"When she was talking,",Travis,17.8369083404541
4,1,she,f,Match,"When she was talking,",Suzanne,16.666484832763672
4,1,he,f,Mismatch,"When he was talking,",Stephanie,17.447776794433594
5,1,he,m,Match,"When he was nearby,",Phillip,17.081098556518555
5,1,she,m,Mismatch,"When she was nearby,",Omar,17.294109344482422
5,1,she,f,Match,"When she was nearby,",Patricia,16.1037540435791
5,1,he,f,Mismatch,"When he was nearby, the",granddaughter,16.55109977722168
6,1,he,m,Match,"When he was lost,",Brett,19.673059463500977
6,1,she,m,Mismatch,"When she was lost,",Paul,13.75991439819336
6,1,she,f,Match,"When she was lost,",Cindy,16.7946720123291
6,1,he,f,Mismatch,"When he was lost, the",waitress,16.64409637451172
7,1,he,m,Match,"When he was bad-tempered,",Phillip,18.695331573486328
7,1,she,m,Mismatch,"When she was bad-tempered, the",man,7.451627254486084
7,1,she,f,Match,"When she was bad-tempered, the",granddaughter,14.24803352355957
7,1,he,f,Mismatch,"When he was bad-tempered,",Wendy,20.747413635253906
8,1,he,m,Match,"When he was jealous,",Edward,14.53509521484375
8,1,she,m,Mismatch,"When she was jealous,",Jerry,17.16938018798828
8,1,she,f,Match,"When she was jealous,",Veronica,18.407978057861328
8,1,he,f,Mismatch,"When he was jealous, the",sister,11.231762886047363
9,1,he,m,Match,"When he was in residence,",George,11.826727867126465
9,1,she,m,Mismatch,"When she was in residence,",Patrick,15.27257251739502
9,1,she,f,Match,"When she was in residence,",Jill,16.066694259643555
9,1,he,f,Mismatch,"When he was in residence,",Meredith,18.16391372680664
10,1,he,m,Match,"When he was introduced,",William,12.299054145812988
10,1,she,m,Mismatch,"When she was introduced,",Douglas,16.242694854736328
10,1,she,f,Match,"When she was introduced,",Tara,15.22336483001709
10,1,he,f,Mismatch,"When he was introduced,",Jill,17.37847900390625
11,1,he,m,Match,"When he arrived,",Keith,15.153057098388672
11,1,she,m,Mismatch,"When she arrived,",Omar,16.10228729248047
11,1,she,f,Match,"When she arrived, the",grandmother,12.408462524414062
11,1,he,f,Mismatch,"When he arrived,",Anne,14.868045806884766
12,1,he,m,Match,"When he felt sad,",Andrew,15.646187782287598
12,1,she,m,Mismatch,"When she felt sad,",Adam,16.244281768798828
12,1,she,f,Match,"When she felt sad, the",lady,10.370088577270508
12,1,he,f,Mismatch,"When he felt sad,",Stephanie,18.45823097229004
13,1,he,m,Match,"When he was present,",Carlos,15.524548530578613
13,1,she,m,Mismatch,"When she was present,",Omar,17.090652465820312
13,1,she,f,Match,"When she was present,",Tiffany,16.283668518066406
13,1,he,f,Mismatch,"When he was present,",Mary,12.66928482055664
14,1,he,m,Match,"When he was depressed,",Aaron,16.18600082397461
14,1,she,m,Mismatch,"When she was depressed, the",father,9.747848510742188
14,1,she,f,Match,"When she was depressed,",Laurie,19.257349014282227
14,1,he,f,Mismatch,"When he was depressed,",Susan,16.495187759399414
15,1,he,m,Match,"When he was around,",Gary,14.720077514648438
15,1,she,m,Mismatch,"When she was around,",Douglas,17.013023376464844
15,1,she,f,Match,"When she was around,",Maria,14.500268936157227
15,1,he,f,Mismatch,"When he was around,",Elizabeth,15.572736740112305
16,1,he,m,Match,"When he was near,",Jason,15.254712104797363
16,1,she,m,Mismatch,"When she was near,",Bradley,18.952178955078125
16,1,she,f,Match,"When she was near,",Diana,15.27566146850586
16,1,he,f,Mismatch,"When he was near, the",actress,16.508623123168945
17,1,he,m,Match,"When he was in court,",Paul,12.295936584472656
17,1,she,m,Mismatch,"When she was in court,",William,13.089217185974121
17,1,she,f,Match,"When she was in court, the",lady,8.746411323547363
17,1,he,f,Mismatch,"When he was in court, the",lady,9.919523239135742
18,1,he,m,Match,"When he was poorly,",Adam,15.321540832519531
18,1,she,m,Mismatch,"When she was poorly,",Andrew,16.037166595458984
18,1,she,f,Match,"When she was poorly,",Wendy,18.954805374145508
18,1,he,f,Mismatch,"When he was poorly,",Natalie,18.727094650268555
19,1,he,m,Match,"When he arrived,",Adam,13.937543869018555
19,1,she,m,Mismatch,"When she arrived,",Andrew,13.909948348999023
19,1,she,f,Match,"When she arrived,",Pamela,15.165881156921387
19,1,he,f,Mismatch,"When he arrived,",Natalie,16.631370544433594
20,1,he,m,Match,"When he was appointed,",Mitchell,16.196269989013672
20,1,she,m,Mismatch,"When she was appointed,",Brett,18.084205627441406
20,1,she,f,Match,"When she was appointed,",Carol,15.151102066040039
20,1,he,f,Mismatch,"When he was appointed,",Wendy,19.04065704345703
21,1,he,m,Match,"When he was fired,",John,10.549872398376465
21,1,she,m,Mismatch,"When she was fired,",Mark,13.448891639709473
21,1,she,f,Match,"When she was fired,",Erin,15.220340728759766
21,1,he,f,Mismatch,"When he was fired,",Meredith,16.938749313354492
22,1,he,m,Match,"When he was close,",Mitchell,16.71944808959961
22,1,she,m,Mismatch,"When she was close,",Theodore,17.31050682067871
22,1,she,f,Match,"When she was close, the",lady,9.786370277404785
22,1,he,f,Mismatch,"When he was close,",Veronica,18.10948944091797
23,1,he,m,Match,"When he was retired,",Ronald,14.925790786743164
23,1,she,m,Mismatch,"When she was retired,",Douglas,14.84951400756836
23,1,she,f,Match,"When she was retired,",Vanessa,16.704381942749023
23,1,he,f,Mismatch,"When he was retired,",Jessica,18.75576400756836
24,1,he,m,Match,"When he was abroad,",Theodore,16.6372127532959
24,1,she,m,Mismatch,"When she was abroad,",Omar,17.826526641845703
24,1,she,f,Match,"When she was abroad,",Maria,13.416322708129883
24,1,he,f,Mismatch,"When he was abroad,",Jill,18.740888595581055
25,1,he,m,Match,"When he was discovered,",Samuel,13.669954299926758
25,1,she,m,Mismatch,"When she was discovered,",Omar,17.480073928833008
25,1,she,f,Match,"When she was discovered,",Ellen,14.152873039245605
25,1,he,f,Mismatch,"When he was discovered,",Patricia,18.256391525268555
26,1,he,m,Match,"When he was busy,",Curtis,18.451358795166016
26,1,she,m,Mismatch,"When she was busy,",Paul,12.92298698425293
26,1,she,f,Match,"When she was busy,",Wendy,16.368579864501953
26,1,he,f,Mismatch,"When he was busy,",Cindy,16.918134689331055
27,1,he,m,Match,"When he was twenty-one,",Andrew,12.458253860473633
27,1,she,m,Mismatch,"When she was twenty-one,",Carlos,16.120941162109375
27,1,she,f,Match,"When she was twenty-one,",Susan,12.329594612121582
27,1,he,f,Mismatch,"When he was twenty-one,",Elizabeth,13.08607006072998
28,1,he,m,Match,"When he was annoyed, the",grandson,14.195706367492676
28,1,she,m,Mismatch,"When she was annoyed,",Douglas,17.66827964782715
28,1,she,f,Match,"When she was annoyed,",Denise,17.431560516357422
28,1,he,f,Mismatch,"When he was annoyed, the",sister,13.118833541870117
29,1,he,m,Match,"When he was in church,",Mitchell,18.04790687561035
29,1,she,m,Mismatch,"When she was in church,",Steven,16.901391983032227
29,1,she,f,Match,"When she was in church, the",lady,8.038808822631836
29,1,he,f,Mismatch,"When he was in church, the",waitress,13.9603271484375
30,1,he,m,Match,"When he was banished, the",boy,8.715343475341797
30,1,she,m,Mismatch,"When she was banished,",Ronald,18.80352210998535
30,1,she,f,Match,"When she was banished,",Connie,18.165790557861328
30,1,he,f,Mismatch,"When he was banished,",Victoria,17.93685531616211
31,1,he,m,Match,"When he was angry,",Dan,15.273219108581543
31,1,she,m,Mismatch,"When she was angry,",Omar,18.263593673706055
31,1,she,f,Match,"When she was angry,",Tara,17.864965438842773
31,1,he,f,Mismatch,"When he was angry, the",girl,8.56301212310791
32,1,he,m,Match,"When he was distraught,",Bradley,18.534276962280273
32,1,she,m,Mismatch,"When she was distraught,",Douglas,16.818119049072266
32,1,she,f,Match,"When she was distraught,",Meredith,18.21544647216797
32,1,he,f,Mismatch,"When he was distraught,",Julie,17.226551055908203
1,1,he,m,Match,"When he was off work, the",guy,8.173823356628418
1,1,she,m,Mismatch,"When she was off work,",Kenneth,17.126127243041992
1,1,she,f,Match,"When she was off work,",Leslie,13.96159839630127
1,1,he,f,Mismatch,"When he was off work,",Jane,14.494190216064453
2,1,he,m,Match,"When he arrived, the",husband,12.473262786865234
2,1,she,m,Mismatch,"When she arrived,",Martin,13.519278526306152
2,1,she,f,Match,"When she arrived,",Erin,15.516256332397461
2,1,he,f,Mismatch,"When he arrived,",Paula,15.840266227722168
3,1,he,m,Match,"When he was fed up, the",grandson,13.733967781066895
3,1,she,m,Mismatch,"When she was fed up,",Phillip,17.764896392822266
3,1,she,f,Match,"When she was fed up,",Stacy,19.268917083740234
3,1,he,f,Mismatch,"When he was fed up,",Diana,17.79104995727539
4,1,he,m,Match,"When he was talking,",Ronald,16.392066955566406
4,1,she,m,Mismatch,"When she was talking,",Aaron,15.397375106811523
4,1,she,f,Match,"When she was talking,",Alice,13.353938102722168
4,1,he,f,Mismatch,"When he was talking,",Mary,12.392769813537598
5,1,he,m,Match,"When he was nearby,",Travis,16.2596378326416
5,1,she,m,Mismatch,"When she was nearby,",George,13.316826820373535
5,1,she,f,Match,"When she was nearby, the",grandmother,12.23840618133545
5,1,he,f,Mismatch,"When he was nearby,",Emily,15.845520973205566
6,1,he,m,Match,"When he was lost,",Theodore,17.85433578491211
6,1,she,m,Mismatch,"When she was lost,",Gary,17.17245101928711
6,1,she,f,Match,"When she was lost,",Jane,14.167949676513672
6,1,he,f,Mismatch,"When he was lost,",Ellen,16.62026023864746
7,1,he,m,Match,"When he was bad-tempered,",Mitchell,20.474172592163086
7,1,she,m,Mismatch,"When she was bad-tempered,",Peter,14.918279647827148
7,1,she,f,Match,"When she was bad-tempered,",Ruth,16.86865997314453
7,1,he,f,Mismatch,"When he was bad-tempered,",Susan,16.19200897216797
8,1,he,m,Match,"When he was jealous,",Adam,15.904640197753906
8,1,she,m,Mismatch,"When she was jealous,",Gerald,16.979345321655273
8,1,she,f,Match,"When she was jealous, the",actress,11.791539192199707
8,1,he,f,Mismatch,"When he was jealous,",Danielle,20.36502456665039
9,1,he,m,Match,"When he was in residence,",Raymond,15.349204063415527
9,1,she,m,Mismatch,"When she was in residence,",Curtis,16.492630004882812
9,1,she,f,Match,"When she was in residence,",Tara,14.843040466308594
9,1,he,f,Mismatch,"When he was in residence,",Jane,15.079216957092285
10,1,he,m,Match,"When he was introduced,",Paul,11.979415893554688
10,1,she,m,Mismatch,"When she was introduced,",Travis,17.42148780822754
10,1,she,f,Match,"When she was introduced,",Caroline,14.645735740661621
10,1,he,f,Mismatch,"When he was introduced,",Rachel,15.925378799438477
11,1,he,m,Match,"When he arrived,",Jason,14.032465934753418
11,1,she,m,Mismatch,"When she arrived,",Curtis,16.873098373413086
11,1,she,f,Match,"When she arrived,",Samantha,14.607580184936523
11,1,he,f,Mismatch,"When he arrived,",Grace,14.789694786071777
12,1,he,m,Match,"When he felt sad,",Kenneth,18.233041763305664
12,1,she,m,Mismatch,"When she felt sad, the",boy,8.19721794128418
12,1,she,f,Match,"When she felt sad,",Sandra,18.505203247070312
12,1,he,f,Mismatch,"When he felt sad,",Mary,14.30224609375
13,1,he,m,Match,"When he was present,",Aaron,15.171292304992676
13,1,she,m,Mismatch,"When she was present,",Jerry,16.81865119934082
13,1,she,f,Match,"When she was present,",Donna,15.661837577819824
13,1,he,f,Mismatch,"When he was present,",Erin,17.451059341430664
14,1,he,m,Match,"When he was depressed, the",grandson,14.420735359191895
14,1,she,m,Mismatch,"When she was depressed,",Christopher,17.367042541503906
14,1,she,f,Match,"When she was depressed,",Gina,17.055919647216797
14,1,he,f,Mismatch,"When he was depressed,",Sonia,18.84423065185547
15,1,he,m,Match,"When he was around,",Bill,13.014680862426758
15,1,she,m,Mismatch,"When she was around,",Eric,14.104759216308594
15,1,she,f,Match,"When she was around,",Tara,15.171802520751953
15,1,he,f,Mismatch,"When he was around,",Nicole,15.561047554016113
16,1,he,m,Match,"When he was near,",Mark,14.453045845031738
16,1,she,m,Mismatch,"When she was near,",Keith,18.377775192260742
16,1,she,f,Match,"When she was near,",Sonia,18.67083740234375
16,1,he,f,Mismatch,"When he was near,",Kathleen,18.904916763305664
17,1,he,m,Match,"When he was in court,",Curtis,17.66881561279297
17,1,she,m,Mismatch,"When she was in court,",Gary,16.232637405395508
17,1,she,f,Match,"When she was in court, the",granddaughter,15.059365272521973
17,1,he,f,Mismatch,"When he was in court,",Erin,17.74674415588379
18,1,he,m,Match,"When he was poorly, the",brother,11.474162101745605
18,1,she,m,Mismatch,"When she was poorly,",Todd,17.717859268188477
18,1,she,f,Match,"When she was poorly,",Anna,14.825297355651855
18,1,he,f,Mismatch,"When he was poorly,",Meredith,19.250783920288086
19,1,he,m,Match,"When he arrived,",Bill,12.619891166687012
19,1,she,m,Mismatch,"When she arrived,",Bill,13.108638763427734
19,1,she,f,Match,"When she arrived,",Erin,15.516240119934082
19,1,he,f,Mismatch,"When he arrived,",Anne,14.868059158325195
20,1,he,m,Match,"When he was appointed,",Carlos,16.969280242919922
20,1,she,m,Mismatch,"When she was appointed,",Travis,19.52279281616211
20,1,she,f,Match,"When she was appointed, the",lady,8.930620193481445
20,1,he,f,Mismatch,"When he was appointed,",Rachel,17.638572692871094
21,1,he,m,Match,"When he was fired,",Phillip,16.802230834960938
21,1,she,m,Mismatch,"When she was fired,",Andrew,14.52699089050293
21,1,she,f,Match,"When she was fired,",Kathleen,13.954007148742676
21,1,he,f,Mismatch,"When he was fired,",Diana,16.525793075561523
22,1,he,m,Match,"When he was close,",Kevin,14.728499412536621
22,1,she,m,Mismatch,"When she was close,",Adam,14.285368919372559
22,1,she,f,Match,"When she was close,",Susan,13.708929061889648
22,1,he,f,Mismatch,"When he was close,",Monica,17.141223907470703
23,1,he,m,Match,"When he was retired,",Andrew,13.184618949890137
23,1,she,m,Mismatch,"When she was retired,",Dennis,15.679193496704102
23,1,she,f,Match,"When she was retired, the",lady,9.213705062866211
23,1,he,f,Mismatch,"When he was retired,",Martha,15.624258995056152
24,1,he,m,Match,"When he was abroad, the",boy,9.077722549438477
24,1,she,m,Mismatch,"When she was abroad,",Jerry,18.056249618530273
24,1,she,f,Match,"When she was abroad,",Wendy,18.15706443786621
24,1,he,f,Mismatch,"When he was abroad,",Erin,18.008678436279297
25,1,he,m,Match,"When he was discovered,",Steven,16.622947692871094
25,1,she,m,Mismatch,"When she was discovered,",George,13.164466857910156
25,1,she,f,Match,"When she was discovered,",Susan,13.836891174316406
25,1,he,f,Mismatch,"When he was discovered,",Valerie,18.68810272216797
26,1,he,m,Match,"When he was busy,",Alan,15.678793907165527
26,1,she,m,Mismatch,"When she was busy,",Daniel,15.017080307006836
26,1,she,f,Match,"When she was busy, the",granddaughter,14.631012916564941
26,1,he,f,Mismatch,"When he was busy,",Ruth,16.746896743774414
27,1,he,m,Match,"When he was twenty-one, the",boyfriend,14.127012252807617
27,1,she,m,Mismatch,"When she was twenty-one,",Eric,14.564809799194336
27,1,she,f,Match,"When she was twenty-one,",Barbara,13.23930549621582
27,1,he,f,Mismatch,"When he was twenty-one,",Alice,14.406793594360352
28,1,he,m,Match,"When he was annoyed,",Vincent,15.210822105407715
28,1,she,m,Mismatch,"When she was annoyed,",Ronald,18.57162094116211
28,1,she,f,Match,"When she was annoyed,",Barbara,15.246292114257812
28,1,he,f,Mismatch,"When he was annoyed, the",granddaughter,16.713462829589844
29,1,he,m,Match,"When he was in church, the",brother,11.189903259277344
29,1,she,m,Mismatch,"When she was in church,",Ronald,17.665813446044922
29,1,she,f,Match,"When she was in church,",Victoria,15.333823204040527
29,1,he,f,Mismatch,"When he was in church, the",granddaughter,15.979931831359863
30,1,he,m,Match,"When he was banished,",Bill,15.710305213928223
30,1,she,m,Mismatch,"When she was banished,",Jeffrey,17.681020736694336
30,1,she,f,Match,"When she was banished,",Susan,14.225293159484863
30,1,he,f,Mismatch,"When he was banished,",Ellen,16.73118019104004
31,1,he,m,Match,"When he was angry,",Todd,17.484487533569336
31,1,she,m,Mismatch,"When she was angry,",William,14.487458229064941
31,1,she,f,Match,"When she was angry,",Jessica,15.598108291625977
31,1,he,f,Mismatch,"When he was angry,",Connie,20.341264724731445
32,1,he,m,Match,"When he was distraught,",Travis,18.057283401489258
32,1,she,m,Mismatch,"When she was distraught,",Eric,14.627449035644531
32,1,she,f,Match,"When she was distraught,",Diana,15.60419750213623
32,1,he,f,Mismatch,"When he was distraught,",Laurie,19.36136245727539
1,1,he,m,Match,"When he was off work,",Mitchell,15.121822357177734
1,1,she,m,Mismatch,"When she was off work,",Jerry,15.613677024841309
1,1,she,f,Match,"When she was off work,",Alice,12.893525123596191
1,1,he,f,Mismatch,"When he was off work,",Paula,15.870099067687988
2,1,he,m,Match,"When he arrived, the",brother,11.579212188720703
2,1,she,m,Mismatch,"When she arrived,",Frank,13.03501033782959
2,1,she,f,Match,"When she arrived,",Barbara,14.129836082458496
2,1,he,f,Mismatch,"When he arrived, the",grandmother,14.523255348205566
3,1,he,m,Match,"When he was fed up,",Kenneth,18.071775436401367
3,1,she,m,Mismatch,"When she was fed up,",Kenneth,18.587358474731445
3,1,she,f,Match,"When she was fed up,",Andrea,15.868694305419922
3,1,he,f,Mismatch,"When he was fed up,",Laurie,20.134489059448242
4,1,he,m,Match,"When he was talking,",Jeffrey,16.73171043395996
4,1,she,m,Mismatch,"When she was talking,",Adam,14.934761047363281
4,1,she,f,Match,"When she was talking,",Anna,13.146925926208496
4,1,he,f,Mismatch,"When he was talking,",Anne,14.793280601501465
5,1,he,m,Match,"When he was nearby,",Theodore,16.30841064453125
5,1,she,m,Mismatch,"When she was nearby, the",brother,12.001405715942383
5,1,she,f,Match,"When she was nearby,",Katherine,16.203210830688477
5,1,he,f,Mismatch,"When he was nearby,",Rebecca,16.624183654785156
6,1,he,m,Match,"When he was lost,",Jerry,17.216951370239258
6,1,she,m,Mismatch,"When she was lost,",Bill,14.792603492736816
6,1,she,f,Match,"When she was lost,",Valerie,17.331594467163086
6,1,he,f,Mismatch,"When he was lost,",April,16.922452926635742
7,1,he,m,Match,"When he was bad-tempered, the",brother,10.674816131591797
7,1,she,m,Mismatch,"When she was bad-tempered,",Lawrence,19.215177536010742
7,1,she,f,Match,"When she was bad-tempered,",Barbara,14.907102584838867
7,1,he,f,Mismatch,"When he was bad-tempered,",Sonia,19.17924690246582
8,1,he,m,Match,"When he was jealous,",Todd,18.261449813842773
8,1,she,m,Mismatch,"When she was jealous,",Craig,18.503774642944336
8,1,she,f,Match,"When she was jealous,",Monica,16.275590896606445
8,1,he,f,Mismatch,"When he was jealous,",Wendy,18.152135848999023
9,1,he,m,Match,"When he was in residence,",Lawrence,14.176056861877441
9,1,she,m,Mismatch,"When she was in residence,",Alan,15.567070960998535
9,1,she,f,Match,"When she was in residence, the",grandmother,11.07763385772705
9,1,he,f,Mismatch,"When he was in residence,",Paula,17.085466384887695
10,1,he,m,Match,"When he was introduced,",Roger,14.402766227722168
10,1,she,m,Mismatch,"When she was introduced,",Kenneth,16.6687068939209
10,1,she,f,Match,"When she was introduced,",Jessica,14.04527759552002
10,1,he,f,Mismatch,"When he was introduced, the",waitress,13.480631828308105
11,1,he,m,Match,"When he arrived,",Frank,12.48908805847168
11,1,she,m,Mismatch,"When she arrived,",Alan,14.691474914550781
11,1,she,f,Match,"When she arrived,",Allison,15.638952255249023
11,1,he,f,Mismatch,"When he arrived,",Victoria,15.685314178466797
12,1,he,m,Match,"When he felt sad,",Paul,13.281249046325684
12,1,she,m,Mismatch,"When she felt sad, the",husband,11.623766899108887
12,1,she,f,Match,"When she felt sad,",Jane,15.586012840270996
12,1,he,f,Mismatch,"When he felt sad,",Grace,17.699806213378906
13,1,he,m,Match,"When he was present,",Gary,15.877847671508789
13,1,she,m,Mismatch,"When she was present,",Gary,16.518409729003906
13,1,she,f,Match,"When she was present,",Victoria,15.133176803588867
13,1,he,f,Mismatch,"When he was present,",Laurie,17.802257537841797
14,1,he,m,Match,"When he was depressed,",Gary,16.866226196289062
14,1,she,m,Mismatch,"When she was depressed,",Dan,16.850584030151367
14,1,she,f,Match,"When she was depressed,",Valerie,16.59271812438965
14,1,he,f,Mismatch,"When he was depressed, the",actress,12.533537864685059
15,1,he,m,Match,"When he was around,",Alan,14.643045425415039
15,1,she,m,Mismatch,"When she was around,",Mitchell,16.65283203125
15,1,she,f,Match,"When she was around,",Melanie,16.202627182006836
15,1,he,f,Mismatch,"When he was around,",Natalie,16.40298080444336
