item,exp,pronoun,cond,contrast,sent,target,model,surp
23,1,she,f,Match,"When she was retired, the",lady,gpt2-xl,10.743908882141112
23,1,he,f,Mismatch,"When he was retired,",Martha,gpt2-xl,15.949393272399902
24,1,he,m,Match,"When he was abroad, the",boy,gpt2-xl,8.965008735656738
24,1,she,m,Mismatch,"When she was abroad,",Jerry,gpt2-xl,15.701003074645996
24,1,she,f,Match,"When she was abroad,",Wendy,gpt2-xl,15.069113731384276
24,1,he,f,Mismatch,"When he was abroad,",Erin,gpt2-xl,16.776866912841797
25,1,he,m,Match,"When he was discovered,",Steven,gpt2-xl,15.744656562805176
25,1,she,m,Mismatch,"When she was discovered,",George,gpt2-xl,14.144372940063477
25,1,she,f,Match,"When she was discovered,",Susan,gpt2-xl,14.683155059814451
25,1,he,f,Mismatch,"When he was discovered,",Valerie,gpt2-xl,18.69517517089844
26,1,he,m,Match,"When he was busy,",Alan,gpt2-xl,15.900344848632812
26,1,she,m,Mismatch,"When she was busy,",Daniel,gpt2-xl,14.033019065856934
26,1,she,f,Match,"When she was busy, the",granddaughter,gpt2-xl,14.34719467163086
26,1,he,f,Mismatch,"When he was busy,",Ruth,gpt2-xl,15.245294570922852
27,1,he,m,Match,"When he was twenty-one, the",boyfriend,gpt2-xl,13.23770809173584
27,1,she,m,Mismatch,"When she was twenty-one,",Eric,gpt2-xl,13.907620429992676
27,1,she,f,Match,"When she was twenty-one,",Barbara,gpt2-xl,13.023197174072266
27,1,he,f,Mismatch,"When he was twenty-one,",Alice,gpt2-xl,14.184361457824709
28,1,he,m,Match,"When he was annoyed,",Vincent,gpt2-xl,16.229440689086914
28,1,she,m,Mismatch,"When she was annoyed,",Ronald,gpt2-xl,16.29250144958496
28,1,she,f,Match,"When she was annoyed,",Barbara,gpt2-xl,15.035991668701172
28,1,he,f,Mismatch,"When he was annoyed, the",granddaughter,gpt2-xl,15.6672945022583
29,1,he,m,Match,"When he was in church, the",brother,gpt2-xl,10.682380676269531
29,1,she,m,Mismatch,"When she was in church,",Ronald,gpt2-xl,16.21302604675293
29,1,she,f,Match,"When she was in church,",Victoria,gpt2-xl,16.41622543334961
29,1,he,f,Mismatch,"When he was in church, the",granddaughter,gpt2-xl,17.049530029296875
30,1,he,m,Match,"When he was banished,",Bill,gpt2-xl,14.359901428222656
30,1,she,m,Mismatch,"When she was banished,",Jeffrey,gpt2-xl,17.390522003173828
30,1,she,f,Match,"When she was banished,",Susan,gpt2-xl,13.634464263916016
30,1,he,f,Mismatch,"When he was banished,",Ellen,gpt2-xl,17.6915225982666
31,1,he,m,Match,"When he was angry,",Todd,gpt2-xl,16.881044387817383
31,1,she,m,Mismatch,"When she was angry,",William,gpt2-xl,14.685147285461426
31,1,she,f,Match,"When she was angry,",Jessica,gpt2-xl,15.16067600250244
31,1,he,f,Mismatch,"When he was angry,",Connie,gpt2-xl,17.218549728393555
32,1,he,m,Match,"When he was distraught,",Travis,gpt2-xl,16.112552642822266
32,1,she,m,Mismatch,"When she was distraught,",Eric,gpt2-xl,15.338175773620604
32,1,she,f,Match,"When she was distraught,",Diana,gpt2-xl,15.800633430480955
32,1,he,f,Mismatch,"When he was distraught,",Laurie,gpt2-xl,18.09171295166016
1,1,he,m,Match,"When he was off work,",Mitchell,gpt2-xl,15.422611236572266
1,1,she,m,Mismatch,"When she was off work,",Jerry,gpt2-xl,14.890578269958496
1,1,she,f,Match,"When she was off work,",Alice,gpt2-xl,14.934856414794922
1,1,he,f,Mismatch,"When he was off work,",Paula,gpt2-xl,16.55405044555664
2,1,he,m,Match,"When he arrived, the",brother,gpt2-xl,11.898667335510254
2,1,she,m,Mismatch,"When she arrived,",Frank,gpt2-xl,12.981603622436523
2,1,she,f,Match,"When she arrived,",Barbara,gpt2-xl,13.743049621582031
2,1,he,f,Mismatch,"When he arrived, the",grandmother,gpt2-xl,13.312944412231444
3,1,he,m,Match,"When he was fed up,",Kenneth,gpt2-xl,17.524093627929688
3,1,she,m,Mismatch,"When she was fed up,",Kenneth,gpt2-xl,18.076828002929688
3,1,she,f,Match,"When she was fed up,",Andrea,gpt2-xl,14.457803726196287
3,1,he,f,Mismatch,"When he was fed up,",Laurie,gpt2-xl,18.14722442626953
4,1,he,m,Match,"When he was talking,",Jeffrey,gpt2-xl,17.089122772216797
4,1,she,m,Mismatch,"When she was talking,",Adam,gpt2-xl,13.752062797546388
4,1,she,f,Match,"When she was talking,",Anna,gpt2-xl,10.618228912353516
4,1,he,f,Mismatch,"When he was talking,",Anne,gpt2-xl,15.875518798828123
5,1,he,m,Match,"When he was nearby,",Theodore,gpt2-xl,16.02324676513672
5,1,she,m,Mismatch,"When she was nearby, the",brother,gpt2-xl,11.516145706176758
5,1,she,f,Match,"When she was nearby,",Katherine,gpt2-xl,15.293063163757324
5,1,he,f,Mismatch,"When he was nearby,",Rebecca,gpt2-xl,15.10560703277588
6,1,he,m,Match,"When he was lost,",Jerry,gpt2-xl,16.062854766845703
6,1,she,m,Mismatch,"When she was lost,",Bill,gpt2-xl,13.492486000061035
6,1,she,f,Match,"When she was lost,",Valerie,gpt2-xl,18.317235946655277
6,1,he,f,Mismatch,"When he was lost,",April,gpt2-xl,15.357595443725586
7,1,he,m,Match,"When he was bad-tempered, the",brother,gpt2-xl,11.543739318847656
7,1,she,m,Mismatch,"When she was bad-tempered,",Lawrence,gpt2-xl,17.112712860107422
7,1,she,f,Match,"When she was bad-tempered,",Barbara,gpt2-xl,15.769076347351074
7,1,he,f,Mismatch,"When he was bad-tempered,",Sonia,gpt2-xl,18.91518783569336
8,1,he,m,Match,"When he was jealous,",Todd,gpt2-xl,17.33188247680664
8,1,she,m,Mismatch,"When she was jealous,",Craig,gpt2-xl,17.022390365600586
8,1,she,f,Match,"When she was jealous,",Monica,gpt2-xl,15.985713005065918
8,1,he,f,Mismatch,"When he was jealous,",Wendy,gpt2-xl,18.40585327148437
9,1,he,m,Match,"When he was in residence,",Lawrence,gpt2-xl,13.4628324508667
9,1,she,m,Mismatch,"When she was in residence,",Alan,gpt2-xl,15.327374458312988
9,1,she,f,Match,"When she was in residence, the",grandmother,gpt2-xl,12.469457626342772
9,1,he,f,Mismatch,"When he was in residence,",Paula,gpt2-xl,16.188018798828125
10,1,he,m,Match,"When he was introduced,",Roger,gpt2-xl,13.604362487792969
10,1,she,m,Mismatch,"When she was introduced,",Kenneth,gpt2-xl,15.674113273620604
10,1,she,f,Match,"When she was introduced,",Jessica,gpt2-xl,12.353707313537598
10,1,he,f,Mismatch,"When he was introduced, the",waitress,gpt2-xl,12.806448936462402
11,1,he,m,Match,"When he arrived,",Frank,gpt2-xl,12.778963088989258
11,1,she,m,Mismatch,"When she arrived,",Alan,gpt2-xl,14.393009185791016
11,1,she,f,Match,"When she arrived,",Allison,gpt2-xl,14.323460578918455
11,1,he,f,Mismatch,"When he arrived,",Victoria,gpt2-xl,15.4567289352417
12,1,he,m,Match,"When he felt sad,",Paul,gpt2-xl,13.482743263244627
12,1,she,m,Mismatch,"When she felt sad, the",husband,gpt2-xl,10.669697761535645
12,1,she,f,Match,"When she felt sad,",Jane,gpt2-xl,13.731738090515137
12,1,he,f,Mismatch,"When he felt sad,",Grace,gpt2-xl,18.08488273620605
13,1,he,m,Match,"When he was present,",Gary,gpt2-xl,14.937606811523438
13,1,she,m,Mismatch,"When she was present,",Gary,gpt2-xl,14.708137512207031
13,1,she,f,Match,"When she was present,",Victoria,gpt2-xl,13.806663513183594
13,1,he,f,Mismatch,"When he was present,",Laurie,gpt2-xl,17.922109603881836
14,1,he,m,Match,"When he was depressed,",Gary,gpt2-xl,15.957642555236816
14,1,she,m,Mismatch,"When she was depressed,",Dan,gpt2-xl,14.883444786071776
14,1,she,f,Match,"When she was depressed,",Valerie,gpt2-xl,14.922414779663086
14,1,he,f,Mismatch,"When he was depressed, the",actress,gpt2-xl,11.800135612487791
15,1,he,m,Match,"When he was around,",Alan,gpt2-xl,15.385512351989746
15,1,she,m,Mismatch,"When she was around,",Mitchell,gpt2-xl,16.827821731567383
15,1,she,f,Match,"When she was around,",Melanie,gpt2-xl,16.003389358520508
15,1,he,f,Mismatch,"When he was around,",Natalie,gpt2-xl,16.630615234375
16,1,he,m,Match,"When he was near,",Carlos,gpt2-xl,16.88970184326172
16,1,she,m,Mismatch,"When she was near,",Ronald,gpt2-xl,15.764463424682615
16,1,she,f,Match,"When she was near,",Laurie,gpt2-xl,17.365299224853516
16,1,he,f,Mismatch,"When he was near,",Heidi,gpt2-xl,17.971923828125
17,1,he,m,Match,"When he was in court, the",husband,gpt2-xl,12.106226921081545
17,1,she,m,Mismatch,"When she was in court,",George,gpt2-xl,13.539064407348633
17,1,she,f,Match,"When she was in court,",Veronica,gpt2-xl,16.74545669555664
17,1,he,f,Mismatch,"When he was in court,",Gina,gpt2-xl,17.626861572265625
18,1,he,m,Match,"When he was poorly, the",boyfriend,gpt2-xl,15.273200988769531
18,1,she,m,Mismatch,"When she was poorly,",Gary,gpt2-xl,16.202274322509766
18,1,she,f,Match,"When she was poorly,",Samantha,gpt2-xl,15.763219833374023
18,1,he,f,Mismatch,"When he was poorly,",Florence,gpt2-xl,18.686119079589844
19,1,he,m,Match,"When he arrived,",George,gpt2-xl,12.320772171020508
19,1,she,m,Mismatch,"When she arrived,",Stephen,gpt2-xl,13.738872528076172
19,1,she,f,Match,"When she arrived,",Carolyn,gpt2-xl,15.590869903564451
19,1,he,f,Mismatch,"When he arrived,",Tiffany,gpt2-xl,16.512845993041992
20,1,he,m,Match,"When he was appointed,",William,gpt2-xl,12.60936450958252
20,1,she,m,Mismatch,"When she was appointed, the",grandson,gpt2-xl,16.32240867614746
20,1,she,f,Match,"When she was appointed,",Victoria,gpt2-xl,14.022305488586426
20,1,he,f,Mismatch,"When he was appointed,",Ellen,gpt2-xl,16.577783584594727
21,1,he,m,Match,"When he was fired,",Bill,gpt2-xl,11.05940055847168
21,1,she,m,Mismatch,"When she was fired,",Adam,gpt2-xl,14.60865879058838
21,1,she,f,Match,"When she was fired,",Martha,gpt2-xl,16.390073776245117
21,1,he,f,Mismatch,"When he was fired,",Susan,gpt2-xl,14.640425682067873
22,1,he,m,Match,"When he was close,",Paul,gpt2-xl,13.668170928955078
22,1,she,m,Mismatch,"When she was close,",Todd,gpt2-xl,15.814078330993652
22,1,she,f,Match,"When she was close,",Ruth,gpt2-xl,15.2576322555542
22,1,he,f,Mismatch,"When he was close,",Jessica,gpt2-xl,15.879680633544922
23,1,he,m,Match,"When he was retired,",Omar,gpt2-xl,16.38932228088379
23,1,she,m,Mismatch,"When she was retired,",Theodore,gpt2-xl,15.940537452697754
23,1,she,f,Match,"When she was retired,",Florence,gpt2-xl,15.10787868499756
23,1,he,f,Mismatch,"When he was retired,",Katherine,gpt2-xl,16.50435447692871
24,1,he,m,Match,"When he was abroad,",Kenneth,gpt2-xl,16.446796417236328
24,1,she,m,Mismatch,"When she was abroad,",Curtis,gpt2-xl,18.0228271484375
24,1,she,f,Match,"When she was abroad,",Diana,gpt2-xl,13.909320831298828
24,1,he,f,Mismatch,"When he was abroad,",Caroline,gpt2-xl,16.330198287963867
25,1,he,m,Match,"When he was discovered,",Paul,gpt2-xl,12.97011661529541
25,1,she,m,Mismatch,"When she was discovered, the",brother,gpt2-xl,12.214850425720217
25,1,she,f,Match,"When she was discovered,",Heidi,gpt2-xl,16.190284729003906
25,1,he,f,Mismatch,"When he was discovered,",Carolyn,gpt2-xl,17.99872589111328
26,1,he,m,Match,"When he was busy, the",brother,gpt2-xl,11.993812561035156
26,1,she,m,Mismatch,"When she was busy,",Roger,gpt2-xl,15.476580619812012
26,1,she,f,Match,"When she was busy,",Ruth,gpt2-xl,14.909517288208008
26,1,he,f,Mismatch,"When he was busy,",Patricia,gpt2-xl,16.398649215698242
27,1,he,m,Match,"When he was twenty-one,",Derek,gpt2-xl,15.834962844848633
27,1,she,m,Mismatch,"When she was twenty-one,",Gary,gpt2-xl,15.17409610748291
27,1,she,f,Match,"When she was twenty-one,",Caroline,gpt2-xl,13.192975044250488
27,1,he,f,Mismatch,"When he was twenty-one,",Julia,gpt2-xl,14.18698501586914
28,1,he,m,Match,"When he was annoyed,",Bill,gpt2-xl,12.800585746765137
28,1,she,m,Mismatch,"When she was annoyed,",Omar,gpt2-xl,18.094532012939453
28,1,she,f,Match,"When she was annoyed,",Laurie,gpt2-xl,17.724245071411133
28,1,he,f,Mismatch,"When he was annoyed,",Laurie,gpt2-xl,18.080890655517575
29,1,he,m,Match,"When he was in church,",Derek,gpt2-xl,18.48579788208008
29,1,she,m,Mismatch,"When she was in church,",Douglas,gpt2-xl,18.05448341369629
29,1,she,f,Match,"When she was in church,",Sonia,gpt2-xl,17.64738655090332
29,1,he,f,Mismatch,"When he was in church,",Valerie,gpt2-xl,18.84544563293457
30,1,he,m,Match,"When he was banished,",Alan,gpt2-xl,15.792040824890137
30,1,she,m,Mismatch,"When she was banished,",Derek,gpt2-xl,18.207996368408203
30,1,she,f,Match,"When she was banished,",Erin,gpt2-xl,14.849091529846191
30,1,he,f,Mismatch,"When he was banished,",Sonia,gpt2-xl,18.393281936645508
31,1,he,m,Match,"When he was angry,",Daniel,gpt2-xl,15.432103157043455
31,1,she,m,Mismatch,"When she was angry,",Todd,gpt2-xl,16.564836502075195
31,1,she,f,Match,"When she was angry,",Erin,gpt2-xl,14.234384536743164
31,1,he,f,Mismatch,"When he was angry,",Julia,gpt2-xl,16.20716094970703
32,1,he,m,Match,"When he was distraught,",Paul,gpt2-xl,13.215307235717772
32,1,she,m,Mismatch,"When she was distraught, the",boy,gpt2-xl,7.083388805389404
32,1,she,f,Match,"When she was distraught,",Heidi,gpt2-xl,15.816094398498535
32,1,he,f,Mismatch,"When he was distraught,",Barbara,gpt2-xl,16.349679946899414
1,1,he,m,Match,"When he was off work,",Joel,gpt2-xl,17.04048728942871
1,1,she,m,Mismatch,"When she was off work,",Alan,gpt2-xl,16.36111068725586
1,1,she,f,Match,"When she was off work,",Rebecca,gpt2-xl,14.070723533630373
1,1,he,f,Mismatch,"When he was off work,",Stacy,gpt2-xl,17.924293518066406
2,1,he,m,Match,"When he arrived,",Raymond,gpt2-xl,14.950185775756836
2,1,she,m,Mismatch,"When she arrived,",Mitchell,gpt2-xl,14.501964569091797
2,1,she,f,Match,"When she arrived,",Samantha,gpt2-xl,14.871928215026855
2,1,he,f,Mismatch,"When he arrived,",Lisa,gpt2-xl,14.238122940063477
3,1,he,m,Match,"When he was fed up, the",boy,gpt2-xl,7.08977746963501
3,1,she,m,Mismatch,"When she was fed up,",Daniel,gpt2-xl,13.70666217803955
3,1,she,f,Match,"When she was fed up,",Lisa,gpt2-xl,13.222131729125977
3,1,he,f,Mismatch,"When he was fed up,",Jessica,gpt2-xl,16.941650390625
4,1,he,m,Match,"When he was talking,",Carlos,gpt2-xl,15.344330787658691
4,1,she,m,Mismatch,"When she was talking,",Peter,gpt2-xl,13.015761375427246
4,1,she,f,Match,"When she was talking,",Diana,gpt2-xl,14.468969345092772
4,1,he,f,Mismatch,"When he was talking, the",lady,gpt2-xl,9.825551986694336
5,1,he,m,Match,"When he was nearby,",Stephen,gpt2-xl,14.4520263671875
5,1,she,m,Mismatch,"When she was nearby,",Peter,gpt2-xl,13.052239418029783
5,1,she,f,Match,"When she was nearby, the",daughter,gpt2-xl,10.577553749084473
5,1,he,f,Mismatch,"When he was nearby,",Katherine,gpt2-xl,16.444807052612305
6,1,he,m,Match,"When he was lost,",Walter,gpt2-xl,15.187701225280762
6,1,she,m,Mismatch,"When she was lost, the",boyfriend,gpt2-xl,13.642318725585938
6,1,she,f,Match,"When she was lost,",Jessica,gpt2-xl,14.187128067016602
6,1,he,f,Mismatch,"When he was lost,",Paula,gpt2-xl,17.815797805786133
7,1,he,m,Match,"When he was bad-tempered,",Daniel,gpt2-xl,16.79220962524414
7,1,she,m,Mismatch,"When she was bad-tempered,",James,gpt2-xl,13.707974433898926
7,1,she,f,Match,"When she was bad-tempered,",Sarah,gpt2-xl,13.500862121582031
7,1,he,f,Mismatch,"When he was bad-tempered, the",actress,gpt2-xl,13.135416030883787
8,1,he,m,Match,"When he was jealous,",Alan,gpt2-xl,17.729833602905273
8,1,she,m,Mismatch,"When she was jealous,",Matt,gpt2-xl,14.627753257751465
8,1,she,f,Match,"When she was jealous,",Amy,gpt2-xl,12.177127838134766
8,1,he,f,Mismatch,"When he was jealous,",Rachel,gpt2-xl,16.418296813964844
9,1,he,m,Match,"When he was in residence,",Craig,gpt2-xl,13.763171195983888
9,1,she,m,Mismatch,"When she was in residence,",Stephen,gpt2-xl,14.028071403503418
9,1,she,f,Match,"When she was in residence,",Heidi,gpt2-xl,15.279305458068848
9,1,he,f,Mismatch,"When he was in residence, the",grandmother,gpt2-xl,14.448471069335938
10,1,he,m,Match,"When he was introduced,",Martin,gpt2-xl,11.839683532714844
10,1,she,m,Mismatch,"When she was introduced,",Curtis,gpt2-xl,15.619890213012695
10,1,she,f,Match,"When she was introduced,",Heather,gpt2-xl,13.794321060180664
10,1,he,f,Mismatch,"When he was introduced,",Lisa,gpt2-xl,14.503808975219728
11,1,he,m,Match,"When he arrived,",Mitchell,gpt2-xl,14.326584815979004
11,1,she,m,Mismatch,"When she arrived,",Peter,gpt2-xl,12.63813018798828
11,1,she,f,Match,"When she arrived,",Eva,gpt2-xl,14.512141227722168
11,1,he,f,Mismatch,"When he arrived,",Valerie,gpt2-xl,16.341093063354492
12,1,he,m,Match,"When he felt sad,",Bill,gpt2-xl,14.409574508666992
12,1,she,m,Mismatch,"When she felt sad,",Derek,gpt2-xl,19.06374931335449
12,1,she,f,Match,"When she felt sad,",Jennifer,gpt2-xl,14.620741844177246
12,1,he,f,Mismatch,"When he felt sad,",Veronica,gpt2-xl,17.99877166748047
13,1,he,m,Match,"When he was present,",Bill,gpt2-xl,13.004122734069824
13,1,she,m,Mismatch,"When she was present,",Michael,gpt2-xl,12.273550033569336
13,1,she,f,Match,"When she was present,",Laurie,gpt2-xl,16.71183967590332
13,1,he,f,Mismatch,"When he was present,",Ruth,gpt2-xl,15.001937866210938
14,1,he,m,Match,"When he was depressed,",Stephen,gpt2-xl,14.654311180114746
14,1,she,m,Mismatch,"When she was depressed,",Curtis,gpt2-xl,18.483722686767575
14,1,she,f,Match,"When she was depressed, the",actress,gpt2-xl,10.715838432312012
14,1,he,f,Mismatch,"When he was depressed,",Cindy,gpt2-xl,19.251184463500977
15,1,he,m,Match,"When he was around,",Lawrence,gpt2-xl,15.731818199157717
15,1,she,m,Mismatch,"When she was around,",Adam,gpt2-xl,14.478886604309082
15,1,she,f,Match,"When she was around,",Donna,gpt2-xl,14.95455551147461
15,1,he,f,Mismatch,"When he was around,",Tara,gpt2-xl,17.54346466064453
16,1,he,m,Match,"When he was near,",Craig,gpt2-xl,16.877748489379883
16,1,she,m,Mismatch,"When she was near,",Frank,gpt2-xl,14.469833374023438
16,1,she,f,Match,"When she was near, the",actress,gpt2-xl,13.682573318481444
16,1,he,f,Mismatch,"When he was near,",Donna,gpt2-xl,16.7174129486084
17,1,he,m,Match,"When he was in court,",Gerald,gpt2-xl,16.267332077026367
17,1,she,m,Mismatch,"When she was in court,",Daniel,gpt2-xl,13.877967834472656
17,1,she,f,Match,"When she was in court,",Tara,gpt2-xl,16.502599716186523
17,1,he,f,Mismatch,"When he was in court,",Monica,gpt2-xl,17.419189453125
18,1,he,m,Match,"When he was poorly,",Matt,gpt2-xl,13.450237274169922
18,1,she,m,Mismatch,"When she was poorly,",Peter,gpt2-xl,14.28325653076172
18,1,she,f,Match,"When she was poorly,",Stacy,gpt2-xl,17.54005241394043
18,1,he,f,Mismatch,"When he was poorly,",Sonia,gpt2-xl,17.35004234313965
19,1,he,m,Match,"When he arrived, the",brother,gpt2-xl,11.898664474487305
19,1,she,m,Mismatch,"When she arrived,",Martin,gpt2-xl,12.893184661865234
19,1,she,f,Match,"When she arrived,",Allison,gpt2-xl,14.323457717895508
19,1,he,f,Mismatch,"When he arrived,",Leslie,gpt2-xl,15.192508697509766
20,1,he,m,Match,"When he was appointed,",Gary,gpt2-xl,14.194419860839844
20,1,she,m,Mismatch,"When she was appointed,",Curtis,gpt2-xl,16.364334106445312
20,1,she,f,Match,"When she was appointed,",Katherine,gpt2-xl,15.863714218139648
20,1,he,f,Mismatch,"When he was appointed,",Paula,gpt2-xl,17.281667709350586
21,1,he,m,Match,"When he was fired, the",brother,gpt2-xl,12.91732406616211
21,1,she,m,Mismatch,"When she was fired,",Gary,gpt2-xl,13.747526168823242
21,1,she,f,Match,"When she was fired,",Samantha,gpt2-xl,15.963027954101562
21,1,he,f,Mismatch,"When he was fired,",Rebecca,gpt2-xl,16.43653106689453
22,1,he,m,Match,"When he was close, the",husband,gpt2-xl,12.411602973937988
22,1,she,m,Mismatch,"When she was close,",William,gpt2-xl,13.450671195983888
22,1,she,f,Match,"When she was close,",Barbara,gpt2-xl,15.706584930419922
22,1,he,f,Mismatch,"When he was close,",Sandra,gpt2-xl,17.46938705444336
23,1,he,m,Match,"When he was retired,",Curtis,gpt2-xl,14.687453269958496
23,1,she,m,Mismatch,"When she was retired,",Daniel,gpt2-xl,13.778681755065918
23,1,she,f,Match,"When she was retired,",Tara,gpt2-xl,15.510334968566896
23,1,he,f,Mismatch,"When he was retired,",Donna,gpt2-xl,15.676617622375488
24,1,he,m,Match,"When he was abroad,",Roger,gpt2-xl,15.21290111541748
24,1,she,m,Mismatch,"When she was abroad,",George,gpt2-xl,12.380820274353027
24,1,she,f,Match,"When she was abroad,",April,gpt2-xl,14.637700080871582
24,1,he,f,Mismatch,"When he was abroad,",Katherine,gpt2-xl,16.63901710510254
25,1,he,m,Match,"When he was discovered, the",man,gpt2-xl,5.478119850158691
25,1,she,m,Mismatch,"When she was discovered,",Peter,gpt2-xl,14.0143404006958
25,1,she,f,Match,"When she was discovered,",Heather,gpt2-xl,15.262680053710938
25,1,he,f,Mismatch,"When he was discovered,",Jessica,gpt2-xl,16.206262588500977
26,1,he,m,Match,"When he was busy,",Raymond,gpt2-xl,16.429874420166016
26,1,she,m,Mismatch,"When she was busy,",Stephen,gpt2-xl,14.268518447875977
26,1,she,f,Match,"When she was busy,",Allison,gpt2-xl,16.22393226623535
26,1,he,f,Mismatch,"When he was busy,",Barbara,gpt2-xl,14.855110168457031
27,1,he,m,Match,"When he was twenty-one,",Lawrence,gpt2-xl,13.976222038269045
27,1,she,m,Mismatch,"When she was twenty-one, the",husband,gpt2-xl,8.867165565490723
27,1,she,f,Match,"When she was twenty-one,",Jessica,gpt2-xl,12.830748558044434
27,1,he,f,Mismatch,"When he was twenty-one,",Pamela,gpt2-xl,16.371524810791016
28,1,he,m,Match,"When he was annoyed,",Michael,gpt2-xl,13.0177640914917
28,1,she,m,Mismatch,"When she was annoyed,",Peter,gpt2-xl,13.614047050476074
28,1,she,f,Match,"When she was annoyed,",Andrea,gpt2-xl,14.226093292236328
28,1,he,f,Mismatch,"When he was annoyed,",Nina,gpt2-xl,16.12080955505371
29,1,he,m,Match,"When he was in church,",Gerald,gpt2-xl,17.601511001586914
29,1,she,m,Mismatch,"When she was in church,",Frank,gpt2-xl,14.70992946624756
29,1,she,f,Match,"When she was in church,",Martha,gpt2-xl,15.193411827087402
29,1,he,f,Mismatch,"When he was in church, the",grandmother,gpt2-xl,13.573348999023438
30,1,he,m,Match,"When he was banished, the",boyfriend,gpt2-xl,17.466121673583984
30,1,she,m,Mismatch,"When she was banished,",Roger,gpt2-xl,15.43575668334961
30,1,she,f,Match,"When she was banished,",Elaine,gpt2-xl,14.005562782287598
30,1,he,f,Mismatch,"When he was banished,",Erin,gpt2-xl,17.953638076782227
31,1,he,m,Match,"When he was angry,",Roger,gpt2-xl,16.006986618041992
31,1,she,m,Mismatch,"When she was angry,",Walter,gpt2-xl,16.018117904663086
31,1,she,f,Match,"When she was angry,",Allison,gpt2-xl,16.482511520385742
31,1,he,f,Mismatch,"When he was angry,",Ellen,gpt2-xl,18.72294807434082
32,1,he,m,Match,"When he was distraught,",Curtis,gpt2-xl,17.471405029296875
32,1,she,m,Mismatch,"When she was distraught,",Raymond,gpt2-xl,17.255704879760742
32,1,she,f,Match,"When she was distraught,",Allison,gpt2-xl,16.172565460205078
32,1,he,f,Mismatch,"When he was distraught,",Heidi,gpt2-xl,17.819454193115234
1,1,he,m,Match,"When he was off work,",Gary,gpt2-xl,15.10319995880127
1,1,she,m,Mismatch,"When she was off work, the",boyfriend,gpt2-xl,9.922414779663086
1,1,she,f,Match,"When she was off work,",Jennifer,gpt2-xl,14.17663860321045
1,1,he,f,Mismatch,"When he was off work,",Andrea,gpt2-xl,15.155994415283203
2,1,he,m,Match,"When he arrived,",Martin,gpt2-xl,12.629021644592283
2,1,she,m,Mismatch,"When she arrived, the",man,gpt2-xl,5.4197492599487305
2,1,she,f,Match,"When she arrived,",Katherine,gpt2-xl,15.105469703674316
2,1,he,f,Mismatch,"When he arrived,",Jennifer,gpt2-xl,14.743573188781738
3,1,he,m,Match,"When he was fed up,",Martin,gpt2-xl,12.746858596801758
3,1,she,m,Mismatch,"When she was fed up,",Lawrence,gpt2-xl,16.11701774597168
3,1,she,f,Match,"When she was fed up,",Theresa,gpt2-xl,15.524529457092283
3,1,he,f,Mismatch,"When he was fed up,",Martha,gpt2-xl,16.282922744750977
4,1,he,m,Match,"When he was talking,",Vincent,gpt2-xl,16.60390853881836
4,1,she,m,Mismatch,"When she was talking,",Michael,gpt2-xl,12.688655853271484
4,1,she,f,Match,"When she was talking,",Cindy,gpt2-xl,15.164677619934082
4,1,he,f,Mismatch,"When he was talking,",Valerie,gpt2-xl,17.25263023376465
5,1,he,m,Match,"When he was nearby,",Martin,gpt2-xl,13.170804023742676
5,1,she,m,Mismatch,"When she was nearby,",Martin,gpt2-xl,13.869955062866213
5,1,she,f,Match,"When she was nearby,",Martha,gpt2-xl,15.031417846679688
5,1,he,f,Mismatch,"When he was nearby,",Eva,gpt2-xl,16.318374633789062
6,1,he,m,Match,"When he was lost,",James,gpt2-xl,11.846561431884766
6,1,she,m,Mismatch,"When she was lost,",Peter,gpt2-xl,13.032440185546877
6,1,she,f,Match,"When she was lost,",Patricia,gpt2-xl,15.681574821472168
6,1,he,f,Mismatch,"When he was lost,",Sara,gpt2-xl,17.00190544128418
7,1,he,m,Match,"When he was bad-tempered,",Gerald,gpt2-xl,17.985197067260742
7,1,she,m,Mismatch,"When she was bad-tempered,",Carl,gpt2-xl,15.949514389038086
7,1,she,f,Match,"When she was bad-tempered,",Sara,gpt2-xl,16.90822982788086
7,1,he,f,Mismatch,"When he was bad-tempered,",Elaine,gpt2-xl,15.730669975280762
8,1,he,m,Match,"When he was jealous,",Roger,gpt2-xl,16.647132873535156
8,1,she,m,Mismatch,"When she was jealous,",Carl,gpt2-xl,15.402880668640137
8,1,she,f,Match,"When she was jealous, the",daughter,gpt2-xl,9.410442352294922
8,1,he,f,Mismatch,"When he was jealous,",Ruth,gpt2-xl,15.886871337890623
9,1,he,m,Match,"When he was in residence,",Vincent,gpt2-xl,14.989392280578612
9,1,she,m,Mismatch,"When she was in residence, the",grandfather,gpt2-xl,14.429723739624023
9,1,she,f,Match,"When she was in residence, the",niece,gpt2-xl,14.539212226867676
9,1,he,f,Mismatch,"When he was in residence,",Heidi,gpt2-xl,17.253034591674805
10,1,he,m,Match,"When he was introduced,",Michael,gpt2-xl,11.390570640563965
10,1,she,m,Mismatch,"When she was introduced, the",boyfriend,gpt2-xl,13.750934600830078
10,1,she,f,Match,"When she was introduced,",Sara,gpt2-xl,13.707806587219238
10,1,he,f,Mismatch,"When he was introduced,",Margaret,gpt2-xl,15.01178741455078
11,1,he,m,Match,"When he arrived,",Jerry,gpt2-xl,14.026098251342772
