item,exp,pronoun,cond,contrast,sent,target,/data/gpt2_surp
8,1,she,f,Match,"When she was jealous,",Leslie,14.950535774230957
8,1,he,f,Mismatch,"When he was jealous,",Nicole,14.459687232971191
9,1,he,m,Match,"When he was in residence,",William,11.552474975585938
9,1,she,m,Mismatch,"When she was in residence,",Douglas,14.011624336242676
9,1,she,f,Match,"When she was in residence,",Tiffany,14.143938064575195
9,1,he,f,Mismatch,"When he was in residence,",Sharon,14.22075366973877
10,1,he,m,Match,"When he was introduced,",Steven,13.198124885559082
10,1,she,m,Mismatch,"When she was introduced,",Alexander,12.725512504577637
10,1,she,f,Match,"When she was introduced, the",granddaughter,13.792628288269043
10,1,he,f,Mismatch,"When he was introduced,",Sharon,14.059160232543945
11,1,he,m,Match,"When he arrived,",Thomas,10.674177169799805
11,1,she,m,Mismatch,"When she arrived,",Dennis,14.3672513961792
11,1,she,f,Match,"When she arrived,",Julie,12.965326309204102
11,1,he,f,Mismatch,"When he arrived,",Connie,15.00646686553955
12,1,he,m,Match,"When he felt sad,",Brett,16.600231170654297
12,1,she,m,Mismatch,"When she felt sad,",Kevin,14.199028968811035
12,1,she,f,Match,"When she felt sad,",Nicole,13.91238784790039
12,1,he,f,Mismatch,"When he felt sad,",Amanda,14.172561645507812
13,1,he,m,Match,"When he was present,",Eric,12.507783889770508
13,1,she,m,Mismatch,"When she was present,",Theodore,14.680427551269531
13,1,she,f,Match,"When she was present,",Nicole,13.164724349975586
13,1,he,f,Mismatch,"When he was present,",Naomi,15.748575210571289
14,1,he,m,Match,"When he was depressed, the",son,9.266287803649902
14,1,she,m,Mismatch,"When she was depressed,",Keith,13.911598205566406
14,1,she,f,Match,"When she was depressed,",Ellen,13.182974815368652
14,1,he,f,Mismatch,"When he was depressed,",Wendy,14.424352645874023
15,1,he,m,Match,"When he was around,",Kevin,12.720179557800293
15,1,she,m,Mismatch,"When she was around,",Keith,13.911123275756836
15,1,she,f,Match,"When she was around,",Sally,14.290475845336914
15,1,he,f,Mismatch,"When he was around,",Naomi,16.091325759887695
16,1,he,m,Match,"When he was near,",Benjamin,12.743132591247559
16,1,she,m,Mismatch,"When she was near,",Donald,11.55502700805664
16,1,she,f,Match,"When she was near,",Mary,11.518682479858398
16,1,he,f,Mismatch,"When he was near,",Susan,12.641253471374512
17,1,he,m,Match,"When he was in court,",William,11.918604850769043
17,1,she,m,Mismatch,"When she was in court,",Eric,12.082816123962402
17,1,she,f,Match,"When she was in court,",Anna,12.10637092590332
17,1,he,f,Mismatch,"When he was in court,",Nicole,13.002938270568848
18,1,he,m,Match,"When he was poorly,",Mitchell,14.111572265625
18,1,she,m,Mismatch,"When she was poorly,",Jeffrey,16.604970932006836
18,1,she,f,Match,"When she was poorly,",Julie,12.694355964660645
18,1,he,f,Mismatch,"When he was poorly,",Julia,13.630626678466797
19,1,he,m,Match,"When he arrived,",Travis,14.419194221496582
19,1,she,m,Mismatch,"When she arrived,",Ronald,14.80441951751709
19,1,she,f,Match,"When she arrived, the",sister,11.823529243469238
19,1,he,f,Mismatch,"When he arrived,",Vanessa,15.088888168334961
20,1,he,m,Match,"When he was appointed,",Eric,13.214343070983887
20,1,she,m,Mismatch,"When she was appointed,",Benjamin,12.751138687133789
20,1,she,f,Match,"When she was appointed,",Sharon,13.32301139831543
20,1,he,f,Mismatch,"When he was appointed,",Grace,14.327767372131348
21,1,he,m,Match,"When he was fired, the",nephew,16.438312530517578
21,1,she,m,Mismatch,"When she was fired,",Edward,13.725475311279297
21,1,she,f,Match,"When she was fired, the",lady,12.713056564331055
21,1,he,f,Mismatch,"When he was fired,",Danielle,15.363808631896973
22,1,he,m,Match,"When he was close,",Frank,12.124844551086426
22,1,she,m,Mismatch,"When she was close,",Ronald,15.564138412475586
22,1,she,f,Match,"When she was close,",Tiffany,14.270355224609375
22,1,he,f,Mismatch,"When he was close, the",waitress,11.775870323181152
23,1,he,m,Match,"When he was retired,",Samuel,13.656420707702637
23,1,she,m,Mismatch,"When she was retired,",Steven,13.222579002380371
23,1,she,f,Match,"When she was retired, the",sister,11.654438972473145
23,1,he,f,Mismatch,"When he was retired,",Victoria,14.563257217407227
24,1,he,m,Match,"When he was abroad,",Derek,16.142492294311523
24,1,she,m,Mismatch,"When she was abroad,",Carlos,15.688708305358887
24,1,she,f,Match,"When she was abroad,",Elizabeth,10.764577865600586
24,1,he,f,Mismatch,"When he was abroad,",Meredith,16.267894744873047
25,1,he,m,Match,"When he was discovered,",Jason,12.927821159362793
25,1,she,m,Mismatch,"When she was discovered,",Eric,12.780893325805664
25,1,she,f,Match,"When she was discovered, the",waitress,11.693906784057617
25,1,he,f,Mismatch,"When he was discovered,",Beth,14.446993827819824
26,1,he,m,Match,"When he was busy,",Carlos,14.013480186462402
26,1,she,m,Mismatch,"When she was busy,",Todd,13.900482177734375
26,1,she,f,Match,"When she was busy,",Grace,13.371040344238281
26,1,he,f,Mismatch,"When he was busy,",Susan,12.498822212219238
27,1,he,m,Match,"When he was twenty-one,",Walter,12.146248817443848
27,1,she,m,Mismatch,"When she was twenty-one,",Phillip,14.621686935424805
27,1,she,f,Match,"When she was twenty-one,",Ellen,12.112060546875
27,1,he,f,Mismatch,"When he was twenty-one, the",girlfriend,13.327140808105469
28,1,he,m,Match,"When he was annoyed,",Travis,14.435189247131348
28,1,she,m,Mismatch,"When she was annoyed,",Bradley,14.893258094787598
28,1,she,f,Match,"When she was annoyed,",Beth,13.544562339782715
28,1,he,f,Mismatch,"When he was annoyed,",Maria,13.8191556930542
29,1,he,m,Match,"When he was in church,",Roger,14.345283508300781
29,1,she,m,Mismatch,"When she was in church,",Martin,10.722237586975098
29,1,she,f,Match,"When she was in church,",Alice,14.200183868408203
29,1,he,f,Mismatch,"When he was in church,",Naomi,17.08713150024414
30,1,he,m,Match,"When he was banished,",Rodney,16.47288703918457
30,1,she,m,Mismatch,"When she was banished,",Steven,13.6787691116333
30,1,she,f,Match,"When she was banished,",Anne,12.194589614868164
30,1,he,f,Mismatch,"When he was banished, the",lady,11.876665115356445
31,1,he,m,Match,"When he was angry,",Bruce,13.52507495880127
31,1,she,m,Mismatch,"When she was angry,",Carlos,15.493383407592773
31,1,she,f,Match,"When she was angry,",Sarah,12.862725257873535
31,1,he,f,Mismatch,"When he was angry,",Laura,15.326044082641602
32,1,he,m,Match,"When he was distraught,",Charles,11.583908081054688
32,1,she,m,Mismatch,"When she was distraught,",Christopher,12.52783203125
32,1,she,f,Match,"When she was distraught,",Alice,13.1156005859375
32,1,he,f,Mismatch,"When he was distraught, the",sister,11.105109214782715
1,1,he,m,Match,"When he was off work,",Charles,12.223743438720703
1,1,she,m,Mismatch,"When she was off work, the",grandson,15.625455856323242
1,1,she,f,Match,"When she was off work,",Danielle,12.708571434020996
1,1,he,f,Mismatch,"When he was off work,",Laurie,14.351155281066895
2,1,he,m,Match,"When he arrived, the",boy,7.992419719696045
2,1,she,m,Mismatch,"When she arrived,",Chad,13.574579238891602
2,1,she,f,Match,"When she arrived,",Veronica,14.24625301361084
2,1,he,f,Mismatch,"When he arrived,",Ellen,14.508981704711914
3,1,he,m,Match,"When he was fed up,",Eric,12.487630844116211
3,1,she,m,Mismatch,"When she was fed up,",Edward,13.668120384216309
3,1,she,f,Match,"When she was fed up,",Florence,15.020679473876953
3,1,he,f,Mismatch,"When he was fed up,",Anna,12.882128715515137
4,1,he,m,Match,"When he was talking,",Christopher,13.61839771270752
4,1,she,m,Mismatch,"When she was talking,",Travis,14.635601043701172
4,1,she,f,Match,"When she was talking,",Suzanne,14.717084884643555
4,1,he,f,Mismatch,"When he was talking,",Stephanie,14.402627944946289
5,1,he,m,Match,"When he was nearby,",Phillip,14.243552207946777
5,1,she,m,Mismatch,"When she was nearby,",Omar,13.910219192504883
5,1,she,f,Match,"When she was nearby,",Patricia,13.317663192749023
5,1,he,f,Mismatch,"When he was nearby, the",granddaughter,15.34521484375
6,1,he,m,Match,"When he was lost,",Brett,15.808051109313965
6,1,she,m,Mismatch,"When she was lost,",Paul,11.61823844909668
6,1,she,f,Match,"When she was lost,",Cindy,13.869256973266602
6,1,he,f,Mismatch,"When he was lost, the",waitress,12.965289115905762
7,1,he,m,Match,"When he was bad-tempered,",Phillip,15.355462074279785
7,1,she,m,Mismatch,"When she was bad-tempered, the",man,6.043290615081787
7,1,she,f,Match,"When she was bad-tempered, the",granddaughter,14.183381080627441
7,1,he,f,Mismatch,"When he was bad-tempered,",Wendy,17.287567138671875
8,1,he,m,Match,"When he was jealous,",Edward,13.349224090576172
8,1,she,m,Mismatch,"When she was jealous,",Jerry,14.411076545715332
8,1,she,f,Match,"When she was jealous,",Veronica,15.334268569946289
8,1,he,f,Mismatch,"When he was jealous, the",sister,10.509242057800293
9,1,he,m,Match,"When he was in residence,",George,10.56186580657959
9,1,she,m,Mismatch,"When she was in residence,",Patrick,13.081178665161133
9,1,she,f,Match,"When she was in residence,",Jill,14.15542984008789
9,1,he,f,Mismatch,"When he was in residence,",Meredith,14.787784576416016
10,1,he,m,Match,"When he was introduced,",William,11.268298149108887
10,1,she,m,Mismatch,"When she was introduced,",Douglas,13.779256820678711
10,1,she,f,Match,"When she was introduced,",Tara,14.230573654174805
10,1,he,f,Mismatch,"When he was introduced,",Jill,15.641620635986328
11,1,he,m,Match,"When he arrived,",Keith,13.600567817687988
11,1,she,m,Mismatch,"When she arrived,",Omar,14.088567733764648
11,1,she,f,Match,"When she arrived, the",grandmother,12.595627784729004
11,1,he,f,Mismatch,"When he arrived,",Anne,13.861794471740723
12,1,he,m,Match,"When he felt sad,",Andrew,13.064146041870117
12,1,she,m,Mismatch,"When she felt sad,",Adam,13.46949291229248
12,1,she,f,Match,"When she felt sad, the",lady,10.239191055297852
12,1,he,f,Mismatch,"When he felt sad,",Stephanie,14.7979736328125
13,1,he,m,Match,"When he was present,",Carlos,14.210378646850586
13,1,she,m,Mismatch,"When she was present,",Omar,14.882783889770508
13,1,she,f,Match,"When she was present,",Tiffany,14.277889251708984
13,1,he,f,Mismatch,"When he was present,",Mary,11.18036937713623
14,1,he,m,Match,"When he was depressed,",Aaron,13.372517585754395
14,1,she,m,Mismatch,"When she was depressed, the",father,7.827648639678955
14,1,she,f,Match,"When she was depressed,",Laurie,14.32589340209961
14,1,he,f,Mismatch,"When he was depressed,",Susan,12.893675804138184
15,1,he,m,Match,"When he was around,",Gary,13.456974983215332
15,1,she,m,Mismatch,"When she was around,",Douglas,14.854185104370117
15,1,she,f,Match,"When she was around,",Maria,13.665000915527344
15,1,he,f,Mismatch,"When he was around,",Elizabeth,12.536160469055176
16,1,he,m,Match,"When he was near,",Jason,11.88543701171875
16,1,she,m,Mismatch,"When she was near,",Bradley,14.615667343139648
16,1,she,f,Match,"When she was near,",Diana,13.567602157592773
16,1,he,f,Mismatch,"When he was near, the",actress,12.4365816116333
17,1,he,m,Match,"When he was in court,",Paul,10.500232696533203
17,1,she,m,Mismatch,"When she was in court,",William,12.984552383422852
17,1,she,f,Match,"When she was in court, the",lady,10.719870567321777
17,1,he,f,Mismatch,"When he was in court, the",lady,11.11476993560791
18,1,he,m,Match,"When he was poorly,",Adam,12.91185188293457
18,1,she,m,Mismatch,"When she was poorly,",Andrew,14.395496368408203
18,1,she,f,Match,"When she was poorly,",Wendy,15.060917854309082
18,1,he,f,Mismatch,"When he was poorly,",Natalie,15.936027526855469
19,1,he,m,Match,"When he arrived,",Adam,12.746026039123535
19,1,she,m,Mismatch,"When she arrived,",Andrew,12.74418830871582
19,1,she,f,Match,"When she arrived,",Pamela,14.748212814331055
19,1,he,f,Mismatch,"When he arrived,",Natalie,15.407988548278809
20,1,he,m,Match,"When he was appointed,",Mitchell,13.50112533569336
20,1,she,m,Mismatch,"When she was appointed,",Brett,15.53614616394043
20,1,she,f,Match,"When she was appointed,",Carol,14.120494842529297
20,1,he,f,Mismatch,"When he was appointed,",Wendy,17.380128860473633
21,1,he,m,Match,"When he was fired,",John,10.245794296264648
21,1,she,m,Mismatch,"When she was fired,",Mark,10.956271171569824
21,1,she,f,Match,"When she was fired,",Erin,13.347771644592285
21,1,he,f,Mismatch,"When he was fired,",Meredith,14.368898391723633
22,1,he,m,Match,"When he was close,",Mitchell,12.85107421875
22,1,she,m,Mismatch,"When she was close,",Theodore,15.111125946044922
22,1,she,f,Match,"When she was close, the",lady,9.989973068237305
22,1,he,f,Mismatch,"When he was close,",Veronica,16.198026657104492
23,1,he,m,Match,"When he was retired,",Ronald,13.35721492767334
23,1,she,m,Mismatch,"When she was retired,",Douglas,13.020112991333008
23,1,she,f,Match,"When she was retired,",Vanessa,14.477503776550293
23,1,he,f,Mismatch,"When he was retired,",Jessica,14.913479804992676
24,1,he,m,Match,"When he was abroad,",Theodore,14.432533264160156
24,1,she,m,Mismatch,"When she was abroad,",Omar,15.453149795532227
24,1,she,f,Match,"When she was abroad,",Maria,12.168166160583496
24,1,he,f,Mismatch,"When he was abroad,",Jill,16.571006774902344
25,1,he,m,Match,"When he was discovered,",Samuel,12.959834098815918
25,1,she,m,Mismatch,"When she was discovered,",Omar,14.564181327819824
25,1,she,f,Match,"When she was discovered,",Ellen,13.094255447387695
25,1,he,f,Mismatch,"When he was discovered,",Patricia,14.836420059204102
26,1,he,m,Match,"When he was busy,",Curtis,15.114092826843262
26,1,she,m,Mismatch,"When she was busy,",Paul,11.742574691772461
26,1,she,f,Match,"When she was busy,",Wendy,13.118843078613281
26,1,he,f,Mismatch,"When he was busy,",Cindy,14.308002471923828
27,1,he,m,Match,"When he was twenty-one,",Andrew,11.240296363830566
27,1,she,m,Mismatch,"When she was twenty-one,",Carlos,15.295977592468262
27,1,she,f,Match,"When she was twenty-one,",Susan,11.152741432189941
27,1,he,f,Mismatch,"When he was twenty-one,",Elizabeth,12.311772346496582
28,1,he,m,Match,"When he was annoyed, the",grandson,14.801429748535156
28,1,she,m,Mismatch,"When she was annoyed,",Douglas,14.149726867675781
28,1,she,f,Match,"When she was annoyed,",Denise,14.70080852508545
28,1,he,f,Mismatch,"When he was annoyed, the",sister,11.761293411254883
29,1,he,m,Match,"When he was in church,",Mitchell,13.531540870666504
29,1,she,m,Mismatch,"When she was in church,",Steven,14.016071319580078
29,1,she,f,Match,"When she was in church, the",lady,9.26368522644043
29,1,he,f,Mismatch,"When he was in church, the",waitress,13.340017318725586
30,1,he,m,Match,"When he was banished, the",boy,8.289932250976562
30,1,she,m,Mismatch,"When she was banished,",Ronald,15.387330055236816
30,1,she,f,Match,"When she was banished,",Connie,14.921782493591309
30,1,he,f,Mismatch,"When he was banished,",Victoria,14.614144325256348
31,1,he,m,Match,"When he was angry,",Dan,13.247037887573242
31,1,she,m,Mismatch,"When she was angry,",Omar,14.472551345825195
31,1,she,f,Match,"When she was angry,",Tara,14.958527565002441
31,1,he,f,Mismatch,"When he was angry, the",girl,6.110523700714111
32,1,he,m,Match,"When he was distraught,",Bradley,14.086112022399902
32,1,she,m,Mismatch,"When she was distraught,",Douglas,13.308131217956543
32,1,she,f,Match,"When she was distraught,",Meredith,13.432950973510742
32,1,he,f,Mismatch,"When he was distraught,",Julie,12.858537673950195
1,1,he,m,Match,"When he was off work, the",guy,8.502345085144043
1,1,she,m,Mismatch,"When she was off work,",Kenneth,14.830753326416016
1,1,she,f,Match,"When she was off work,",Leslie,13.662923812866211
1,1,he,f,Mismatch,"When he was off work,",Jane,12.381649017333984
2,1,he,m,Match,"When he arrived, the",husband,11.914921760559082
2,1,she,m,Mismatch,"When she arrived,",Martin,11.569905281066895
2,1,she,f,Match,"When she arrived,",Erin,12.980581283569336
2,1,he,f,Mismatch,"When he arrived,",Paula,15.70409870147705
3,1,he,m,Match,"When he was fed up, the",grandson,13.634352684020996
3,1,she,m,Mismatch,"When she was fed up,",Phillip,15.425745964050293
3,1,she,f,Match,"When she was fed up,",Stacy,15.344558715820312
3,1,he,f,Mismatch,"When he was fed up,",Diana,14.98958683013916
4,1,he,m,Match,"When he was talking,",Ronald,14.317418098449707
4,1,she,m,Mismatch,"When she was talking,",Aaron,13.066036224365234
4,1,she,f,Match,"When she was talking,",Alice,12.715730667114258
4,1,he,f,Mismatch,"When he was talking,",Mary,11.93488883972168
5,1,he,m,Match,"When he was nearby,",Travis,14.14876651763916
5,1,she,m,Mismatch,"When she was nearby,",George,11.538924217224121
5,1,she,f,Match,"When she was nearby, the",grandmother,12.532844543457031
5,1,he,f,Mismatch,"When he was nearby,",Emily,13.15337085723877
6,1,he,m,Match,"When he was lost,",Theodore,14.936118125915527
6,1,she,m,Mismatch,"When she was lost,",Gary,13.758036613464355
6,1,she,f,Match,"When she was lost,",Jane,12.134245872497559
6,1,he,f,Mismatch,"When he was lost,",Ellen,14.003812789916992
7,1,he,m,Match,"When he was bad-tempered,",Mitchell,14.699474334716797
7,1,she,m,Mismatch,"When she was bad-tempered,",Peter,13.84144401550293
7,1,she,f,Match,"When she was bad-tempered,",Ruth,14.059600830078125
7,1,he,f,Mismatch,"When he was bad-tempered,",Susan,15.262542724609375
8,1,he,m,Match,"When he was jealous,",Adam,12.481245994567871
8,1,she,m,Mismatch,"When she was jealous,",Gerald,15.78195858001709
8,1,she,f,Match,"When she was jealous, the",actress,10.263487815856934
8,1,he,f,Mismatch,"When he was jealous,",Danielle,15.9840669631958
9,1,he,m,Match,"When he was in residence,",Raymond,13.23233413696289
9,1,she,m,Mismatch,"When she was in residence,",Curtis,14.887601852416992
9,1,she,f,Match,"When she was in residence,",Tara,15.220714569091797
9,1,he,f,Mismatch,"When he was in residence,",Jane,12.792806625366211
10,1,he,m,Match,"When he was introduced,",Paul,10.113922119140625
10,1,she,m,Mismatch,"When she was introduced,",Travis,15.466330528259277
10,1,she,f,Match,"When she was introduced,",Caroline,13.626011848449707
10,1,he,f,Mismatch,"When he was introduced,",Rachel,14.013124465942383
11,1,he,m,Match,"When he arrived,",Jason,12.946505546569824
11,1,she,m,Mismatch,"When she arrived,",Curtis,14.543968200683594
11,1,she,f,Match,"When she arrived,",Samantha,13.64392375946045
11,1,he,f,Mismatch,"When he arrived,",Grace,14.22063159942627
12,1,he,m,Match,"When he felt sad,",Kenneth,15.911786079406738
12,1,she,m,Mismatch,"When she felt sad, the",boy,6.8863420486450195
12,1,she,f,Match,"When she felt sad,",Sandra,14.800426483154297
12,1,he,f,Mismatch,"When he felt sad,",Mary,11.963647842407227
13,1,he,m,Match,"When he was present,",Aaron,13.09825325012207
13,1,she,m,Mismatch,"When she was present,",Jerry,13.647425651550293
13,1,she,f,Match,"When she was present,",Donna,13.36286449432373
13,1,he,f,Mismatch,"When he was present,",Erin,14.415327072143555
14,1,he,m,Match,"When he was depressed, the",grandson,15.137765884399414
14,1,she,m,Mismatch,"When she was depressed,",Christopher,13.309659957885742
14,1,she,f,Match,"When she was depressed,",Gina,14.415093421936035
14,1,he,f,Mismatch,"When he was depressed,",Sonia,15.849862098693848
15,1,he,m,Match,"When he was around,",Bill,11.191570281982422
15,1,she,m,Mismatch,"When she was around,",Eric,13.595877647399902
15,1,she,f,Match,"When she was around,",Tara,13.860307693481445
15,1,he,f,Mismatch,"When he was around,",Nicole,14.67249870300293
16,1,he,m,Match,"When he was near,",Mark,11.761653900146484
16,1,she,m,Mismatch,"When she was near,",Keith,13.245772361755371
16,1,she,f,Match,"When she was near,",Sonia,15.281980514526367
16,1,he,f,Mismatch,"When he was near,",Kathleen,15.652710914611816
17,1,he,m,Match,"When he was in court,",Curtis,13.941173553466797
17,1,she,m,Mismatch,"When she was in court,",Gary,13.846083641052246
17,1,she,f,Match,"When she was in court, the",granddaughter,14.965481758117676
17,1,he,f,Mismatch,"When he was in court,",Erin,14.732524871826172
18,1,he,m,Match,"When he was poorly, the",brother,11.684977531433105
18,1,she,m,Mismatch,"When she was poorly,",Todd,15.058585166931152
18,1,she,f,Match,"When she was poorly,",Anna,11.6283540725708
18,1,he,f,Mismatch,"When he was poorly,",Meredith,16.288423538208008
19,1,he,m,Match,"When he arrived,",Bill,10.999112129211426
19,1,she,m,Mismatch,"When she arrived,",Bill,11.454983711242676
19,1,she,f,Match,"When she arrived,",Erin,12.980583190917969
19,1,he,f,Mismatch,"When he arrived,",Anne,13.861784934997559
20,1,he,m,Match,"When he was appointed,",Carlos,15.001782417297363
20,1,she,m,Mismatch,"When she was appointed,",Travis,15.822633743286133
20,1,she,f,Match,"When she was appointed, the",lady,10.72353744506836
20,1,he,f,Mismatch,"When he was appointed,",Rachel,14.673567771911621
21,1,he,m,Match,"When he was fired,",Phillip,15.194511413574219
21,1,she,m,Mismatch,"When she was fired,",Andrew,12.690266609191895
21,1,she,f,Match,"When she was fired,",Kathleen,13.303702354431152
21,1,he,f,Mismatch,"When he was fired,",Diana,15.324359893798828
22,1,he,m,Match,"When he was close,",Kevin,12.296051025390625
22,1,she,m,Mismatch,"When she was close,",Adam,13.037249565124512
22,1,she,f,Match,"When she was close,",Susan,11.620641708374023
22,1,he,f,Mismatch,"When he was close,",Monica,14.369385719299316
23,1,he,m,Match,"When he was retired,",Andrew,11.836585998535156
23,1,she,m,Mismatch,"When she was retired,",Dennis,13.538374900817871
23,1,she,f,Match,"When she was retired, the",lady,11.590235710144043
23,1,he,f,Mismatch,"When he was retired,",Martha,14.283109664916992
24,1,he,m,Match,"When he was abroad, the",boy,8.63412094116211
24,1,she,m,Mismatch,"When she was abroad,",Jerry,15.713006019592285
24,1,she,f,Match,"When she was abroad,",Wendy,15.397560119628906
24,1,he,f,Mismatch,"When he was abroad,",Erin,16.11505699157715
25,1,he,m,Match,"When he was discovered,",Steven,12.444365501403809
25,1,she,m,Mismatch,"When she was discovered,",George,11.763471603393555
25,1,she,f,Match,"When she was discovered,",Susan,11.245476722717285
25,1,he,f,Mismatch,"When he was discovered,",Valerie,15.381247520446777
26,1,he,m,Match,"When he was busy,",Alan,13.498490333557129
26,1,she,m,Mismatch,"When she was busy,",Daniel,12.389742851257324
26,1,she,f,Match,"When she was busy, the",granddaughter,14.175079345703125
26,1,he,f,Mismatch,"When he was busy,",Ruth,15.262421607971191
27,1,he,m,Match,"When he was twenty-one, the",boyfriend,13.085572242736816
27,1,she,m,Mismatch,"When she was twenty-one,",Eric,13.970111846923828
27,1,she,f,Match,"When she was twenty-one,",Barbara,11.656177520751953
27,1,he,f,Mismatch,"When he was twenty-one,",Alice,14.106586456298828
28,1,he,m,Match,"When he was annoyed,",Vincent,13.969388008117676
28,1,she,m,Mismatch,"When she was annoyed,",Ronald,15.546483993530273
28,1,she,f,Match,"When she was annoyed,",Barbara,13.223348617553711
28,1,he,f,Mismatch,"When he was annoyed, the",granddaughter,15.43700885772705
29,1,he,m,Match,"When he was in church, the",brother,10.350210189819336
29,1,she,m,Mismatch,"When she was in church,",Ronald,14.745201110839844
29,1,she,f,Match,"When she was in church,",Victoria,14.526867866516113
29,1,he,f,Mismatch,"When he was in church, the",granddaughter,15.905200004577637
30,1,he,m,Match,"When he was banished,",Bill,12.563879013061523
30,1,she,m,Mismatch,"When she was banished,",Jeffrey,15.824881553649902
30,1,she,f,Match,"When she was banished,",Susan,12.039436340332031
30,1,he,f,Mismatch,"When he was banished,",Ellen,14.558976173400879
31,1,he,m,Match,"When he was angry,",Todd,14.779376983642578
31,1,she,m,Mismatch,"When she was angry,",William,14.50457763671875
31,1,she,f,Match,"When she was angry,",Jessica,12.56330394744873
31,1,he,f,Mismatch,"When he was angry,",Connie,16.27422332763672
32,1,he,m,Match,"When he was distraught,",Travis,14.087282180786133
32,1,she,m,Mismatch,"When she was distraught,",Eric,11.47516918182373
32,1,she,f,Match,"When she was distraught,",Diana,13.139543533325195
32,1,he,f,Mismatch,"When he was distraught,",Laurie,14.013876914978027
1,1,he,m,Match,"When he was off work,",Mitchell,11.992691040039062
1,1,she,m,Mismatch,"When she was off work,",Jerry,13.297163009643555
1,1,she,f,Match,"When she was off work,",Alice,13.095781326293945
1,1,he,f,Mismatch,"When he was off work,",Paula,14.534975051879883
2,1,he,m,Match,"When he arrived, the",brother,12.524825096130371
2,1,she,m,Mismatch,"When she arrived,",Frank,12.303525924682617
2,1,she,f,Match,"When she arrived,",Barbara,12.596715927124023
2,1,he,f,Mismatch,"When he arrived, the",grandmother,14.196287155151367
3,1,he,m,Match,"When he was fed up,",Kenneth,14.826507568359375
3,1,she,m,Mismatch,"When she was fed up,",Kenneth,15.570463180541992
3,1,she,f,Match,"When she was fed up,",Andrea,13.228747367858887
3,1,he,f,Mismatch,"When he was fed up,",Laurie,15.414583206176758
4,1,he,m,Match,"When he was talking,",Jeffrey,15.162036895751953
4,1,she,m,Mismatch,"When she was talking,",Adam,12.374180793762207
4,1,she,f,Match,"When she was talking,",Anna,11.060288429260254
4,1,he,f,Mismatch,"When he was talking,",Anne,14.152947425842285
5,1,he,m,Match,"When he was nearby,",Theodore,14.466617584228516
5,1,she,m,Mismatch,"When she was nearby, the",brother,11.680225372314453
5,1,she,f,Match,"When she was nearby,",Katherine,13.928028106689453
5,1,he,f,Mismatch,"When he was nearby,",Rebecca,13.867512702941895
6,1,he,m,Match,"When he was lost,",Jerry,13.21499252319336
6,1,she,m,Mismatch,"When she was lost,",Bill,12.350339889526367
6,1,she,f,Match,"When she was lost,",Valerie,14.627081871032715
6,1,he,f,Mismatch,"When he was lost,",April,14.161078453063965
7,1,he,m,Match,"When he was bad-tempered, the",brother,11.129424095153809
7,1,she,m,Mismatch,"When she was bad-tempered,",Lawrence,16.813783645629883
7,1,she,f,Match,"When she was bad-tempered,",Barbara,13.834824562072754
7,1,he,f,Mismatch,"When he was bad-tempered,",Sonia,18.29779052734375
8,1,he,m,Match,"When he was jealous,",Todd,14.942977905273438
8,1,she,m,Mismatch,"When she was jealous,",Craig,14.492748260498047
8,1,she,f,Match,"When she was jealous,",Monica,13.747570991516113
8,1,he,f,Mismatch,"When he was jealous,",Wendy,15.083106994628906
9,1,he,m,Match,"When he was in residence,",Lawrence,13.025996208190918
9,1,she,m,Mismatch,"When she was in residence,",Alan,14.654718399047852
9,1,she,f,Match,"When she was in residence, the",grandmother,11.852718353271484
9,1,he,f,Mismatch,"When he was in residence,",Paula,15.42995548248291
10,1,he,m,Match,"When he was introduced,",Roger,13.257037162780762
10,1,she,m,Mismatch,"When she was introduced,",Kenneth,14.37439250946045
10,1,she,f,Match,"When she was introduced,",Jessica,12.391698837280273
10,1,he,f,Mismatch,"When he was introduced, the",waitress,12.767525672912598
11,1,he,m,Match,"When he arrived,",Frank,11.978020668029785
11,1,she,m,Mismatch,"When she arrived,",Alan,13.933152198791504
11,1,she,f,Match,"When she arrived,",Allison,13.375454902648926
11,1,he,f,Mismatch,"When he arrived,",Victoria,13.807069778442383
12,1,he,m,Match,"When he felt sad,",Paul,12.263707160949707
12,1,she,m,Mismatch,"When she felt sad, the",husband,9.589579582214355
12,1,she,f,Match,"When she felt sad,",Jane,12.017873764038086
12,1,he,f,Mismatch,"When he felt sad,",Grace,15.461076736450195
13,1,he,m,Match,"When he was present,",Gary,13.793745994567871
13,1,she,m,Mismatch,"When she was present,",Gary,14.003564834594727
13,1,she,f,Match,"When she was present,",Victoria,13.231453895568848
13,1,he,f,Mismatch,"When he was present,",Laurie,15.129376411437988
14,1,he,m,Match,"When he was depressed,",Gary,12.177577018737793
14,1,she,m,Mismatch,"When she was depressed,",Dan,12.94396686553955
14,1,she,f,Match,"When she was depressed,",Valerie,14.398868560791016
14,1,he,f,Mismatch,"When he was depressed, the",actress,10.45345401763916
15,1,he,m,Match,"When he was around,",Alan,13.75670337677002
15,1,she,m,Mismatch,"When she was around,",Mitchell,13.273188591003418
15,1,she,f,Match,"When she was around,",Melanie,15.368735313415527
15,1,he,f,Mismatch,"When he was around,",Natalie,15.829157829284668
16,1,he,m,Match,"When he was near,",Carlos,14.263816833496094
