item,exp,pronoun,cond,contrast,sent,target,/data/EleutherAI/gpt-neo-2.7B_surp
8,1,she,m,Mismatch,"When she was jealous,",Douglas,15.41563606262207
8,1,she,f,Match,"When she was jealous,",Leslie,16.971891403198242
8,1,he,f,Mismatch,"When he was jealous,",Nicole,16.608970642089844
9,1,he,m,Match,"When he was in residence,",William,11.208429336547852
9,1,she,m,Mismatch,"When she was in residence,",Douglas,15.260370254516602
9,1,she,f,Match,"When she was in residence,",Tiffany,15.96752643585205
9,1,he,f,Mismatch,"When he was in residence,",Sharon,16.31511688232422
10,1,he,m,Match,"When he was introduced,",Steven,15.25221061706543
10,1,she,m,Mismatch,"When she was introduced,",Alexander,13.4385347366333
10,1,she,f,Match,"When she was introduced, the",granddaughter,14.088597297668457
10,1,he,f,Mismatch,"When he was introduced,",Sharon,16.0316104888916
11,1,he,m,Match,"When he arrived,",Thomas,12.412692070007324
11,1,she,m,Mismatch,"When she arrived,",Dennis,14.391754150390625
11,1,she,f,Match,"When she arrived,",Julie,14.184378623962402
11,1,he,f,Mismatch,"When he arrived,",Connie,16.86193084716797
12,1,he,m,Match,"When he felt sad,",Brett,19.182743072509766
12,1,she,m,Mismatch,"When she felt sad,",Kevin,17.409543991088867
12,1,she,f,Match,"When she felt sad,",Nicole,18.016782760620117
12,1,he,f,Mismatch,"When he felt sad,",Amanda,17.244836807250977
13,1,he,m,Match,"When he was present,",Eric,14.937644958496094
13,1,she,m,Mismatch,"When she was present,",Theodore,16.0575008392334
13,1,she,f,Match,"When she was present,",Nicole,15.488308906555176
13,1,he,f,Mismatch,"When he was present,",Naomi,19.1058406829834
14,1,he,m,Match,"When he was depressed, the",son,9.989701271057129
14,1,she,m,Mismatch,"When she was depressed,",Keith,14.899943351745605
14,1,she,f,Match,"When she was depressed,",Ellen,15.54215145111084
14,1,he,f,Mismatch,"When he was depressed,",Wendy,15.858741760253906
15,1,he,m,Match,"When he was around,",Kevin,13.207813262939453
15,1,she,m,Mismatch,"When she was around,",Keith,15.612348556518555
15,1,she,f,Match,"When she was around,",Sally,12.936944961547852
15,1,he,f,Mismatch,"When he was around,",Naomi,17.44729995727539
16,1,he,m,Match,"When he was near,",Benjamin,16.724409103393555
16,1,she,m,Mismatch,"When she was near,",Donald,16.201433181762695
16,1,she,f,Match,"When she was near,",Mary,11.903511047363281
16,1,he,f,Mismatch,"When he was near,",Susan,14.831571578979492
17,1,he,m,Match,"When he was in court,",William,12.69130802154541
17,1,she,m,Mismatch,"When she was in court,",Eric,15.36548137664795
17,1,she,f,Match,"When she was in court,",Anna,14.07996654510498
17,1,he,f,Mismatch,"When he was in court,",Nicole,15.542476654052734
18,1,he,m,Match,"When he was poorly,",Mitchell,18.178409576416016
18,1,she,m,Mismatch,"When she was poorly,",Jeffrey,15.697158813476562
18,1,she,f,Match,"When she was poorly,",Julie,15.3680419921875
18,1,he,f,Mismatch,"When he was poorly,",Julia,14.965063095092773
19,1,he,m,Match,"When he arrived,",Travis,15.620383262634277
19,1,she,m,Mismatch,"When she arrived,",Ronald,15.972318649291992
19,1,she,f,Match,"When she arrived, the",sister,11.476405143737793
19,1,he,f,Mismatch,"When he arrived,",Vanessa,17.767053604125977
20,1,he,m,Match,"When he was appointed,",Eric,15.151230812072754
20,1,she,m,Mismatch,"When she was appointed,",Benjamin,15.477428436279297
20,1,she,f,Match,"When she was appointed,",Sharon,15.262578010559082
20,1,he,f,Mismatch,"When he was appointed,",Grace,17.001373291015625
21,1,he,m,Match,"When he was fired, the",nephew,15.454463005065918
21,1,she,m,Mismatch,"When she was fired,",Edward,15.263765335083008
21,1,she,f,Match,"When she was fired, the",lady,11.21552562713623
21,1,he,f,Mismatch,"When he was fired,",Danielle,16.752159118652344
22,1,he,m,Match,"When he was close,",Frank,13.70278263092041
22,1,she,m,Mismatch,"When she was close,",Ronald,16.904569625854492
22,1,she,f,Match,"When she was close,",Tiffany,16.859495162963867
22,1,he,f,Mismatch,"When he was close, the",waitress,13.912726402282715
23,1,he,m,Match,"When he was retired,",Samuel,14.876411437988281
23,1,she,m,Mismatch,"When she was retired,",Steven,15.295487403869629
23,1,she,f,Match,"When she was retired, the",sister,11.43445110321045
23,1,he,f,Mismatch,"When he was retired,",Victoria,17.983835220336914
24,1,he,m,Match,"When he was abroad,",Derek,18.05738639831543
24,1,she,m,Mismatch,"When she was abroad,",Carlos,17.60886001586914
24,1,she,f,Match,"When she was abroad,",Elizabeth,13.192617416381836
24,1,he,f,Mismatch,"When he was abroad,",Meredith,18.257352828979492
25,1,he,m,Match,"When he was discovered,",Jason,15.345945358276367
25,1,she,m,Mismatch,"When she was discovered,",Eric,16.177490234375
25,1,she,f,Match,"When she was discovered, the",waitress,13.389530181884766
25,1,he,f,Mismatch,"When he was discovered,",Beth,15.932819366455078
26,1,he,m,Match,"When he was busy,",Carlos,15.731873512268066
26,1,she,m,Mismatch,"When she was busy,",Todd,14.846396446228027
26,1,she,f,Match,"When she was busy,",Grace,14.02133560180664
26,1,he,f,Mismatch,"When he was busy,",Susan,13.160295486450195
27,1,he,m,Match,"When he was twenty-one,",Walter,14.725849151611328
27,1,she,m,Mismatch,"When she was twenty-one,",Phillip,17.506046295166016
27,1,she,f,Match,"When she was twenty-one,",Ellen,13.12088394165039
27,1,he,f,Mismatch,"When he was twenty-one, the",girlfriend,13.05534839630127
28,1,he,m,Match,"When he was annoyed,",Travis,15.754150390625
28,1,she,m,Mismatch,"When she was annoyed,",Bradley,17.57246971130371
28,1,she,f,Match,"When she was annoyed,",Beth,14.806260108947754
28,1,he,f,Mismatch,"When he was annoyed,",Maria,15.018717765808105
29,1,he,m,Match,"When he was in church,",Roger,14.311612129211426
29,1,she,m,Mismatch,"When she was in church,",Martin,13.562034606933594
29,1,she,f,Match,"When she was in church,",Alice,13.015575408935547
29,1,he,f,Mismatch,"When he was in church,",Naomi,18.516542434692383
30,1,he,m,Match,"When he was banished,",Rodney,18.993560791015625
30,1,she,m,Mismatch,"When she was banished,",Steven,16.728689193725586
30,1,she,f,Match,"When she was banished,",Anne,13.041048049926758
30,1,he,f,Mismatch,"When he was banished, the",lady,10.841242790222168
31,1,he,m,Match,"When he was angry,",Bruce,14.095932006835938
31,1,she,m,Mismatch,"When she was angry,",Carlos,17.084705352783203
31,1,she,f,Match,"When she was angry,",Sarah,12.882380485534668
31,1,he,f,Mismatch,"When he was angry,",Laura,15.156598091125488
32,1,he,m,Match,"When he was distraught,",Charles,13.547133445739746
32,1,she,m,Mismatch,"When she was distraught,",Christopher,13.520858764648438
32,1,she,f,Match,"When she was distraught,",Alice,12.948780059814453
32,1,he,f,Mismatch,"When he was distraught, the",sister,11.971965789794922
1,1,he,m,Match,"When he was off work,",Charles,12.773181915283203
1,1,she,m,Mismatch,"When she was off work, the",grandson,16.188112258911133
1,1,she,f,Match,"When she was off work,",Danielle,14.483360290527344
1,1,he,f,Mismatch,"When he was off work,",Laurie,16.14824676513672
2,1,he,m,Match,"When he arrived, the",boy,7.74267053604126
2,1,she,m,Mismatch,"When she arrived,",Chad,16.616905212402344
2,1,she,f,Match,"When she arrived,",Veronica,16.578411102294922
2,1,he,f,Mismatch,"When he arrived,",Ellen,14.723726272583008
3,1,he,m,Match,"When he was fed up,",Eric,15.629651069641113
3,1,she,m,Mismatch,"When she was fed up,",Edward,15.582051277160645
3,1,she,f,Match,"When she was fed up,",Florence,16.26467514038086
3,1,he,f,Mismatch,"When he was fed up,",Anna,15.980610847473145
4,1,he,m,Match,"When he was talking,",Christopher,14.216680526733398
4,1,she,m,Mismatch,"When she was talking,",Travis,15.716291427612305
4,1,she,f,Match,"When she was talking,",Suzanne,14.985636711120605
4,1,he,f,Mismatch,"When he was talking,",Stephanie,15.049221992492676
5,1,he,m,Match,"When he was nearby,",Phillip,16.208114624023438
5,1,she,m,Mismatch,"When she was nearby,",Omar,17.049531936645508
5,1,she,f,Match,"When she was nearby,",Patricia,14.597911834716797
5,1,he,f,Mismatch,"When he was nearby, the",granddaughter,16.78594398498535
6,1,he,m,Match,"When he was lost,",Brett,17.98773956298828
6,1,she,m,Mismatch,"When she was lost,",Paul,12.76771068572998
6,1,she,f,Match,"When she was lost,",Cindy,16.87786865234375
6,1,he,f,Mismatch,"When he was lost, the",waitress,14.464354515075684
7,1,he,m,Match,"When he was bad-tempered,",Phillip,18.7904109954834
7,1,she,m,Mismatch,"When she was bad-tempered, the",man,7.077701091766357
7,1,she,f,Match,"When she was bad-tempered, the",granddaughter,15.381583213806152
7,1,he,f,Mismatch,"When he was bad-tempered,",Wendy,19.399412155151367
8,1,he,m,Match,"When he was jealous,",Edward,14.85255241394043
8,1,she,m,Mismatch,"When she was jealous,",Jerry,16.74480628967285
8,1,she,f,Match,"When she was jealous,",Veronica,16.02845001220703
8,1,he,f,Mismatch,"When he was jealous, the",sister,11.278629302978516
9,1,he,m,Match,"When he was in residence,",George,11.440522193908691
9,1,she,m,Mismatch,"When she was in residence,",Patrick,14.854653358459473
9,1,she,f,Match,"When she was in residence,",Jill,14.96924877166748
9,1,he,f,Mismatch,"When he was in residence,",Meredith,17.29464340209961
10,1,he,m,Match,"When he was introduced,",William,11.327441215515137
10,1,she,m,Mismatch,"When she was introduced,",Douglas,15.122916221618652
10,1,she,f,Match,"When she was introduced,",Tara,14.834888458251953
10,1,he,f,Mismatch,"When he was introduced,",Jill,16.046390533447266
11,1,he,m,Match,"When he arrived,",Keith,15.37496280670166
11,1,she,m,Mismatch,"When she arrived,",Omar,16.197996139526367
11,1,she,f,Match,"When she arrived, the",grandmother,11.888344764709473
11,1,he,f,Mismatch,"When he arrived,",Anne,14.151632308959961
12,1,he,m,Match,"When he felt sad,",Andrew,14.606147766113281
12,1,she,m,Mismatch,"When she felt sad,",Adam,16.61440658569336
12,1,she,f,Match,"When she felt sad, the",lady,8.591087341308594
12,1,he,f,Mismatch,"When he felt sad,",Stephanie,17.65412139892578
13,1,he,m,Match,"When he was present,",Carlos,15.892105102539062
13,1,she,m,Mismatch,"When she was present,",Omar,17.72812843322754
13,1,she,f,Match,"When she was present,",Tiffany,16.6337890625
13,1,he,f,Mismatch,"When he was present,",Mary,12.482852935791016
14,1,he,m,Match,"When he was depressed,",Aaron,14.469808578491211
14,1,she,m,Mismatch,"When she was depressed, the",father,9.087177276611328
14,1,she,f,Match,"When she was depressed,",Laurie,17.137239456176758
14,1,he,f,Mismatch,"When he was depressed,",Susan,13.744943618774414
15,1,he,m,Match,"When he was around,",Gary,14.090516090393066
15,1,she,m,Mismatch,"When she was around,",Douglas,15.48324966430664
15,1,she,f,Match,"When she was around,",Maria,12.514164924621582
15,1,he,f,Mismatch,"When he was around,",Elizabeth,13.765970230102539
16,1,he,m,Match,"When he was near,",Jason,15.261078834533691
16,1,she,m,Mismatch,"When she was near,",Bradley,18.57355308532715
16,1,she,f,Match,"When she was near,",Diana,15.366976737976074
16,1,he,f,Mismatch,"When he was near, the",actress,15.3687105178833
17,1,he,m,Match,"When he was in court,",Paul,12.70877742767334
17,1,she,m,Mismatch,"When she was in court,",William,13.986671447753906
17,1,she,f,Match,"When she was in court, the",lady,10.000920295715332
17,1,he,f,Mismatch,"When he was in court, the",lady,11.881389617919922
18,1,he,m,Match,"When he was poorly,",Adam,15.508942604064941
18,1,she,m,Mismatch,"When she was poorly,",Andrew,13.870437622070312
18,1,she,f,Match,"When she was poorly,",Wendy,15.89504623413086
18,1,he,f,Mismatch,"When he was poorly,",Natalie,17.366756439208984
19,1,he,m,Match,"When he arrived,",Adam,14.30085563659668
19,1,she,m,Mismatch,"When she arrived,",Andrew,13.430036544799805
19,1,she,f,Match,"When she arrived,",Pamela,15.197416305541992
19,1,he,f,Mismatch,"When he arrived,",Natalie,16.491653442382812
20,1,he,m,Match,"When he was appointed,",Mitchell,15.423540115356445
20,1,she,m,Mismatch,"When she was appointed,",Brett,17.891172409057617
20,1,she,f,Match,"When she was appointed,",Carol,14.500452995300293
20,1,he,f,Mismatch,"When he was appointed,",Wendy,18.462749481201172
21,1,he,m,Match,"When he was fired,",John,11.04919147491455
21,1,she,m,Mismatch,"When she was fired,",Mark,13.2802152633667
21,1,she,f,Match,"When she was fired,",Erin,15.996406555175781
21,1,he,f,Mismatch,"When he was fired,",Meredith,15.595301628112793
22,1,he,m,Match,"When he was close,",Mitchell,16.179155349731445
22,1,she,m,Mismatch,"When she was close,",Theodore,15.754083633422852
22,1,she,f,Match,"When she was close, the",lady,8.858643531799316
22,1,he,f,Mismatch,"When he was close,",Veronica,18.580963134765625
23,1,he,m,Match,"When he was retired,",Ronald,14.640660285949707
23,1,she,m,Mismatch,"When she was retired,",Douglas,15.591568946838379
23,1,she,f,Match,"When she was retired,",Vanessa,17.697792053222656
23,1,he,f,Mismatch,"When he was retired,",Jessica,18.638200759887695
24,1,he,m,Match,"When he was abroad,",Theodore,15.664019584655762
24,1,she,m,Mismatch,"When she was abroad,",Omar,17.936737060546875
24,1,she,f,Match,"When she was abroad,",Maria,13.413084983825684
24,1,he,f,Mismatch,"When he was abroad,",Jill,17.810157775878906
25,1,he,m,Match,"When he was discovered,",Samuel,14.161279678344727
25,1,she,m,Mismatch,"When she was discovered,",Omar,17.706539154052734
25,1,she,f,Match,"When she was discovered,",Ellen,15.670909881591797
25,1,he,f,Mismatch,"When he was discovered,",Patricia,17.559659957885742
26,1,he,m,Match,"When he was busy,",Curtis,15.455775260925293
26,1,she,m,Mismatch,"When she was busy,",Paul,12.362906455993652
26,1,she,f,Match,"When she was busy,",Wendy,14.42743968963623
26,1,he,f,Mismatch,"When he was busy,",Cindy,15.251721382141113
27,1,he,m,Match,"When he was twenty-one,",Andrew,13.357065200805664
27,1,she,m,Mismatch,"When she was twenty-one,",Carlos,17.210264205932617
27,1,she,f,Match,"When she was twenty-one,",Susan,12.961420059204102
27,1,he,f,Mismatch,"When he was twenty-one,",Elizabeth,12.432741165161133
28,1,he,m,Match,"When he was annoyed, the",grandson,14.527395248413086
28,1,she,m,Mismatch,"When she was annoyed,",Douglas,15.463178634643555
28,1,she,f,Match,"When she was annoyed,",Denise,16.49427032470703
28,1,he,f,Mismatch,"When he was annoyed, the",sister,12.550602912902832
29,1,he,m,Match,"When he was in church,",Mitchell,17.076427459716797
29,1,she,m,Mismatch,"When she was in church,",Steven,15.992286682128906
29,1,she,f,Match,"When she was in church, the",lady,8.224205017089844
29,1,he,f,Mismatch,"When he was in church, the",waitress,14.29856014251709
30,1,he,m,Match,"When he was banished, the",boy,8.708545684814453
30,1,she,m,Mismatch,"When she was banished,",Ronald,16.64221954345703
30,1,she,f,Match,"When she was banished,",Connie,16.379194259643555
30,1,he,f,Mismatch,"When he was banished,",Victoria,17.50886344909668
31,1,he,m,Match,"When he was angry,",Dan,13.678669929504395
31,1,she,m,Mismatch,"When she was angry,",Omar,18.044849395751953
31,1,she,f,Match,"When she was angry,",Tara,15.448186874389648
31,1,he,f,Mismatch,"When he was angry, the",girl,8.597566604614258
32,1,he,m,Match,"When he was distraught,",Bradley,16.73952293395996
32,1,she,m,Mismatch,"When she was distraught,",Douglas,15.163322448730469
32,1,she,f,Match,"When she was distraught,",Meredith,15.764573097229004
32,1,he,f,Mismatch,"When he was distraught,",Julie,15.361172676086426
1,1,he,m,Match,"When he was off work, the",guy,8.819318771362305
1,1,she,m,Mismatch,"When she was off work,",Kenneth,15.904348373413086
1,1,she,f,Match,"When she was off work,",Leslie,14.35506534576416
1,1,he,f,Mismatch,"When he was off work,",Jane,13.618273735046387
2,1,he,m,Match,"When he arrived, the",husband,12.153297424316406
2,1,she,m,Mismatch,"When she arrived,",Martin,13.702543258666992
2,1,she,f,Match,"When she arrived,",Erin,16.212528228759766
2,1,he,f,Mismatch,"When he arrived,",Paula,16.67534637451172
3,1,he,m,Match,"When he was fed up, the",grandson,15.002052307128906
3,1,she,m,Mismatch,"When she was fed up,",Phillip,17.833847045898438
3,1,she,f,Match,"When she was fed up,",Stacy,17.926057815551758
3,1,he,f,Mismatch,"When he was fed up,",Diana,17.534025192260742
4,1,he,m,Match,"When he was talking,",Ronald,15.242940902709961
4,1,she,m,Mismatch,"When she was talking,",Aaron,15.615955352783203
4,1,she,f,Match,"When she was talking,",Alice,11.489291191101074
4,1,he,f,Mismatch,"When he was talking,",Mary,11.197265625
5,1,he,m,Match,"When he was nearby,",Travis,15.346905708312988
5,1,she,m,Mismatch,"When she was nearby,",George,13.707113265991211
5,1,she,f,Match,"When she was nearby, the",grandmother,12.161779403686523
5,1,he,f,Mismatch,"When he was nearby,",Emily,14.866615295410156
6,1,he,m,Match,"When he was lost,",Theodore,16.01395606994629
6,1,she,m,Mismatch,"When she was lost,",Gary,17.096088409423828
6,1,she,f,Match,"When she was lost,",Jane,14.168343544006348
6,1,he,f,Mismatch,"When he was lost,",Ellen,15.014643669128418
7,1,he,m,Match,"When he was bad-tempered,",Mitchell,18.365217208862305
7,1,she,m,Mismatch,"When she was bad-tempered,",Peter,13.342214584350586
7,1,she,f,Match,"When she was bad-tempered,",Ruth,15.455704689025879
7,1,he,f,Mismatch,"When he was bad-tempered,",Susan,15.496541023254395
8,1,he,m,Match,"When he was jealous,",Adam,14.704236030578613
8,1,she,m,Mismatch,"When she was jealous,",Gerald,15.296488761901855
8,1,she,f,Match,"When she was jealous, the",actress,12.277202606201172
8,1,he,f,Mismatch,"When he was jealous,",Danielle,20.411128997802734
9,1,he,m,Match,"When he was in residence,",Raymond,15.972768783569336
9,1,she,m,Mismatch,"When she was in residence,",Curtis,14.777626991271973
9,1,she,f,Match,"When she was in residence,",Tara,15.778051376342773
9,1,he,f,Mismatch,"When he was in residence,",Jane,14.261296272277832
10,1,he,m,Match,"When he was introduced,",Paul,11.551865577697754
10,1,she,m,Mismatch,"When she was introduced,",Travis,17.159181594848633
10,1,she,f,Match,"When she was introduced,",Caroline,13.191762924194336
10,1,he,f,Mismatch,"When he was introduced,",Rachel,14.854233741760254
11,1,he,m,Match,"When he arrived,",Jason,14.754995346069336
11,1,she,m,Mismatch,"When she arrived,",Curtis,15.14584732055664
11,1,she,f,Match,"When she arrived,",Samantha,14.865543365478516
11,1,he,f,Mismatch,"When he arrived,",Grace,15.143167495727539
12,1,he,m,Match,"When he felt sad,",Kenneth,17.886066436767578
12,1,she,m,Mismatch,"When she felt sad, the",boy,8.996369361877441
12,1,she,f,Match,"When she felt sad,",Sandra,17.151676177978516
12,1,he,f,Mismatch,"When he felt sad,",Mary,12.388160705566406
13,1,he,m,Match,"When he was present,",Aaron,15.705142974853516
13,1,she,m,Mismatch,"When she was present,",Jerry,17.202957153320312
13,1,she,f,Match,"When she was present,",Donna,14.458992958068848
13,1,he,f,Mismatch,"When he was present,",Erin,17.703184127807617
14,1,he,m,Match,"When he was depressed, the",grandson,15.004949569702148
14,1,she,m,Mismatch,"When she was depressed,",Christopher,14.331122398376465
14,1,she,f,Match,"When she was depressed,",Gina,17.119356155395508
14,1,he,f,Mismatch,"When he was depressed,",Sonia,17.4091796875
15,1,he,m,Match,"When he was around,",Bill,11.570647239685059
15,1,she,m,Mismatch,"When she was around,",Eric,14.235732078552246
15,1,she,f,Match,"When she was around,",Tara,13.74001407623291
15,1,he,f,Mismatch,"When he was around,",Nicole,15.916275978088379
16,1,he,m,Match,"When he was near,",Mark,13.437376976013184
16,1,she,m,Mismatch,"When she was near,",Keith,16.95051383972168
16,1,she,f,Match,"When she was near,",Sonia,19.32053565979004
16,1,he,f,Mismatch,"When he was near,",Kathleen,18.310014724731445
17,1,he,m,Match,"When he was in court,",Curtis,15.321812629699707
17,1,she,m,Mismatch,"When she was in court,",Gary,15.565874099731445
17,1,she,f,Match,"When she was in court, the",granddaughter,14.565573692321777
17,1,he,f,Mismatch,"When he was in court,",Erin,17.227632522583008
18,1,he,m,Match,"When he was poorly, the",brother,11.258553504943848
18,1,she,m,Mismatch,"When she was poorly,",Todd,15.279597282409668
18,1,she,f,Match,"When she was poorly,",Anna,13.078557014465332
18,1,he,f,Mismatch,"When he was poorly,",Meredith,17.133590698242188
19,1,he,m,Match,"When he arrived,",Bill,13.604107856750488
19,1,she,m,Mismatch,"When she arrived,",Bill,13.804789543151855
19,1,she,f,Match,"When she arrived,",Erin,16.212514877319336
19,1,he,f,Mismatch,"When he arrived,",Anne,14.151639938354492
20,1,he,m,Match,"When he was appointed,",Carlos,16.5161075592041
20,1,she,m,Mismatch,"When she was appointed,",Travis,18.773157119750977
20,1,she,f,Match,"When she was appointed, the",lady,9.920034408569336
20,1,he,f,Mismatch,"When he was appointed,",Rachel,16.157278060913086
21,1,he,m,Match,"When he was fired,",Phillip,16.975597381591797
21,1,she,m,Mismatch,"When she was fired,",Andrew,14.406767845153809
21,1,she,f,Match,"When she was fired,",Kathleen,13.212078094482422
21,1,he,f,Mismatch,"When he was fired,",Diana,16.902847290039062
22,1,he,m,Match,"When he was close,",Kevin,15.02020263671875
22,1,she,m,Mismatch,"When she was close,",Adam,14.892860412597656
22,1,she,f,Match,"When she was close,",Susan,12.789752006530762
22,1,he,f,Mismatch,"When he was close,",Monica,17.69305419921875
23,1,he,m,Match,"When he was retired,",Andrew,13.126291275024414
23,1,she,m,Mismatch,"When she was retired,",Dennis,15.084031105041504
23,1,she,f,Match,"When she was retired, the",lady,9.342550277709961
23,1,he,f,Mismatch,"When he was retired,",Martha,15.992742538452148
24,1,he,m,Match,"When he was abroad, the",boy,8.994452476501465
24,1,she,m,Mismatch,"When she was abroad,",Jerry,18.331722259521484
24,1,she,f,Match,"When she was abroad,",Wendy,16.90497398376465
24,1,he,f,Mismatch,"When he was abroad,",Erin,17.999326705932617
25,1,he,m,Match,"When he was discovered,",Steven,15.53939151763916
25,1,she,m,Mismatch,"When she was discovered,",George,14.243922233581543
25,1,she,f,Match,"When she was discovered,",Susan,14.86730670928955
25,1,he,f,Mismatch,"When he was discovered,",Valerie,18.690656661987305
26,1,he,m,Match,"When he was busy,",Alan,14.573790550231934
26,1,she,m,Mismatch,"When she was busy,",Daniel,14.334015846252441
26,1,she,f,Match,"When she was busy, the",granddaughter,14.994848251342773
26,1,he,f,Mismatch,"When he was busy,",Ruth,14.82674503326416
27,1,he,m,Match,"When he was twenty-one, the",boyfriend,13.086482048034668
27,1,she,m,Mismatch,"When she was twenty-one,",Eric,15.579715728759766
27,1,she,f,Match,"When she was twenty-one,",Barbara,14.122509002685547
27,1,he,f,Mismatch,"When he was twenty-one,",Alice,13.319816589355469
28,1,he,m,Match,"When he was annoyed,",Vincent,16.097681045532227
28,1,she,m,Mismatch,"When she was annoyed,",Ronald,16.723220825195312
28,1,she,f,Match,"When she was annoyed,",Barbara,14.710347175598145
28,1,he,f,Mismatch,"When he was annoyed, the",granddaughter,16.287614822387695
29,1,he,m,Match,"When he was in church, the",brother,10.911307334899902
29,1,she,m,Mismatch,"When she was in church,",Ronald,16.70535659790039
29,1,she,f,Match,"When she was in church,",Victoria,16.659189224243164
29,1,he,f,Mismatch,"When he was in church, the",granddaughter,16.06974983215332
30,1,he,m,Match,"When he was banished,",Bill,14.822334289550781
30,1,she,m,Mismatch,"When she was banished,",Jeffrey,16.557798385620117
30,1,she,f,Match,"When she was banished,",Susan,13.616533279418945
30,1,he,f,Mismatch,"When he was banished,",Ellen,16.732877731323242
31,1,he,m,Match,"When he was angry,",Todd,15.42819881439209
31,1,she,m,Mismatch,"When she was angry,",William,13.41329574584961
31,1,she,f,Match,"When she was angry,",Jessica,15.373835563659668
31,1,he,f,Mismatch,"When he was angry,",Connie,17.660980224609375
32,1,he,m,Match,"When he was distraught,",Travis,15.590950965881348
32,1,she,m,Mismatch,"When she was distraught,",Eric,14.306928634643555
32,1,she,f,Match,"When she was distraught,",Diana,16.12498664855957
32,1,he,f,Mismatch,"When he was distraught,",Laurie,17.77341651916504
1,1,he,m,Match,"When he was off work,",Mitchell,14.817628860473633
1,1,she,m,Mismatch,"When she was off work,",Jerry,15.548805236816406
1,1,she,f,Match,"When she was off work,",Alice,12.718031883239746
1,1,he,f,Mismatch,"When he was off work,",Paula,15.49372386932373
2,1,he,m,Match,"When he arrived, the",brother,11.448844909667969
2,1,she,m,Mismatch,"When she arrived,",Frank,13.827526092529297
2,1,she,f,Match,"When she arrived,",Barbara,14.25560188293457
2,1,he,f,Mismatch,"When he arrived, the",grandmother,13.528152465820312
3,1,he,m,Match,"When he was fed up,",Kenneth,17.131025314331055
3,1,she,m,Mismatch,"When she was fed up,",Kenneth,17.40889549255371
3,1,she,f,Match,"When she was fed up,",Andrea,16.81096649169922
3,1,he,f,Mismatch,"When he was fed up,",Laurie,18.27533531188965
4,1,he,m,Match,"When he was talking,",Jeffrey,15.793211936950684
4,1,she,m,Mismatch,"When she was talking,",Adam,14.609846115112305
4,1,she,f,Match,"When she was talking,",Anna,12.018016815185547
4,1,he,f,Mismatch,"When he was talking,",Anne,13.523277282714844
5,1,he,m,Match,"When he was nearby,",Theodore,15.673111915588379
5,1,she,m,Mismatch,"When she was nearby, the",brother,11.849483489990234
5,1,she,f,Match,"When she was nearby,",Katherine,14.668554306030273
5,1,he,f,Mismatch,"When he was nearby,",Rebecca,15.449273109436035
6,1,he,m,Match,"When he was lost,",Jerry,16.463430404663086
6,1,she,m,Mismatch,"When she was lost,",Bill,14.189669609069824
6,1,she,f,Match,"When she was lost,",Valerie,18.487796783447266
6,1,he,f,Mismatch,"When he was lost,",April,15.611030578613281
7,1,he,m,Match,"When he was bad-tempered, the",brother,10.964502334594727
7,1,she,m,Mismatch,"When she was bad-tempered,",Lawrence,17.871196746826172
7,1,she,f,Match,"When she was bad-tempered,",Barbara,16.600364685058594
7,1,he,f,Mismatch,"When he was bad-tempered,",Sonia,20.481517791748047
8,1,he,m,Match,"When he was jealous,",Todd,16.164905548095703
8,1,she,m,Mismatch,"When she was jealous,",Craig,16.82579231262207
8,1,she,f,Match,"When she was jealous,",Monica,15.508718490600586
8,1,he,f,Mismatch,"When he was jealous,",Wendy,16.561307907104492
9,1,he,m,Match,"When he was in residence,",Lawrence,14.588103294372559
9,1,she,m,Mismatch,"When she was in residence,",Alan,15.313579559326172
9,1,she,f,Match,"When she was in residence, the",grandmother,12.185287475585938
9,1,he,f,Mismatch,"When he was in residence,",Paula,17.579904556274414
10,1,he,m,Match,"When he was introduced,",Roger,13.546805381774902
10,1,she,m,Mismatch,"When she was introduced,",Kenneth,15.324893951416016
10,1,she,f,Match,"When she was introduced,",Jessica,15.011370658874512
10,1,he,f,Mismatch,"When he was introduced, the",waitress,13.766575813293457
11,1,he,m,Match,"When he arrived,",Frank,13.634225845336914
11,1,she,m,Mismatch,"When she arrived,",Alan,14.724751472473145
11,1,she,f,Match,"When she arrived,",Allison,15.39378547668457
11,1,he,f,Mismatch,"When he arrived,",Victoria,15.855114936828613
12,1,he,m,Match,"When he felt sad,",Paul,12.530232429504395
12,1,she,m,Mismatch,"When she felt sad, the",husband,11.41926383972168
12,1,she,f,Match,"When she felt sad,",Jane,14.48185920715332
12,1,he,f,Mismatch,"When he felt sad,",Grace,17.437332153320312
13,1,he,m,Match,"When he was present,",Gary,16.381912231445312
13,1,she,m,Mismatch,"When she was present,",Gary,17.095876693725586
13,1,she,f,Match,"When she was present,",Victoria,16.03467559814453
13,1,he,f,Mismatch,"When he was present,",Laurie,17.775985717773438
14,1,he,m,Match,"When he was depressed,",Gary,14.637126922607422
14,1,she,m,Mismatch,"When she was depressed,",Dan,13.9805269241333
14,1,she,f,Match,"When she was depressed,",Valerie,17.02972412109375
14,1,he,f,Mismatch,"When he was depressed, the",actress,13.063509941101074
15,1,he,m,Match,"When he was around,",Alan,14.213066101074219
15,1,she,m,Mismatch,"When she was around,",Mitchell,16.182497024536133
15,1,she,f,Match,"When she was around,",Melanie,14.221365928649902
15,1,he,f,Mismatch,"When he was around,",Natalie,16.14728355407715
