item,exp,pronoun,cond,contrast,sent,target,gpt3_surp
8,1,she,f,Match,"When she was jealous,",Leslie,14.90379810333252
8,1,he,f,Mismatch,"When he was jealous,",Nicole,18.26323890686035
9,1,he,m,Match,"When he was in residence,",William,8.902069091796875
9,1,she,m,Mismatch,"When she was in residence,",Douglas,15.58159065246582
9,1,she,f,Match,"When she was in residence,",Tiffany,14.211735725402832
9,1,he,f,Mismatch,"When he was in residence,",Sharon,20.23310661315918
10,1,he,m,Match,"When he was introduced,",Steven,12.349555015563965
10,1,she,m,Mismatch,"When she was introduced,",Alexander,14.899154663085938
10,1,she,f,Match,"When she was introduced, the",granddaughter,16.385276794433594
10,1,he,f,Mismatch,"When he was introduced,",Sharon,18.93302345275879
11,1,he,m,Match,"When he arrived,",Thomas,10.568245887756348
11,1,she,m,Mismatch,"When she arrived,",Dennis,15.40976619720459
11,1,she,f,Match,"When she arrived,",Julie,12.397945404052734
11,1,he,f,Mismatch,"When he arrived,",Connie,16.37372398376465
12,1,he,m,Match,"When he felt sad,",Brett,18.117109298706055
12,1,she,m,Mismatch,"When she felt sad,",Kevin,17.01712417602539
12,1,she,f,Match,"When she felt sad,",Nicole,12.532661437988281
12,1,he,f,Mismatch,"When he felt sad,",Amanda,19.901033401489258
13,1,he,m,Match,"When he was present,",Eric,13.168599128723145
13,1,she,m,Mismatch,"When she was present,",Theodore,16.905302047729492
13,1,she,f,Match,"When she was present,",Nicole,15.433841705322266
13,1,he,f,Mismatch,"When he was present,",Naomi,18.581401824951172
14,1,he,m,Match,"When he was depressed, the",son,10.277113914489746
14,1,she,m,Mismatch,"When she was depressed,",Keith,16.13397979736328
14,1,she,f,Match,"When she was depressed,",Ellen,13.467145919799805
14,1,he,f,Mismatch,"When he was depressed,",Wendy,19.41610336303711
15,1,he,m,Match,"When he was around,",Kevin,12.840842247009277
15,1,she,m,Mismatch,"When she was around,",Keith,15.60153579711914
15,1,she,f,Match,"When she was around,",Sally,15.052885055541992
15,1,he,f,Mismatch,"When he was around,",Naomi,17.709625244140625
16,1,he,m,Match,"When he was near,",Benjamin,14.55772876739502
16,1,she,m,Mismatch,"When she was near,",Donald,15.298300743103027
16,1,she,f,Match,"When she was near,",Mary,10.434720993041992
16,1,he,f,Mismatch,"When he was near,",Susan,15.211803436279297
17,1,he,m,Match,"When he was in court,",William,12.271875381469727
17,1,she,m,Mismatch,"When she was in court,",Eric,14.231082916259766
17,1,she,f,Match,"When she was in court,",Anna,10.74590015411377
17,1,he,f,Mismatch,"When he was in court,",Nicole,15.64453125
18,1,he,m,Match,"When he was poorly,",Mitchell,15.503726959228516
18,1,she,m,Mismatch,"When she was poorly,",Jeffrey,19.521398544311523
18,1,she,f,Match,"When she was poorly,",Julie,13.279723167419434
18,1,he,f,Mismatch,"When he was poorly,",Julia,15.828958511352539
19,1,he,m,Match,"When he arrived,",Travis,14.092691421508789
19,1,she,m,Mismatch,"When she arrived,",Ronald,16.97127914428711
19,1,she,f,Match,"When she arrived, the",sister,11.378619194030762
19,1,he,f,Mismatch,"When he arrived,",Vanessa,17.45934295654297
20,1,he,m,Match,"When he was appointed,",Eric,11.506414413452148
20,1,she,m,Mismatch,"When she was appointed,",Benjamin,16.60445785522461
20,1,she,f,Match,"When she was appointed,",Sharon,16.09607696533203
20,1,he,f,Mismatch,"When he was appointed,",Grace,15.042192459106445
21,1,he,m,Match,"When he was fired, the",nephew,16.902490615844727
21,1,she,m,Mismatch,"When she was fired,",Edward,16.375852584838867
21,1,she,f,Match,"When she was fired, the",lady,10.7770357131958
21,1,he,f,Mismatch,"When he was fired,",Danielle,19.159915924072266
22,1,he,m,Match,"When he was close,",Frank,11.616175651550293
22,1,she,m,Mismatch,"When she was close,",Ronald,16.541606903076172
22,1,she,f,Match,"When she was close,",Tiffany,15.081636428833008
22,1,he,f,Mismatch,"When he was close, the",waitress,12.214703559875488
23,1,he,m,Match,"When he was retired,",Samuel,14.68535041809082
23,1,she,m,Mismatch,"When she was retired,",Steven,16.451528549194336
23,1,she,f,Match,"When she was retired, the",sister,10.994515419006348
23,1,he,f,Mismatch,"When he was retired,",Victoria,17.752948760986328
24,1,he,m,Match,"When he was abroad,",Derek,14.629755973815918
24,1,she,m,Mismatch,"When she was abroad,",Carlos,18.191755294799805
24,1,she,f,Match,"When she was abroad,",Elizabeth,9.938000679016113
24,1,he,f,Mismatch,"When he was abroad,",Meredith,17.742595672607422
25,1,he,m,Match,"When he was discovered,",Jason,13.053694725036621
25,1,she,m,Mismatch,"When she was discovered,",Eric,14.557559967041016
25,1,she,f,Match,"When she was discovered, the",waitress,11.751602172851562
25,1,he,f,Mismatch,"When he was discovered,",Beth,17.400693893432617
26,1,he,m,Match,"When he was busy,",Carlos,15.144342422485352
26,1,she,m,Mismatch,"When she was busy,",Todd,15.072691917419434
26,1,she,f,Match,"When she was busy,",Grace,11.76298713684082
26,1,he,f,Mismatch,"When he was busy,",Susan,15.717205047607422
27,1,he,m,Match,"When he was twenty-one,",Walter,10.310471534729004
27,1,she,m,Mismatch,"When she was twenty-one,",Phillip,15.320372581481934
27,1,she,f,Match,"When she was twenty-one,",Ellen,10.608149528503418
27,1,he,f,Mismatch,"When he was twenty-one, the",girlfriend,16.008316040039062
28,1,he,m,Match,"When he was annoyed,",Travis,15.706915855407715
28,1,she,m,Mismatch,"When she was annoyed,",Bradley,18.66796112060547
28,1,she,f,Match,"When she was annoyed,",Beth,13.352392196655273
28,1,he,f,Mismatch,"When he was annoyed,",Maria,16.59075355529785
29,1,he,m,Match,"When he was in church,",Roger,14.251679420471191
29,1,she,m,Mismatch,"When she was in church,",Martin,14.402804374694824
29,1,she,f,Match,"When she was in church,",Alice,12.408605575561523
29,1,he,f,Mismatch,"When he was in church,",Naomi,20.698518753051758
30,1,he,m,Match,"When he was banished,",Rodney,18.304473876953125
30,1,she,m,Mismatch,"When she was banished,",Steven,16.727956771850586
30,1,she,f,Match,"When she was banished,",Anne,12.623058319091797
30,1,he,f,Mismatch,"When he was banished, the",lady,12.516393661499023
31,1,he,m,Match,"When he was angry,",Bruce,14.900815963745117
31,1,she,m,Mismatch,"When she was angry,",Carlos,18.09370994567871
31,1,she,f,Match,"When she was angry,",Sarah,10.712410926818848
31,1,he,f,Mismatch,"When he was angry,",Laura,17.356781005859375
32,1,he,m,Match,"When he was distraught,",Charles,12.249009132385254
32,1,she,m,Mismatch,"When she was distraught,",Christopher,15.225130081176758
32,1,she,f,Match,"When she was distraught,",Alice,14.273086547851562
32,1,he,f,Mismatch,"When he was distraught, the",sister,12.579655647277832
1,1,he,m,Match,"When he was off work,",Charles,11.180230140686035
1,1,she,m,Mismatch,"When she was off work, the",grandson,17.014076232910156
1,1,she,f,Match,"When she was off work,",Danielle,12.424631118774414
1,1,he,f,Mismatch,"When he was off work,",Laurie,18.290163040161133
2,1,he,m,Match,"When he arrived, the",boy,8.313693046569824
2,1,she,m,Mismatch,"When she arrived,",Chad,15.240185737609863
2,1,she,f,Match,"When she arrived,",Veronica,15.044230461120605
2,1,he,f,Mismatch,"When he arrived,",Ellen,16.01323699951172
3,1,he,m,Match,"When he was fed up,",Eric,12.844979286193848
3,1,she,m,Mismatch,"When she was fed up,",Edward,16.580480575561523
3,1,she,f,Match,"When she was fed up,",Florence,15.478575706481934
3,1,he,f,Mismatch,"When he was fed up,",Anna,17.192903518676758
4,1,he,m,Match,"When he was talking,",Christopher,14.592574119567871
4,1,she,m,Mismatch,"When she was talking,",Travis,16.098628997802734
4,1,she,f,Match,"When she was talking,",Suzanne,16.197153091430664
4,1,he,f,Mismatch,"When he was talking,",Stephanie,16.462770462036133
5,1,he,m,Match,"When he was nearby,",Phillip,14.883993148803711
5,1,she,m,Mismatch,"When she was nearby,",Omar,17.010005950927734
5,1,she,f,Match,"When she was nearby,",Patricia,14.760361671447754
5,1,he,f,Mismatch,"When he was nearby, the",granddaughter,18.89300537109375
6,1,he,m,Match,"When he was lost,",Brett,20.039087295532227
6,1,she,m,Mismatch,"When she was lost,",Paul,13.525837898254395
6,1,she,f,Match,"When she was lost,",Cindy,16.783672332763672
6,1,he,f,Mismatch,"When he was lost, the",waitress,15.159733772277832
7,1,he,m,Match,"When he was bad-tempered,",Phillip,17.535303115844727
7,1,she,m,Mismatch,"When she was bad-tempered, the",man,8.256101608276367
7,1,she,f,Match,"When she was bad-tempered, the",granddaughter,19.308685302734375
7,1,he,f,Mismatch,"When he was bad-tempered,",Wendy,17.992876052856445
8,1,he,m,Match,"When he was jealous,",Edward,13.36889934539795
8,1,she,m,Mismatch,"When she was jealous,",Jerry,16.939014434814453
8,1,she,f,Match,"When she was jealous,",Veronica,16.172910690307617
8,1,he,f,Mismatch,"When he was jealous, the",sister,13.501800537109375
9,1,he,m,Match,"When he was in residence,",George,8.4871244430542
9,1,she,m,Mismatch,"When she was in residence,",Patrick,14.252399444580078
9,1,she,f,Match,"When she was in residence,",Jill,14.477118492126465
9,1,he,f,Mismatch,"When he was in residence,",Meredith,16.90370750427246
10,1,he,m,Match,"When he was introduced,",William,12.761198043823242
10,1,she,m,Mismatch,"When she was introduced,",Douglas,15.155850410461426
10,1,she,f,Match,"When she was introduced,",Tara,13.851577758789062
10,1,he,f,Mismatch,"When he was introduced,",Jill,18.808582305908203
11,1,he,m,Match,"When he arrived,",Keith,14.18049144744873
11,1,she,m,Mismatch,"When she arrived,",Omar,16.360647201538086
11,1,she,f,Match,"When she arrived, the",grandmother,12.879090309143066
11,1,he,f,Mismatch,"When he arrived,",Anne,14.186264991760254
12,1,he,m,Match,"When he felt sad,",Andrew,12.008462905883789
12,1,she,m,Mismatch,"When she felt sad,",Adam,17.535537719726562
12,1,she,f,Match,"When she felt sad, the",lady,10.176759719848633
12,1,he,f,Mismatch,"When he felt sad,",Stephanie,20.553667068481445
13,1,he,m,Match,"When he was present,",Carlos,15.641663551330566
13,1,she,m,Mismatch,"When she was present,",Omar,17.212778091430664
13,1,she,f,Match,"When she was present,",Tiffany,15.29452896118164
13,1,he,f,Mismatch,"When he was present,",Mary,10.863154411315918
14,1,he,m,Match,"When he was depressed,",Aaron,14.29199504852295
14,1,she,m,Mismatch,"When she was depressed, the",father,11.613038063049316
14,1,she,f,Match,"When she was depressed,",Laurie,16.803485870361328
14,1,he,f,Mismatch,"When he was depressed,",Susan,17.005338668823242
15,1,he,m,Match,"When he was around,",Gary,13.40058708190918
15,1,she,m,Mismatch,"When she was around,",Douglas,16.695383071899414
15,1,she,f,Match,"When she was around,",Maria,13.869662284851074
15,1,he,f,Mismatch,"When he was around,",Elizabeth,14.458398818969727
16,1,he,m,Match,"When he was near,",Jason,12.738809585571289
16,1,she,m,Mismatch,"When she was near,",Bradley,16.8526554107666
16,1,she,f,Match,"When she was near,",Diana,13.661840438842773
16,1,he,f,Mismatch,"When he was near, the",actress,15.327216148376465
17,1,he,m,Match,"When he was in court,",Paul,10.652297019958496
17,1,she,m,Mismatch,"When she was in court,",William,14.884652137756348
17,1,she,f,Match,"When she was in court, the",lady,9.838363647460938
17,1,he,f,Mismatch,"When he was in court, the",lady,11.821093559265137
18,1,he,m,Match,"When he was poorly,",Adam,12.335347175598145
18,1,she,m,Mismatch,"When she was poorly,",Andrew,13.831069946289062
18,1,she,f,Match,"When she was poorly,",Wendy,14.695267677307129
18,1,he,f,Mismatch,"When he was poorly,",Natalie,18.250503540039062
19,1,he,m,Match,"When he arrived,",Adam,10.49191665649414
19,1,she,m,Mismatch,"When she arrived,",Andrew,12.46463394165039
19,1,she,f,Match,"When she arrived,",Pamela,14.934536933898926
19,1,he,f,Mismatch,"When he arrived,",Natalie,16.14198875427246
20,1,he,m,Match,"When he was appointed,",Mitchell,12.320310592651367
20,1,she,m,Mismatch,"When she was appointed,",Brett,16.358692169189453
20,1,she,f,Match,"When she was appointed,",Carol,13.690855979919434
20,1,he,f,Mismatch,"When he was appointed,",Wendy,18.66315269470215
21,1,he,m,Match,"When he was fired,",John,9.651005744934082
21,1,she,m,Mismatch,"When she was fired,",Mark,11.436795234680176
21,1,she,f,Match,"When she was fired,",Erin,11.956232070922852
21,1,he,f,Mismatch,"When he was fired,",Meredith,16.211610794067383
22,1,he,m,Match,"When he was close,",Mitchell,13.944609642028809
22,1,she,m,Mismatch,"When she was close,",Theodore,16.295982360839844
22,1,she,f,Match,"When she was close, the",lady,9.496245384216309
22,1,he,f,Mismatch,"When he was close,",Veronica,15.93942928314209
23,1,he,m,Match,"When he was retired,",Ronald,14.275906562805176
23,1,she,m,Mismatch,"When she was retired,",Douglas,16.64380645751953
23,1,she,f,Match,"When she was retired,",Vanessa,16.511192321777344
23,1,he,f,Mismatch,"When he was retired,",Jessica,18.72469139099121
24,1,he,m,Match,"When he was abroad,",Theodore,15.154593467712402
24,1,she,m,Mismatch,"When she was abroad,",Omar,18.333553314208984
24,1,she,f,Match,"When she was abroad,",Maria,11.497540473937988
24,1,he,f,Mismatch,"When he was abroad,",Jill,18.119834899902344
25,1,he,m,Match,"When he was discovered,",Samuel,13.352011680603027
25,1,she,m,Mismatch,"When she was discovered,",Omar,17.97004508972168
25,1,she,f,Match,"When she was discovered,",Ellen,13.330694198608398
25,1,he,f,Mismatch,"When he was discovered,",Patricia,16.507768630981445
26,1,he,m,Match,"When he was busy,",Curtis,15.996707916259766
26,1,she,m,Mismatch,"When she was busy,",Paul,11.384751319885254
26,1,she,f,Match,"When she was busy,",Wendy,14.01014518737793
26,1,he,f,Mismatch,"When he was busy,",Cindy,17.22101593017578
27,1,he,m,Match,"When he was twenty-one,",Andrew,9.708769798278809
27,1,she,m,Mismatch,"When she was twenty-one,",Carlos,17.538711547851562
27,1,she,f,Match,"When she was twenty-one,",Susan,10.905248641967773
27,1,he,f,Mismatch,"When he was twenty-one,",Elizabeth,15.595995903015137
28,1,he,m,Match,"When he was annoyed, the",grandson,14.557156562805176
28,1,she,m,Mismatch,"When she was annoyed,",Douglas,18.408994674682617
28,1,she,f,Match,"When she was annoyed,",Denise,16.601591110229492
28,1,he,f,Mismatch,"When he was annoyed, the",sister,14.65701675415039
29,1,he,m,Match,"When he was in church,",Mitchell,14.205282211303711
29,1,she,m,Mismatch,"When she was in church,",Steven,16.355960845947266
29,1,she,f,Match,"When she was in church, the",lady,8.823431968688965
29,1,he,f,Mismatch,"When he was in church, the",waitress,13.774579048156738
30,1,he,m,Match,"When he was banished, the",boy,8.978006362915039
30,1,she,m,Mismatch,"When she was banished,",Ronald,19.887622833251953
30,1,she,f,Match,"When she was banished,",Connie,16.655044555664062
30,1,he,f,Mismatch,"When he was banished,",Victoria,15.768882751464844
31,1,he,m,Match,"When he was angry,",Dan,13.55388069152832
31,1,she,m,Mismatch,"When she was angry,",Omar,19.160633087158203
31,1,she,f,Match,"When she was angry,",Tara,13.749486923217773
31,1,he,f,Mismatch,"When he was angry, the",girl,12.722271919250488
32,1,he,m,Match,"When he was distraught,",Bradley,17.727741241455078
32,1,she,m,Mismatch,"When she was distraught,",Douglas,16.149076461791992
32,1,she,f,Match,"When she was distraught,",Meredith,15.780993461608887
32,1,he,f,Mismatch,"When he was distraught,",Julie,15.985250473022461
1,1,he,m,Match,"When he was off work, the",guy,8.761977195739746
1,1,she,m,Mismatch,"When she was off work,",Kenneth,16.239694595336914
1,1,she,f,Match,"When she was off work,",Leslie,12.622175216674805
1,1,he,f,Mismatch,"When he was off work,",Jane,16.202091217041016
2,1,he,m,Match,"When he arrived, the",husband,12.743510246276855
2,1,she,m,Mismatch,"When she arrived,",Martin,12.225346565246582
2,1,she,f,Match,"When she arrived,",Erin,13.501177787780762
2,1,he,f,Mismatch,"When he arrived,",Paula,16.331340789794922
3,1,he,m,Match,"When he was fed up, the",grandson,14.396517753601074
3,1,she,m,Mismatch,"When she was fed up,",Phillip,17.519874572753906
3,1,she,f,Match,"When she was fed up,",Stacy,17.0052490234375
3,1,he,f,Mismatch,"When he was fed up,",Diana,18.291561126708984
4,1,he,m,Match,"When he was talking,",Ronald,16.87316131591797
4,1,she,m,Mismatch,"When she was talking,",Aaron,14.217320442199707
4,1,she,f,Match,"When she was talking,",Alice,12.848292350769043
4,1,he,f,Mismatch,"When he was talking,",Mary,11.615008354187012
5,1,he,m,Match,"When he was nearby,",Travis,14.631939888000488
5,1,she,m,Mismatch,"When she was nearby,",George,11.853750228881836
5,1,she,f,Match,"When she was nearby, the",grandmother,12.921257019042969
5,1,he,f,Mismatch,"When he was nearby,",Emily,12.92507266998291
6,1,he,m,Match,"When he was lost,",Theodore,17.17084312438965
6,1,she,m,Mismatch,"When she was lost,",Gary,15.845728874206543
6,1,she,f,Match,"When she was lost,",Jane,14.647795677185059
6,1,he,f,Mismatch,"When he was lost,",Ellen,17.633214950561523
7,1,he,m,Match,"When he was bad-tempered,",Mitchell,17.182729721069336
7,1,she,m,Mismatch,"When she was bad-tempered,",Peter,11.833791732788086
7,1,she,f,Match,"When she was bad-tempered,",Ruth,13.23373031616211
7,1,he,f,Mismatch,"When he was bad-tempered,",Susan,14.791805267333984
8,1,he,m,Match,"When he was jealous,",Adam,12.461342811584473
8,1,she,m,Mismatch,"When she was jealous,",Gerald,17.98527717590332
8,1,she,f,Match,"When she was jealous, the",actress,9.059318542480469
8,1,he,f,Mismatch,"When he was jealous,",Danielle,21.644195556640625
9,1,he,m,Match,"When he was in residence,",Raymond,14.505375862121582
9,1,she,m,Mismatch,"When she was in residence,",Curtis,16.421913146972656
9,1,she,f,Match,"When she was in residence,",Tara,15.9775972366333
9,1,he,f,Mismatch,"When he was in residence,",Jane,14.191305160522461
10,1,he,m,Match,"When he was introduced,",Paul,9.601579666137695
10,1,she,m,Mismatch,"When she was introduced,",Travis,16.798540115356445
10,1,she,f,Match,"When she was introduced,",Caroline,12.742805480957031
10,1,he,f,Mismatch,"When he was introduced,",Rachel,16.978710174560547
11,1,he,m,Match,"When he arrived,",Jason,11.79153823852539
11,1,she,m,Mismatch,"When she arrived,",Curtis,15.936246871948242
11,1,she,f,Match,"When she arrived,",Samantha,11.832171440124512
11,1,he,f,Mismatch,"When he arrived,",Grace,14.730571746826172
12,1,he,m,Match,"When he felt sad,",Kenneth,14.827483177185059
12,1,she,m,Mismatch,"When she felt sad, the",boy,9.427677154541016
12,1,she,f,Match,"When she felt sad,",Sandra,14.240729331970215
12,1,he,f,Mismatch,"When he felt sad,",Mary,15.664828300476074
13,1,he,m,Match,"When he was present,",Aaron,14.498251914978027
13,1,she,m,Mismatch,"When she was present,",Jerry,14.535398483276367
13,1,she,f,Match,"When she was present,",Donna,15.829161643981934
13,1,he,f,Mismatch,"When he was present,",Erin,17.420331954956055
14,1,he,m,Match,"When he was depressed, the",grandson,15.726690292358398
14,1,she,m,Mismatch,"When she was depressed,",Christopher,16.036991119384766
14,1,she,f,Match,"When she was depressed,",Gina,16.649202346801758
14,1,he,f,Mismatch,"When he was depressed,",Sonia,20.700061798095703
15,1,he,m,Match,"When he was around,",Bill,12.575438499450684
15,1,she,m,Mismatch,"When she was around,",Eric,12.9283447265625
15,1,she,f,Match,"When she was around,",Tara,16.259004592895508
15,1,he,f,Mismatch,"When he was around,",Nicole,16.8514461517334
16,1,he,m,Match,"When he was near,",Mark,11.24566650390625
16,1,she,m,Mismatch,"When she was near,",Keith,16.174291610717773
16,1,she,f,Match,"When she was near,",Sonia,17.91683578491211
16,1,he,f,Mismatch,"When he was near,",Kathleen,18.19400978088379
17,1,he,m,Match,"When he was in court,",Curtis,12.708641052246094
17,1,she,m,Mismatch,"When she was in court,",Gary,14.472685813903809
17,1,she,f,Match,"When she was in court, the",granddaughter,16.24216079711914
17,1,he,f,Mismatch,"When he was in court,",Erin,16.049955368041992
18,1,he,m,Match,"When he was poorly, the",brother,14.198272705078125
18,1,she,m,Mismatch,"When she was poorly,",Todd,17.263648986816406
18,1,she,f,Match,"When she was poorly,",Anna,11.52400016784668
18,1,he,f,Mismatch,"When he was poorly,",Meredith,18.784732818603516
19,1,he,m,Match,"When he arrived,",Bill,11.964598655700684
19,1,she,m,Mismatch,"When she arrived,",Bill,12.532561302185059
19,1,she,f,Match,"When she arrived,",Erin,13.501057624816895
19,1,he,f,Mismatch,"When he arrived,",Anne,14.1859130859375
20,1,he,m,Match,"When he was appointed,",Carlos,14.92923641204834
20,1,she,m,Mismatch,"When she was appointed,",Travis,18.43326759338379
20,1,she,f,Match,"When she was appointed, the",lady,11.613990783691406
20,1,he,f,Mismatch,"When he was appointed,",Rachel,16.79966163635254
21,1,he,m,Match,"When he was fired,",Phillip,15.162962913513184
21,1,she,m,Mismatch,"When she was fired,",Andrew,14.255885124206543
21,1,she,f,Match,"When she was fired,",Kathleen,13.604609489440918
21,1,he,f,Mismatch,"When he was fired,",Diana,16.937667846679688
22,1,he,m,Match,"When he was close,",Kevin,12.649654388427734
22,1,she,m,Mismatch,"When she was close,",Adam,11.852932929992676
22,1,she,f,Match,"When she was close,",Susan,13.520591735839844
22,1,he,f,Mismatch,"When he was close,",Monica,15.854190826416016
23,1,he,m,Match,"When he was retired,",Andrew,12.383100509643555
23,1,she,m,Mismatch,"When she was retired,",Dennis,17.257017135620117
23,1,she,f,Match,"When she was retired, the",lady,9.194367408752441
23,1,he,f,Mismatch,"When he was retired,",Martha,18.117624282836914
24,1,he,m,Match,"When he was abroad, the",boy,6.358754634857178
24,1,she,m,Mismatch,"When she was abroad,",Jerry,15.51450252532959
24,1,she,f,Match,"When she was abroad,",Wendy,14.680949211120605
24,1,he,f,Mismatch,"When he was abroad,",Erin,17.890287399291992
25,1,he,m,Match,"When he was discovered,",Steven,12.955108642578125
25,1,she,m,Mismatch,"When she was discovered,",George,12.540031433105469
25,1,she,f,Match,"When she was discovered,",Susan,13.683915138244629
25,1,he,f,Mismatch,"When he was discovered,",Valerie,19.7377872467041
26,1,he,m,Match,"When he was busy,",Alan,13.523576736450195
26,1,she,m,Mismatch,"When she was busy,",Daniel,13.186186790466309
26,1,she,f,Match,"When she was busy, the",granddaughter,16.858919143676758
26,1,he,f,Mismatch,"When he was busy,",Ruth,15.002776145935059
27,1,he,m,Match,"When he was twenty-one, the",boyfriend,14.563178062438965
27,1,she,m,Mismatch,"When she was twenty-one,",Eric,15.399848937988281
27,1,she,f,Match,"When she was twenty-one,",Barbara,11.232016563415527
27,1,he,f,Mismatch,"When he was twenty-one,",Alice,16.327312469482422
28,1,he,m,Match,"When he was annoyed,",Vincent,13.198391914367676
28,1,she,m,Mismatch,"When she was annoyed,",Ronald,19.69080924987793
28,1,she,f,Match,"When she was annoyed,",Barbara,14.07076358795166
28,1,he,f,Mismatch,"When he was annoyed, the",granddaughter,20.334163665771484
29,1,he,m,Match,"When he was in church, the",brother,12.577445030212402
29,1,she,m,Mismatch,"When she was in church,",Ronald,20.152544021606445
29,1,she,f,Match,"When she was in church,",Victoria,12.656594276428223
29,1,he,f,Mismatch,"When he was in church, the",granddaughter,20.47357749938965
30,1,he,m,Match,"When he was banished,",Bill,14.436342239379883
30,1,she,m,Mismatch,"When she was banished,",Jeffrey,19.41767692565918
30,1,she,f,Match,"When she was banished,",Susan,14.389264106750488
30,1,he,f,Mismatch,"When he was banished,",Ellen,17.456478118896484
31,1,he,m,Match,"When he was angry,",Todd,16.32526397705078
31,1,she,m,Mismatch,"When she was angry,",William,15.360520362854004
31,1,she,f,Match,"When she was angry,",Jessica,14.745534896850586
31,1,he,f,Mismatch,"When he was angry,",Connie,18.177906036376953
32,1,he,m,Match,"When he was distraught,",Travis,17.08770179748535
32,1,she,m,Mismatch,"When she was distraught,",Eric,12.938278198242188
32,1,she,f,Match,"When she was distraught,",Diana,13.299748420715332
32,1,he,f,Mismatch,"When he was distraught,",Laurie,19.579757690429688
1,1,he,m,Match,"When he was off work,",Mitchell,12.196012496948242
1,1,she,m,Mismatch,"When she was off work,",Jerry,14.376132011413574
1,1,she,f,Match,"When she was off work,",Alice,10.727407455444336
1,1,he,f,Mismatch,"When he was off work,",Paula,16.943233489990234
2,1,he,m,Match,"When he arrived, the",brother,12.282665252685547
2,1,she,m,Mismatch,"When she arrived,",Frank,12.235262870788574
2,1,she,f,Match,"When she arrived,",Barbara,13.679000854492188
2,1,he,f,Mismatch,"When he arrived, the",grandmother,13.648061752319336
3,1,he,m,Match,"When he was fed up,",Kenneth,15.394543647766113
3,1,she,m,Mismatch,"When she was fed up,",Kenneth,18.064416885375977
3,1,she,f,Match,"When she was fed up,",Andrea,15.43889045715332
3,1,he,f,Mismatch,"When he was fed up,",Laurie,20.859155654907227
4,1,he,m,Match,"When he was talking,",Jeffrey,16.990903854370117
4,1,she,m,Mismatch,"When she was talking,",Adam,12.84736156463623
4,1,she,f,Match,"When she was talking,",Anna,12.090607643127441
4,1,he,f,Mismatch,"When he was talking,",Anne,14.110126495361328
5,1,he,m,Match,"When he was nearby,",Theodore,15.57164192199707
5,1,she,m,Mismatch,"When she was nearby, the",brother,12.251673698425293
5,1,she,f,Match,"When she was nearby,",Katherine,13.124173164367676
5,1,he,f,Mismatch,"When he was nearby,",Rebecca,15.014480590820312
6,1,he,m,Match,"When he was lost,",Jerry,14.922120094299316
6,1,she,m,Mismatch,"When she was lost,",Bill,15.353270530700684
6,1,she,f,Match,"When she was lost,",Valerie,18.906585693359375
6,1,he,f,Mismatch,"When he was lost,",April,18.746971130371094
7,1,he,m,Match,"When he was bad-tempered, the",brother,13.911160469055176
7,1,she,m,Mismatch,"When she was bad-tempered,",Lawrence,14.899826049804688
7,1,she,f,Match,"When she was bad-tempered,",Barbara,14.867524147033691
7,1,he,f,Mismatch,"When he was bad-tempered,",Sonia,17.670764923095703
8,1,he,m,Match,"When he was jealous,",Todd,16.1612491607666
8,1,she,m,Mismatch,"When she was jealous,",Craig,17.420700073242188
8,1,she,f,Match,"When she was jealous,",Monica,14.272810935974121
8,1,he,f,Mismatch,"When he was jealous,",Wendy,20.494096755981445
9,1,he,m,Match,"When he was in residence,",Lawrence,12.610895156860352
9,1,she,m,Mismatch,"When she was in residence,",Alan,15.321650505065918
9,1,she,f,Match,"When she was in residence, the",grandmother,13.052559852600098
9,1,he,f,Mismatch,"When he was in residence,",Paula,17.429683685302734
10,1,he,m,Match,"When he was introduced,",Roger,13.309235572814941
10,1,she,m,Mismatch,"When she was introduced,",Kenneth,16.046581268310547
10,1,she,f,Match,"When she was introduced,",Jessica,12.129146575927734
10,1,he,f,Mismatch,"When he was introduced, the",waitress,14.749995231628418
11,1,he,m,Match,"When he arrived,",Frank,10.620177268981934
11,1,she,m,Mismatch,"When she arrived,",Alan,13.985523223876953
11,1,she,f,Match,"When she arrived,",Allison,14.015689849853516
11,1,he,f,Mismatch,"When he arrived,",Victoria,15.52083969116211
12,1,he,m,Match,"When he felt sad,",Paul,11.491962432861328
12,1,she,m,Mismatch,"When she felt sad, the",husband,14.585679054260254
12,1,she,f,Match,"When she felt sad,",Jane,12.655385971069336
12,1,he,f,Mismatch,"When he felt sad,",Grace,20.036659240722656
13,1,he,m,Match,"When he was present,",Gary,14.246013641357422
13,1,she,m,Mismatch,"When she was present,",Gary,14.551360130310059
13,1,she,f,Match,"When she was present,",Victoria,13.911359786987305
13,1,he,f,Mismatch,"When he was present,",Laurie,19.8314266204834
14,1,he,m,Match,"When he was depressed,",Gary,13.014715194702148
14,1,she,m,Mismatch,"When she was depressed,",Dan,13.624051094055176
14,1,she,f,Match,"When she was depressed,",Valerie,16.60561752319336
14,1,he,f,Mismatch,"When he was depressed, the",actress,12.72321891784668
15,1,he,m,Match,"When he was around,",Alan,14.28347110748291
15,1,she,m,Mismatch,"When she was around,",Mitchell,15.217344284057617
15,1,she,f,Match,"When she was around,",Melanie,16.163393020629883
15,1,he,f,Mismatch,"When he was around,",Natalie,16.48587989807129
16,1,he,m,Match,"When he was near,",Carlos,14.432331085205078
