exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-1.3B_surp
OneEmbedding,speculated,could underwhelm,243,243_FM_his,fm,MismatchMatch,poss,Claire speculated that David could underwhelm,his,5.13560676574707
OneEmbedding,speculated,could underwhelm,243,243_FF_his,ff,MismatchMismatch,poss,Claire speculated that Natalie could underwhelm,his,7.541178226470947
OneEmbedding,has written,strikes,244,244_MM_him,mm,MatchMatch,obj,Travis has written that Carlos strikes,him,3.1937315464019775
OneEmbedding,has written,strikes,244,244_MF_him,mf,MatchMismatch,obj,Travis has written that Ann strikes,him,2.8826518058776855
OneEmbedding,has written,strikes,244,244_FM_him,fm,MismatchMatch,obj,Irene has written that Carlos strikes,him,3.658055067062378
OneEmbedding,has written,strikes,244,244_FF_him,ff,MismatchMismatch,obj,Irene has written that Ann strikes,him,2.6891355514526367
OneEmbedding,has written,strikes,244,244_MM_his,mm,MatchMatch,poss,Travis has written that Carlos strikes,his,6.710088729858398
OneEmbedding,has written,strikes,244,244_MF_his,mf,MatchMismatch,poss,Travis has written that Ann strikes,his,7.7225565910339355
OneEmbedding,has written,strikes,244,244_FM_his,fm,MismatchMatch,poss,Irene has written that Carlos strikes,his,6.666630268096924
OneEmbedding,has written,strikes,244,244_FF_his,ff,MismatchMismatch,poss,Irene has written that Ann strikes,his,7.716644287109375
OneEmbedding,is shouting,was shooting,245,245_MM_him,mm,MatchMatch,obj,Travis is shouting that Vincent was shooting,him,6.1978583335876465
OneEmbedding,is shouting,was shooting,245,245_MF_him,mf,MatchMismatch,obj,Travis is shouting that Susan was shooting,him,6.0066070556640625
OneEmbedding,is shouting,was shooting,245,245_FM_him,fm,MismatchMatch,obj,Tara is shouting that Vincent was shooting,him,6.928029537200928
OneEmbedding,is shouting,was shooting,245,245_FF_him,ff,MismatchMismatch,obj,Tara is shouting that Susan was shooting,him,6.539216995239258
OneEmbedding,is shouting,was shooting,245,245_MM_his,mm,MatchMatch,poss,Travis is shouting that Vincent was shooting,his,6.023029327392578
OneEmbedding,is shouting,was shooting,245,245_MF_his,mf,MatchMismatch,poss,Travis is shouting that Susan was shooting,his,8.113439559936523
OneEmbedding,is shouting,was shooting,245,245_FM_his,fm,MismatchMatch,poss,Tara is shouting that Vincent was shooting,his,6.190258026123047
OneEmbedding,is shouting,was shooting,245,245_FF_his,ff,MismatchMismatch,poss,Tara is shouting that Susan was shooting,his,8.927923202514648
OneEmbedding,has said,visited,246,246_MM_him,mm,MatchMatch,obj,Marcus has said that Frank visited,him,1.5535558462142944
OneEmbedding,has said,visited,246,246_MF_him,mf,MatchMismatch,obj,Marcus has said that Emily visited,him,1.5166125297546387
OneEmbedding,has said,visited,246,246_FM_him,fm,MismatchMatch,obj,Denise has said that Frank visited,him,2.8401098251342773
OneEmbedding,has said,visited,246,246_FF_him,ff,MismatchMismatch,obj,Denise has said that Emily visited,him,2.7326605319976807
OneEmbedding,has said,visited,246,246_MM_his,mm,MatchMatch,poss,Marcus has said that Frank visited,his,3.8410749435424805
OneEmbedding,has said,visited,246,246_MF_his,mf,MatchMismatch,poss,Marcus has said that Emily visited,his,4.394839763641357
OneEmbedding,has said,visited,246,246_FM_his,fm,MismatchMatch,poss,Denise has said that Frank visited,his,4.549373626708984
OneEmbedding,has said,visited,246,246_FF_his,ff,MismatchMismatch,poss,Denise has said that Emily visited,his,5.996027946472168
OneEmbedding,demonstrates,is examining,247,247_MM_him,mm,MatchMatch,obj,Brett demonstrates that Roger is examining,him,6.114485263824463
OneEmbedding,demonstrates,is examining,247,247_MF_him,mf,MatchMismatch,obj,Brett demonstrates that Jodi is examining,him,4.681522369384766
OneEmbedding,demonstrates,is examining,247,247_FM_him,fm,MismatchMatch,obj,Amelia demonstrates that Roger is examining,him,5.726319313049316
OneEmbedding,demonstrates,is examining,247,247_FF_him,ff,MismatchMismatch,obj,Amelia demonstrates that Jodi is examining,him,4.860078811645508
OneEmbedding,demonstrates,is examining,247,247_MM_his,mm,MatchMatch,poss,Brett demonstrates that Roger is examining,his,3.1666553020477295
OneEmbedding,demonstrates,is examining,247,247_MF_his,mf,MatchMismatch,poss,Brett demonstrates that Jodi is examining,his,4.949057102203369
OneEmbedding,demonstrates,is examining,247,247_FM_his,fm,MismatchMatch,poss,Amelia demonstrates that Roger is examining,his,3.3492627143859863
OneEmbedding,demonstrates,is examining,247,247_FF_his,ff,MismatchMismatch,poss,Amelia demonstrates that Jodi is examining,his,5.720443248748779
OneEmbedding,can shout,can like,248,248_MM_him,mm,MatchMatch,obj,Travis can shout that Rodney can like,him,5.250255107879639
OneEmbedding,can shout,can like,248,248_MF_him,mf,MatchMismatch,obj,Travis can shout that Grace can like,him,5.1246819496154785
OneEmbedding,can shout,can like,248,248_FM_him,fm,MismatchMatch,obj,The girl can shout that Rodney can like,him,5.2917799949646
OneEmbedding,can shout,can like,248,248_FF_him,ff,MismatchMismatch,obj,The girl can shout that Grace can like,him,3.636040210723877
OneEmbedding,can shout,can like,248,248_MM_his,mm,MatchMatch,poss,Travis can shout that Rodney can like,his,5.93187141418457
OneEmbedding,can shout,can like,248,248_MF_his,mf,MatchMismatch,poss,Travis can shout that Grace can like,his,7.081446170806885
OneEmbedding,can shout,can like,248,248_FM_his,fm,MismatchMatch,poss,The girl can shout that Rodney can like,his,6.724071025848389
OneEmbedding,can shout,can like,248,248_FF_his,ff,MismatchMismatch,poss,The girl can shout that Grace can like,his,8.235671043395996
OneEmbedding,couldn't learn,questioned,249,249_MM_him,mm,MatchMatch,obj,Craig couldn't learn that the brother questioned,him,2.239546775817871
OneEmbedding,couldn't learn,questioned,249,249_MF_him,mf,MatchMismatch,obj,Craig couldn't learn that April questioned,him,2.8022525310516357
OneEmbedding,couldn't learn,questioned,249,249_FM_him,fm,MismatchMatch,obj,That wife couldn't learn that the brother questioned,him,3.8880491256713867
OneEmbedding,couldn't learn,questioned,249,249_FF_him,ff,MismatchMismatch,obj,That wife couldn't learn that April questioned,him,3.7011325359344482
OneEmbedding,couldn't learn,questioned,249,249_MM_his,mm,MatchMatch,poss,Craig couldn't learn that the brother questioned,his,3.7499709129333496
OneEmbedding,couldn't learn,questioned,249,249_MF_his,mf,MatchMismatch,poss,Craig couldn't learn that April questioned,his,4.18137264251709
OneEmbedding,couldn't learn,questioned,249,249_FM_his,fm,MismatchMatch,poss,That wife couldn't learn that the brother questioned,his,4.76865816116333
OneEmbedding,couldn't learn,questioned,249,249_FF_his,ff,MismatchMismatch,poss,That wife couldn't learn that April questioned,his,5.159842491149902
OneEmbedding,hadn't loved,distracted,250,250_MM_him,mm,MatchMatch,obj,Richard hadn't loved that Bradley distracted,him,1.1939268112182617
OneEmbedding,hadn't loved,distracted,250,250_MF_him,mf,MatchMismatch,obj,Richard hadn't loved that Anne distracted,him,0.5386632680892944
OneEmbedding,hadn't loved,distracted,250,250_FM_him,fm,MismatchMatch,obj,Diana hadn't loved that Bradley distracted,him,3.9503135681152344
OneEmbedding,hadn't loved,distracted,250,250_FF_him,ff,MismatchMismatch,obj,Diana hadn't loved that Anne distracted,him,1.6971549987792969
OneEmbedding,hadn't loved,distracted,250,250_MM_his,mm,MatchMatch,poss,Richard hadn't loved that Bradley distracted,his,5.857377529144287
OneEmbedding,hadn't loved,distracted,250,250_MF_his,mf,MatchMismatch,poss,Richard hadn't loved that Anne distracted,his,6.137011528015137
OneEmbedding,hadn't loved,distracted,250,250_FM_his,fm,MismatchMatch,poss,Diana hadn't loved that Bradley distracted,his,6.754058361053467
OneEmbedding,hadn't loved,distracted,250,250_FF_his,ff,MismatchMismatch,poss,Diana hadn't loved that Anne distracted,his,7.400533199310303
OneEmbedding,knows,had attacked,251,251_MM_him,mm,MatchMatch,obj,Walter knows that Omar had attacked,him,1.9392954111099243
OneEmbedding,knows,had attacked,251,251_MF_him,mf,MatchMismatch,obj,Walter knows that Margaret had attacked,him,1.4334579706192017
OneEmbedding,knows,had attacked,251,251_FM_him,fm,MismatchMatch,obj,April knows that Omar had attacked,him,1.8678196668624878
OneEmbedding,knows,had attacked,251,251_FF_him,ff,MismatchMismatch,obj,April knows that Margaret had attacked,him,1.280493140220642
OneEmbedding,knows,had attacked,251,251_MM_his,mm,MatchMatch,poss,Walter knows that Omar had attacked,his,3.847198963165283
OneEmbedding,knows,had attacked,251,251_MF_his,mf,MatchMismatch,poss,Walter knows that Margaret had attacked,his,4.1750168800354
OneEmbedding,knows,had attacked,251,251_FM_his,fm,MismatchMatch,poss,April knows that Omar had attacked,his,3.715144395828247
OneEmbedding,knows,had attacked,251,251_FF_his,ff,MismatchMismatch,poss,April knows that Margaret had attacked,his,4.298367977142334
OneEmbedding,was explaining,couldn't forgive,252,252_MM_him,mm,MatchMatch,obj,Kevin was explaining that William couldn't forgive,him,2.2886431217193604
OneEmbedding,was explaining,couldn't forgive,252,252_MF_him,mf,MatchMismatch,obj,Kevin was explaining that Marie couldn't forgive,him,1.2490116357803345
OneEmbedding,was explaining,couldn't forgive,252,252_FM_him,fm,MismatchMatch,obj,Tamara was explaining that William couldn't forgive,him,3.197938919067383
OneEmbedding,was explaining,couldn't forgive,252,252_FF_him,ff,MismatchMismatch,obj,Tamara was explaining that Marie couldn't forgive,him,1.9701955318450928
OneEmbedding,was explaining,couldn't forgive,252,252_MM_his,mm,MatchMatch,poss,Kevin was explaining that William couldn't forgive,his,2.645782709121704
OneEmbedding,was explaining,couldn't forgive,252,252_MF_his,mf,MatchMismatch,poss,Kevin was explaining that Marie couldn't forgive,his,5.847715377807617
OneEmbedding,was explaining,couldn't forgive,252,252_FM_his,fm,MismatchMatch,poss,Tamara was explaining that William couldn't forgive,his,2.715144634246826
OneEmbedding,was explaining,couldn't forgive,252,252_FF_his,ff,MismatchMismatch,poss,Tamara was explaining that Marie couldn't forgive,his,6.374640941619873
OneEmbedding,hadn't revealed,hadn't listened to,253,253_MM_him,mm,MatchMatch,obj,Larry hadn't revealed that Brian hadn't listened to,him,4.685600757598877
OneEmbedding,hadn't revealed,hadn't listened to,253,253_MF_him,mf,MatchMismatch,obj,Larry hadn't revealed that Eva hadn't listened to,him,3.119077205657959
OneEmbedding,hadn't revealed,hadn't listened to,253,253_FM_him,fm,MismatchMatch,obj,Paula hadn't revealed that Brian hadn't listened to,him,5.331791400909424
OneEmbedding,hadn't revealed,hadn't listened to,253,253_FF_him,ff,MismatchMismatch,obj,Paula hadn't revealed that Eva hadn't listened to,him,3.291184902191162
OneEmbedding,hadn't revealed,hadn't listened to,253,253_MM_his,mm,MatchMatch,poss,Larry hadn't revealed that Brian hadn't listened to,his,2.8290176391601562
OneEmbedding,hadn't revealed,hadn't listened to,253,253_MF_his,mf,MatchMismatch,poss,Larry hadn't revealed that Eva hadn't listened to,his,3.2488675117492676
OneEmbedding,hadn't revealed,hadn't listened to,253,253_FM_his,fm,MismatchMatch,poss,Paula hadn't revealed that Brian hadn't listened to,his,3.1329033374786377
OneEmbedding,hadn't revealed,hadn't listened to,253,253_FF_his,ff,MismatchMismatch,poss,Paula hadn't revealed that Eva hadn't listened to,his,3.77669358253479
OneEmbedding,wasn't praying,shoots,254,254_MM_him,mm,MatchMatch,obj,Craig wasn't praying that Robert shoots,him,2.305554151535034
OneEmbedding,wasn't praying,shoots,254,254_MF_him,mf,MatchMismatch,obj,Craig wasn't praying that that niece shoots,him,1.9223004579544067
OneEmbedding,wasn't praying,shoots,254,254_FM_him,fm,MismatchMatch,obj,Valerie wasn't praying that Robert shoots,him,4.097865104675293
OneEmbedding,wasn't praying,shoots,254,254_FF_him,ff,MismatchMismatch,obj,Valerie wasn't praying that that niece shoots,him,2.881115198135376
OneEmbedding,wasn't praying,shoots,254,254_MM_his,mm,MatchMatch,poss,Craig wasn't praying that Robert shoots,his,5.0795135498046875
OneEmbedding,wasn't praying,shoots,254,254_MF_his,mf,MatchMismatch,poss,Craig wasn't praying that that niece shoots,his,6.50472354888916
OneEmbedding,wasn't praying,shoots,254,254_FM_his,fm,MismatchMatch,poss,Valerie wasn't praying that Robert shoots,his,5.278299331665039
OneEmbedding,wasn't praying,shoots,254,254_FF_his,ff,MismatchMismatch,poss,Valerie wasn't praying that that niece shoots,his,8.061568260192871
OneEmbedding,wasn't feeling,couldn't discover,255,255_MM_him,mm,MatchMatch,obj,Douglas wasn't feeling that that husband couldn't discover,him,6.289069175720215
OneEmbedding,wasn't feeling,couldn't discover,255,255_MF_him,mf,MatchMismatch,obj,Douglas wasn't feeling that Julie couldn't discover,him,5.393489360809326
OneEmbedding,wasn't feeling,couldn't discover,255,255_FM_him,fm,MismatchMatch,obj,That granddaughter wasn't feeling that that husband couldn't discover,him,7.28507137298584
OneEmbedding,wasn't feeling,couldn't discover,255,255_FF_him,ff,MismatchMismatch,obj,That granddaughter wasn't feeling that Julie couldn't discover,him,6.74790620803833
OneEmbedding,wasn't feeling,couldn't discover,255,255_MM_his,mm,MatchMatch,poss,Douglas wasn't feeling that that husband couldn't discover,his,4.407252311706543
OneEmbedding,wasn't feeling,couldn't discover,255,255_MF_his,mf,MatchMismatch,poss,Douglas wasn't feeling that Julie couldn't discover,his,5.6722259521484375
OneEmbedding,wasn't feeling,couldn't discover,255,255_FM_his,fm,MismatchMatch,poss,That granddaughter wasn't feeling that that husband couldn't discover,his,4.708849906921387
OneEmbedding,wasn't feeling,couldn't discover,255,255_FF_his,ff,MismatchMismatch,poss,That granddaughter wasn't feeling that Julie couldn't discover,his,7.048163414001465
OneEmbedding,agrees,won't lose,256,256_MM_him,mm,MatchMatch,obj,The husband agrees that Eric won't lose,him,9.155489921569824
OneEmbedding,agrees,won't lose,256,256_MF_him,mf,MatchMismatch,obj,The husband agrees that Florence won't lose,him,7.263256549835205
OneEmbedding,agrees,won't lose,256,256_FM_him,fm,MismatchMatch,obj,Kristen agrees that Eric won't lose,him,8.184257507324219
OneEmbedding,agrees,won't lose,256,256_FF_him,ff,MismatchMismatch,obj,Kristen agrees that Florence won't lose,him,7.837736129760742
OneEmbedding,agrees,won't lose,256,256_MM_his,mm,MatchMatch,poss,The husband agrees that Eric won't lose,his,1.6947113275527954
OneEmbedding,agrees,won't lose,256,256_MF_his,mf,MatchMismatch,poss,The husband agrees that Florence won't lose,his,6.5115203857421875
OneEmbedding,agrees,won't lose,256,256_FM_his,fm,MismatchMatch,poss,Kristen agrees that Eric won't lose,his,1.734459400177002
OneEmbedding,agrees,won't lose,256,256_FF_his,ff,MismatchMismatch,poss,Kristen agrees that Florence won't lose,his,7.666440963745117
OneEmbedding,wasn't hating,isn't hiring,257,257_MM_him,mm,MatchMatch,obj,Jason wasn't hating that Thomas isn't hiring,him,4.667500972747803
OneEmbedding,wasn't hating,isn't hiring,257,257_MF_him,mf,MatchMismatch,obj,Jason wasn't hating that Eva isn't hiring,him,4.175185680389404
OneEmbedding,wasn't hating,isn't hiring,257,257_FM_him,fm,MismatchMatch,obj,Elizabeth wasn't hating that Thomas isn't hiring,him,7.904846668243408
OneEmbedding,wasn't hating,isn't hiring,257,257_FF_him,ff,MismatchMismatch,obj,Elizabeth wasn't hating that Eva isn't hiring,him,6.291490077972412
OneEmbedding,wasn't hating,isn't hiring,257,257_MM_his,mm,MatchMatch,poss,Jason wasn't hating that Thomas isn't hiring,his,7.488016605377197
OneEmbedding,wasn't hating,isn't hiring,257,257_MF_his,mf,MatchMismatch,poss,Jason wasn't hating that Eva isn't hiring,his,9.121973037719727
OneEmbedding,wasn't hating,isn't hiring,257,257_FM_his,fm,MismatchMatch,poss,Elizabeth wasn't hating that Thomas isn't hiring,his,8.194533348083496
OneEmbedding,wasn't hating,isn't hiring,257,257_FF_his,ff,MismatchMismatch,poss,Elizabeth wasn't hating that Eva isn't hiring,his,11.231559753417969
OneEmbedding,learned,won't kiss,258,258_MM_him,mm,MatchMatch,obj,Randolf learned that Keith won't kiss,him,1.548085331916809
OneEmbedding,learned,won't kiss,258,258_MF_him,mf,MatchMismatch,obj,Randolf learned that Elizabeth won't kiss,him,0.5070873498916626
OneEmbedding,learned,won't kiss,258,258_FM_him,fm,MismatchMatch,obj,Nina learned that Keith won't kiss,him,3.7200052738189697
OneEmbedding,learned,won't kiss,258,258_FF_him,ff,MismatchMismatch,obj,Nina learned that Elizabeth won't kiss,him,0.9986026287078857
OneEmbedding,learned,won't kiss,258,258_MM_his,mm,MatchMatch,poss,Randolf learned that Keith won't kiss,his,4.855072498321533
OneEmbedding,learned,won't kiss,258,258_MF_his,mf,MatchMismatch,poss,Randolf learned that Elizabeth won't kiss,his,5.925384044647217
OneEmbedding,learned,won't kiss,258,258_FM_his,fm,MismatchMatch,poss,Nina learned that Keith won't kiss,his,6.2089691162109375
OneEmbedding,learned,won't kiss,258,258_FF_his,ff,MismatchMismatch,poss,Nina learned that Elizabeth won't kiss,his,7.62822151184082
OneEmbedding,could believe,wasn't hiding,259,259_MM_him,mm,MatchMatch,obj,Scott could believe that that brother wasn't hiding,him,6.628966808319092
OneEmbedding,could believe,wasn't hiding,259,259_MF_him,mf,MatchMismatch,obj,Scott could believe that Tamara wasn't hiding,him,6.413263320922852
OneEmbedding,could believe,wasn't hiding,259,259_FM_him,fm,MismatchMatch,obj,That dancer could believe that that brother wasn't hiding,him,6.673183441162109
OneEmbedding,could believe,wasn't hiding,259,259_FF_him,ff,MismatchMismatch,obj,That dancer could believe that Tamara wasn't hiding,him,6.721309661865234
OneEmbedding,could believe,wasn't hiding,259,259_MM_his,mm,MatchMatch,poss,Scott could believe that that brother wasn't hiding,his,4.834377288818359
OneEmbedding,could believe,wasn't hiding,259,259_MF_his,mf,MatchMismatch,poss,Scott could believe that Tamara wasn't hiding,his,6.661233425140381
OneEmbedding,could believe,wasn't hiding,259,259_FM_his,fm,MismatchMatch,poss,That dancer could believe that that brother wasn't hiding,his,4.885824203491211
OneEmbedding,could believe,wasn't hiding,259,259_FF_his,ff,MismatchMismatch,poss,That dancer could believe that Tamara wasn't hiding,his,6.755941390991211
OneEmbedding,said,leaves,260,260_MM_him,mm,MatchMatch,obj,Brad said that Jeffrey leaves,him,5.054065704345703
OneEmbedding,said,leaves,260,260_MF_him,mf,MatchMismatch,obj,Brad said that Laura leaves,him,4.210829257965088
OneEmbedding,said,leaves,260,260_FM_him,fm,MismatchMatch,obj,Rachel said that Jeffrey leaves,him,5.503733158111572
OneEmbedding,said,leaves,260,260_FF_him,ff,MismatchMismatch,obj,Rachel said that Laura leaves,him,5.581932544708252
OneEmbedding,said,leaves,260,260_MM_his,mm,MatchMatch,poss,Brad said that Jeffrey leaves,his,3.9572532176971436
OneEmbedding,said,leaves,260,260_MF_his,mf,MatchMismatch,poss,Brad said that Laura leaves,his,6.329962253570557
OneEmbedding,said,leaves,260,260_FM_his,fm,MismatchMatch,poss,Rachel said that Jeffrey leaves,his,4.081590175628662
OneEmbedding,said,leaves,260,260_FF_his,ff,MismatchMismatch,poss,Rachel said that Laura leaves,his,7.9109416007995605
OneEmbedding,isn't asserting,might help,261,261_MM_him,mm,MatchMatch,obj,John isn't asserting that Christopher might help,him,1.8626102209091187
OneEmbedding,isn't asserting,might help,261,261_MF_him,mf,MatchMismatch,obj,John isn't asserting that Florence might help,him,1.7109112739562988
OneEmbedding,isn't asserting,might help,261,261_FM_him,fm,MismatchMatch,obj,Danielle isn't asserting that Christopher might help,him,2.7251877784729004
OneEmbedding,isn't asserting,might help,261,261_FF_him,ff,MismatchMismatch,obj,Danielle isn't asserting that Florence might help,him,2.3367626667022705
OneEmbedding,isn't asserting,might help,261,261_MM_his,mm,MatchMatch,poss,John isn't asserting that Christopher might help,his,5.1525702476501465
OneEmbedding,isn't asserting,might help,261,261_MF_his,mf,MatchMismatch,poss,John isn't asserting that Florence might help,his,5.337352275848389
OneEmbedding,isn't asserting,might help,261,261_FM_his,fm,MismatchMatch,poss,Danielle isn't asserting that Christopher might help,his,5.435486316680908
OneEmbedding,isn't asserting,might help,261,261_FF_his,ff,MismatchMismatch,poss,Danielle isn't asserting that Florence might help,his,6.470454216003418
OneEmbedding,wasn't confessing,remembers,262,262_MM_him,mm,MatchMatch,obj,The husband wasn't confessing that Derek remembers,him,3.075730085372925
OneEmbedding,wasn't confessing,remembers,262,262_MF_him,mf,MatchMismatch,obj,The husband wasn't confessing that Ellen remembers,him,2.2855935096740723
OneEmbedding,wasn't confessing,remembers,262,262_FM_him,fm,MismatchMatch,obj,Cynthia wasn't confessing that Derek remembers,him,4.033213138580322
OneEmbedding,wasn't confessing,remembers,262,262_FF_him,ff,MismatchMismatch,obj,Cynthia wasn't confessing that Ellen remembers,him,3.794921636581421
OneEmbedding,wasn't confessing,remembers,262,262_MM_his,mm,MatchMatch,poss,The husband wasn't confessing that Derek remembers,his,4.513846397399902
OneEmbedding,wasn't confessing,remembers,262,262_MF_his,mf,MatchMismatch,poss,The husband wasn't confessing that Ellen remembers,his,4.632740020751953
OneEmbedding,wasn't confessing,remembers,262,262_FM_his,fm,MismatchMatch,poss,Cynthia wasn't confessing that Derek remembers,his,4.978945732116699
OneEmbedding,wasn't confessing,remembers,262,262_FF_his,ff,MismatchMismatch,poss,Cynthia wasn't confessing that Ellen remembers,his,6.692912578582764
OneEmbedding,denies,thinks about,263,263_MM_him,mm,MatchMatch,obj,Chad denies that Curtis thinks about,him,4.431063652038574
OneEmbedding,denies,thinks about,263,263_MF_him,mf,MatchMismatch,obj,Chad denies that Claire thinks about,him,3.2556042671203613
OneEmbedding,denies,thinks about,263,263_FM_him,fm,MismatchMatch,obj,Samantha denies that Curtis thinks about,him,4.544966697692871
OneEmbedding,denies,thinks about,263,263_FF_him,ff,MismatchMismatch,obj,Samantha denies that Claire thinks about,him,4.046479225158691
OneEmbedding,denies,thinks about,263,263_MM_his,mm,MatchMatch,poss,Chad denies that Curtis thinks about,his,3.668952703475952
OneEmbedding,denies,thinks about,263,263_MF_his,mf,MatchMismatch,poss,Chad denies that Claire thinks about,his,6.153602600097656
OneEmbedding,denies,thinks about,263,263_FM_his,fm,MismatchMatch,poss,Samantha denies that Curtis thinks about,his,3.858785629272461
OneEmbedding,denies,thinks about,263,263_FF_his,ff,MismatchMismatch,poss,Samantha denies that Claire thinks about,his,7.423728942871094
OneEmbedding,has found out,hadn't upset,264,264_MM_him,mm,MatchMatch,obj,Derek has found out that Adam hadn't upset,him,3.799149751663208
OneEmbedding,has found out,hadn't upset,264,264_MF_him,mf,MatchMismatch,obj,Derek has found out that Sally hadn't upset,him,2.1870434284210205
OneEmbedding,has found out,hadn't upset,264,264_FM_him,fm,MismatchMatch,obj,Jacqueline has found out that Adam hadn't upset,him,7.231107234954834
OneEmbedding,has found out,hadn't upset,264,264_FF_him,ff,MismatchMismatch,obj,Jacqueline has found out that Sally hadn't upset,him,3.9097235202789307
OneEmbedding,has found out,hadn't upset,264,264_MM_his,mm,MatchMatch,poss,Derek has found out that Adam hadn't upset,his,2.4659664630889893
OneEmbedding,has found out,hadn't upset,264,264_MF_his,mf,MatchMismatch,poss,Derek has found out that Sally hadn't upset,his,3.696242094039917
OneEmbedding,has found out,hadn't upset,264,264_FM_his,fm,MismatchMatch,poss,Jacqueline has found out that Adam hadn't upset,his,3.315150499343872
OneEmbedding,has found out,hadn't upset,264,264_FF_his,ff,MismatchMismatch,poss,Jacqueline has found out that Sally hadn't upset,his,5.451538562774658
OneEmbedding,doesn't remember,visits,265,265_MM_him,mm,MatchMatch,obj,Carl doesn't remember that Alexander visits,him,1.5439133644104004
OneEmbedding,doesn't remember,visits,265,265_MF_him,mf,MatchMismatch,obj,Carl doesn't remember that Ann visits,him,1.4825187921524048
OneEmbedding,doesn't remember,visits,265,265_FM_him,fm,MismatchMatch,obj,Andrea doesn't remember that Alexander visits,him,1.2677394151687622
OneEmbedding,doesn't remember,visits,265,265_FF_him,ff,MismatchMismatch,obj,Andrea doesn't remember that Ann visits,him,1.33447265625
OneEmbedding,doesn't remember,visits,265,265_MM_his,mm,MatchMatch,poss,Carl doesn't remember that Alexander visits,his,4.103989124298096
OneEmbedding,doesn't remember,visits,265,265_MF_his,mf,MatchMismatch,poss,Carl doesn't remember that Ann visits,his,5.74596643447876
OneEmbedding,doesn't remember,visits,265,265_FM_his,fm,MismatchMatch,poss,Andrea doesn't remember that Alexander visits,his,4.027394771575928
OneEmbedding,doesn't remember,visits,265,265_FF_his,ff,MismatchMismatch,poss,Andrea doesn't remember that Ann visits,his,5.617029190063477
OneEmbedding,was confessing,has concealed,266,266_MM_him,mm,MatchMatch,obj,This ex-husband was confessing that this guy has concealed,him,8.343281745910645
OneEmbedding,was confessing,has concealed,266,266_MF_him,mf,MatchMismatch,obj,This ex-husband was confessing that Amanda has concealed,him,5.823467254638672
OneEmbedding,was confessing,has concealed,266,266_FM_him,fm,MismatchMatch,obj,Julia was confessing that this guy has concealed,him,10.08674430847168
OneEmbedding,was confessing,has concealed,266,266_FF_him,ff,MismatchMismatch,obj,Julia was confessing that Amanda has concealed,him,7.9187912940979
OneEmbedding,was confessing,has concealed,266,266_MM_his,mm,MatchMatch,poss,This ex-husband was confessing that this guy has concealed,his,2.564629316329956
OneEmbedding,was confessing,has concealed,266,266_MF_his,mf,MatchMismatch,poss,This ex-husband was confessing that Amanda has concealed,his,4.217156887054443
OneEmbedding,was confessing,has concealed,266,266_FM_his,fm,MismatchMatch,poss,Julia was confessing that this guy has concealed,his,2.2100892066955566
OneEmbedding,was confessing,has concealed,266,266_FF_his,ff,MismatchMismatch,poss,Julia was confessing that Amanda has concealed,his,6.3462443351745605
OneEmbedding,has speculated,shocks,267,267_MM_him,mm,MatchMatch,obj,Paul has speculated that Curtis shocks,him,4.072915077209473
OneEmbedding,has speculated,shocks,267,267_MF_him,mf,MatchMismatch,obj,Paul has speculated that Sally shocks,him,3.076500177383423
OneEmbedding,has speculated,shocks,267,267_FM_him,fm,MismatchMatch,obj,Gina has speculated that Curtis shocks,him,5.347189903259277
OneEmbedding,has speculated,shocks,267,267_FF_him,ff,MismatchMismatch,obj,Gina has speculated that Sally shocks,him,3.6700849533081055
OneEmbedding,has speculated,shocks,267,267_MM_his,mm,MatchMatch,poss,Paul has speculated that Curtis shocks,his,4.241098880767822
OneEmbedding,has speculated,shocks,267,267_MF_his,mf,MatchMismatch,poss,Paul has speculated that Sally shocks,his,6.356924533843994
OneEmbedding,has speculated,shocks,267,267_FM_his,fm,MismatchMatch,poss,Gina has speculated that Curtis shocks,his,4.617724418640137
OneEmbedding,has speculated,shocks,267,267_FF_his,ff,MismatchMismatch,poss,Gina has speculated that Sally shocks,his,6.375542640686035
OneEmbedding,remembered,will hinder,268,268_MM_him,mm,MatchMatch,obj,William remembered that Paul will hinder,him,4.188728332519531
OneEmbedding,remembered,will hinder,268,268_MF_him,mf,MatchMismatch,obj,William remembered that that daughter will hinder,him,2.962010145187378
OneEmbedding,remembered,will hinder,268,268_FM_him,fm,MismatchMatch,obj,Denise remembered that Paul will hinder,him,3.910475015640259
OneEmbedding,remembered,will hinder,268,268_FF_him,ff,MismatchMismatch,obj,Denise remembered that that daughter will hinder,him,3.887451648712158
OneEmbedding,remembered,will hinder,268,268_MM_his,mm,MatchMatch,poss,William remembered that Paul will hinder,his,3.8184564113616943
OneEmbedding,remembered,will hinder,268,268_MF_his,mf,MatchMismatch,poss,William remembered that that daughter will hinder,his,4.116122245788574
OneEmbedding,remembered,will hinder,268,268_FM_his,fm,MismatchMatch,poss,Denise remembered that Paul will hinder,his,3.8300559520721436
OneEmbedding,remembered,will hinder,268,268_FF_his,ff,MismatchMismatch,poss,Denise remembered that that daughter will hinder,his,5.043379306793213
OneEmbedding,can reveal,had exposed,269,269_MM_him,mm,MatchMatch,obj,Michael can reveal that that ex-boyfriend had exposed,him,3.2183499336242676
