item,exp,pronoun,cond,contrast,sent,target,/data/gpt2-medium_surp
8,1,she,f,Match,"When she was jealous,",Leslie,15.435873031616211
8,1,he,f,Mismatch,"When he was jealous,",Nicole,15.758295059204102
9,1,he,m,Match,"When he was in residence,",William,10.642950057983398
9,1,she,m,Mismatch,"When she was in residence,",Douglas,13.783182144165039
9,1,she,f,Match,"When she was in residence,",Tiffany,13.104893684387207
9,1,he,f,Mismatch,"When he was in residence,",Sharon,15.165395736694336
10,1,he,m,Match,"When he was introduced,",Steven,12.25500202178955
10,1,she,m,Mismatch,"When she was introduced,",Alexander,12.945451736450195
10,1,she,f,Match,"When she was introduced, the",granddaughter,14.609960556030273
10,1,he,f,Mismatch,"When he was introduced,",Sharon,14.907981872558594
11,1,he,m,Match,"When he arrived,",Thomas,11.976187705993652
11,1,she,m,Mismatch,"When she arrived,",Dennis,14.649819374084473
11,1,she,f,Match,"When she arrived,",Julie,12.777724266052246
11,1,he,f,Mismatch,"When he arrived,",Connie,16.825910568237305
12,1,he,m,Match,"When he felt sad,",Brett,17.719310760498047
12,1,she,m,Mismatch,"When she felt sad,",Kevin,14.188654899597168
12,1,she,f,Match,"When she felt sad,",Nicole,15.06666374206543
12,1,he,f,Mismatch,"When he felt sad,",Amanda,16.4332218170166
13,1,he,m,Match,"When he was present,",Eric,13.478276252746582
13,1,she,m,Mismatch,"When she was present,",Theodore,16.20795249938965
13,1,she,f,Match,"When she was present,",Nicole,13.740175247192383
13,1,he,f,Mismatch,"When he was present,",Naomi,16.647512435913086
14,1,he,m,Match,"When he was depressed, the",son,9.103978157043457
14,1,she,m,Mismatch,"When she was depressed,",Keith,14.401396751403809
14,1,she,f,Match,"When she was depressed,",Ellen,14.575833320617676
14,1,he,f,Mismatch,"When he was depressed,",Wendy,15.880699157714844
15,1,he,m,Match,"When he was around,",Kevin,12.660588264465332
15,1,she,m,Mismatch,"When she was around,",Keith,14.55020809173584
15,1,she,f,Match,"When she was around,",Sally,14.127741813659668
15,1,he,f,Mismatch,"When he was around,",Naomi,17.475419998168945
16,1,he,m,Match,"When he was near,",Benjamin,13.951009750366211
16,1,she,m,Mismatch,"When she was near,",Donald,13.13754653930664
16,1,she,f,Match,"When she was near,",Mary,11.581546783447266
16,1,he,f,Mismatch,"When he was near,",Susan,13.97850513458252
17,1,he,m,Match,"When he was in court,",William,11.59488582611084
17,1,she,m,Mismatch,"When she was in court,",Eric,12.943400382995605
17,1,she,f,Match,"When she was in court,",Anna,12.672465324401855
17,1,he,f,Mismatch,"When he was in court,",Nicole,14.987462043762207
18,1,he,m,Match,"When he was poorly,",Mitchell,14.958893775939941
18,1,she,m,Mismatch,"When she was poorly,",Jeffrey,15.829008102416992
18,1,she,f,Match,"When she was poorly,",Julie,15.422380447387695
18,1,he,f,Mismatch,"When he was poorly,",Julia,16.089258193969727
19,1,he,m,Match,"When he arrived,",Travis,15.35786247253418
19,1,she,m,Mismatch,"When she arrived,",Ronald,14.575870513916016
19,1,she,f,Match,"When she arrived, the",sister,11.93224048614502
19,1,he,f,Mismatch,"When he arrived,",Vanessa,16.683311462402344
20,1,he,m,Match,"When he was appointed,",Eric,12.290193557739258
20,1,she,m,Mismatch,"When she was appointed,",Benjamin,14.033476829528809
20,1,she,f,Match,"When she was appointed,",Sharon,12.82275390625
20,1,he,f,Mismatch,"When he was appointed,",Grace,16.385351181030273
21,1,he,m,Match,"When he was fired, the",nephew,16.626853942871094
21,1,she,m,Mismatch,"When she was fired,",Edward,13.385024070739746
21,1,she,f,Match,"When she was fired, the",lady,12.352705001831055
21,1,he,f,Mismatch,"When he was fired,",Danielle,15.631552696228027
22,1,he,m,Match,"When he was close,",Frank,12.944106101989746
22,1,she,m,Mismatch,"When she was close,",Ronald,15.137555122375488
22,1,she,f,Match,"When she was close,",Tiffany,13.607433319091797
22,1,he,f,Mismatch,"When he was close, the",waitress,13.710027694702148
23,1,he,m,Match,"When he was retired,",Samuel,13.89029598236084
23,1,she,m,Mismatch,"When she was retired,",Steven,13.255509376525879
23,1,she,f,Match,"When she was retired, the",sister,11.449296951293945
23,1,he,f,Mismatch,"When he was retired,",Victoria,15.377490997314453
24,1,he,m,Match,"When he was abroad,",Derek,16.7263240814209
24,1,she,m,Mismatch,"When she was abroad,",Carlos,15.493071556091309
24,1,she,f,Match,"When she was abroad,",Elizabeth,11.048413276672363
24,1,he,f,Mismatch,"When he was abroad,",Meredith,17.7747745513916
25,1,he,m,Match,"When he was discovered,",Jason,12.940911293029785
25,1,she,m,Mismatch,"When she was discovered,",Eric,12.79635238647461
25,1,she,f,Match,"When she was discovered, the",waitress,12.28350830078125
25,1,he,f,Mismatch,"When he was discovered,",Beth,15.640230178833008
26,1,he,m,Match,"When he was busy,",Carlos,14.121694564819336
26,1,she,m,Mismatch,"When she was busy,",Todd,14.517987251281738
26,1,she,f,Match,"When she was busy,",Grace,13.375879287719727
26,1,he,f,Mismatch,"When he was busy,",Susan,14.259346961975098
27,1,he,m,Match,"When he was twenty-one,",Walter,12.686443328857422
27,1,she,m,Mismatch,"When she was twenty-one,",Phillip,15.420472145080566
27,1,she,f,Match,"When she was twenty-one,",Ellen,12.972066879272461
27,1,he,f,Mismatch,"When he was twenty-one, the",girlfriend,12.4752197265625
28,1,he,m,Match,"When he was annoyed,",Travis,15.805208206176758
28,1,she,m,Mismatch,"When she was annoyed,",Bradley,15.55922794342041
28,1,she,f,Match,"When she was annoyed,",Beth,14.24332046508789
28,1,he,f,Mismatch,"When he was annoyed,",Maria,14.833784103393555
29,1,he,m,Match,"When he was in church,",Roger,14.564432144165039
29,1,she,m,Mismatch,"When she was in church,",Martin,11.80514907836914
29,1,she,f,Match,"When she was in church,",Alice,14.287103652954102
29,1,he,f,Mismatch,"When he was in church,",Naomi,16.68391990661621
30,1,he,m,Match,"When he was banished,",Rodney,17.850557327270508
30,1,she,m,Mismatch,"When she was banished,",Steven,14.092486381530762
30,1,she,f,Match,"When she was banished,",Anne,13.334739685058594
30,1,he,f,Mismatch,"When he was banished, the",lady,12.380334854125977
31,1,he,m,Match,"When he was angry,",Bruce,13.963885307312012
31,1,she,m,Mismatch,"When she was angry,",Carlos,15.78847885131836
31,1,she,f,Match,"When she was angry,",Sarah,13.00889778137207
31,1,he,f,Mismatch,"When he was angry,",Laura,16.610149383544922
32,1,he,m,Match,"When he was distraught,",Charles,11.584994316101074
32,1,she,m,Mismatch,"When she was distraught,",Christopher,14.083389282226562
32,1,she,f,Match,"When she was distraught,",Alice,13.370429039001465
32,1,he,f,Mismatch,"When he was distraught, the",sister,12.052383422851562
1,1,he,m,Match,"When he was off work,",Charles,12.821585655212402
1,1,she,m,Mismatch,"When she was off work, the",grandson,14.793091773986816
1,1,she,f,Match,"When she was off work,",Danielle,12.71936321258545
1,1,he,f,Mismatch,"When he was off work,",Laurie,16.136167526245117
2,1,he,m,Match,"When he arrived, the",boy,8.119010925292969
2,1,she,m,Mismatch,"When she arrived,",Chad,14.79017162322998
2,1,she,f,Match,"When she arrived,",Veronica,14.07284164428711
2,1,he,f,Mismatch,"When he arrived,",Ellen,16.35988998413086
3,1,he,m,Match,"When he was fed up,",Eric,12.673340797424316
3,1,she,m,Mismatch,"When she was fed up,",Edward,13.868738174438477
3,1,she,f,Match,"When she was fed up,",Florence,16.196773529052734
3,1,he,f,Mismatch,"When he was fed up,",Anna,14.628296852111816
4,1,he,m,Match,"When he was talking,",Christopher,15.309246063232422
4,1,she,m,Mismatch,"When she was talking,",Travis,16.887550354003906
4,1,she,f,Match,"When she was talking,",Suzanne,16.957334518432617
4,1,he,f,Mismatch,"When he was talking,",Stephanie,15.775574684143066
5,1,he,m,Match,"When he was nearby,",Phillip,15.088051795959473
5,1,she,m,Mismatch,"When she was nearby,",Omar,16.02545928955078
5,1,she,f,Match,"When she was nearby,",Patricia,14.250520706176758
5,1,he,f,Mismatch,"When he was nearby, the",granddaughter,16.463741302490234
6,1,he,m,Match,"When he was lost,",Brett,16.65656280517578
6,1,she,m,Mismatch,"When she was lost,",Paul,11.75292682647705
6,1,she,f,Match,"When she was lost,",Cindy,14.262662887573242
6,1,he,f,Mismatch,"When he was lost, the",waitress,14.681816101074219
7,1,he,m,Match,"When he was bad-tempered,",Phillip,17.140127182006836
7,1,she,m,Mismatch,"When she was bad-tempered, the",man,7.216487407684326
7,1,she,f,Match,"When she was bad-tempered, the",granddaughter,14.22972583770752
7,1,he,f,Mismatch,"When he was bad-tempered,",Wendy,17.075241088867188
8,1,he,m,Match,"When he was jealous,",Edward,12.80029296875
8,1,she,m,Mismatch,"When she was jealous,",Jerry,14.414653778076172
8,1,she,f,Match,"When she was jealous,",Veronica,15.399187088012695
8,1,he,f,Mismatch,"When he was jealous, the",sister,10.677964210510254
9,1,he,m,Match,"When he was in residence,",George,9.931795120239258
9,1,she,m,Mismatch,"When she was in residence,",Patrick,12.971622467041016
9,1,she,f,Match,"When she was in residence,",Jill,13.618288040161133
9,1,he,f,Mismatch,"When he was in residence,",Meredith,15.896164894104004
10,1,he,m,Match,"When he was introduced,",William,11.562019348144531
10,1,she,m,Mismatch,"When she was introduced,",Douglas,14.461265563964844
10,1,she,f,Match,"When she was introduced,",Tara,14.506118774414062
10,1,he,f,Mismatch,"When he was introduced,",Jill,15.32163143157959
11,1,he,m,Match,"When he arrived,",Keith,13.909712791442871
11,1,she,m,Mismatch,"When she arrived,",Omar,14.150304794311523
11,1,she,f,Match,"When she arrived, the",grandmother,12.571139335632324
11,1,he,f,Mismatch,"When he arrived,",Anne,15.212101936340332
12,1,he,m,Match,"When he felt sad,",Andrew,13.867130279541016
12,1,she,m,Mismatch,"When she felt sad,",Adam,13.50391674041748
12,1,she,f,Match,"When she felt sad, the",lady,10.807151794433594
12,1,he,f,Mismatch,"When he felt sad,",Stephanie,16.21925926208496
13,1,he,m,Match,"When he was present,",Carlos,14.40313720703125
13,1,she,m,Mismatch,"When she was present,",Omar,15.167381286621094
13,1,she,f,Match,"When she was present,",Tiffany,14.0528564453125
13,1,he,f,Mismatch,"When he was present,",Mary,12.244905471801758
14,1,he,m,Match,"When he was depressed,",Aaron,13.624152183532715
14,1,she,m,Mismatch,"When she was depressed, the",father,8.493474006652832
14,1,she,f,Match,"When she was depressed,",Laurie,15.924878120422363
14,1,he,f,Mismatch,"When he was depressed,",Susan,14.944868087768555
15,1,he,m,Match,"When he was around,",Gary,13.12440013885498
15,1,she,m,Mismatch,"When she was around,",Douglas,15.39925479888916
15,1,she,f,Match,"When she was around,",Maria,13.88740348815918
15,1,he,f,Mismatch,"When he was around,",Elizabeth,15.043473243713379
16,1,he,m,Match,"When he was near,",Jason,13.789240837097168
16,1,she,m,Mismatch,"When she was near,",Bradley,15.833965301513672
16,1,she,f,Match,"When she was near,",Diana,13.2914400100708
16,1,he,f,Mismatch,"When he was near, the",actress,13.207948684692383
17,1,he,m,Match,"When he was in court,",Paul,10.802288055419922
17,1,she,m,Mismatch,"When she was in court,",William,12.220355987548828
17,1,she,f,Match,"When she was in court, the",lady,10.816441535949707
17,1,he,f,Mismatch,"When he was in court, the",lady,11.40774154663086
18,1,he,m,Match,"When he was poorly,",Adam,12.546092987060547
18,1,she,m,Mismatch,"When she was poorly,",Andrew,13.2078275680542
18,1,she,f,Match,"When she was poorly,",Wendy,16.06808853149414
18,1,he,f,Mismatch,"When he was poorly,",Natalie,15.887056350708008
19,1,he,m,Match,"When he arrived,",Adam,12.789571762084961
19,1,she,m,Mismatch,"When she arrived,",Andrew,13.036578178405762
19,1,she,f,Match,"When she arrived,",Pamela,14.405791282653809
19,1,he,f,Mismatch,"When he arrived,",Natalie,15.808892250061035
20,1,he,m,Match,"When he was appointed,",Mitchell,13.790023803710938
20,1,she,m,Mismatch,"When she was appointed,",Brett,15.152752876281738
20,1,she,f,Match,"When she was appointed,",Carol,13.993738174438477
20,1,he,f,Mismatch,"When he was appointed,",Wendy,17.12135887145996
21,1,he,m,Match,"When he was fired,",John,10.008254051208496
21,1,she,m,Mismatch,"When she was fired,",Mark,11.903666496276855
21,1,she,f,Match,"When she was fired,",Erin,13.417014122009277
21,1,he,f,Mismatch,"When he was fired,",Meredith,14.638345718383789
22,1,he,m,Match,"When he was close,",Mitchell,14.146032333374023
22,1,she,m,Mismatch,"When she was close,",Theodore,16.869367599487305
22,1,she,f,Match,"When she was close, the",lady,10.492843627929688
22,1,he,f,Mismatch,"When he was close,",Veronica,17.66606903076172
23,1,he,m,Match,"When he was retired,",Ronald,11.990487098693848
23,1,she,m,Mismatch,"When she was retired,",Douglas,13.248292922973633
23,1,she,f,Match,"When she was retired,",Vanessa,16.497272491455078
23,1,he,f,Mismatch,"When he was retired,",Jessica,16.678409576416016
24,1,he,m,Match,"When he was abroad,",Theodore,14.493643760681152
24,1,she,m,Mismatch,"When she was abroad,",Omar,15.020832061767578
24,1,she,f,Match,"When she was abroad,",Maria,12.403647422790527
24,1,he,f,Mismatch,"When he was abroad,",Jill,17.36650848388672
25,1,he,m,Match,"When he was discovered,",Samuel,14.422587394714355
25,1,she,m,Mismatch,"When she was discovered,",Omar,15.484204292297363
25,1,she,f,Match,"When she was discovered,",Ellen,15.083047866821289
25,1,he,f,Mismatch,"When he was discovered,",Patricia,16.137691497802734
26,1,he,m,Match,"When he was busy,",Curtis,15.214594841003418
26,1,she,m,Mismatch,"When she was busy,",Paul,12.325827598571777
26,1,she,f,Match,"When she was busy,",Wendy,13.380495071411133
26,1,he,f,Mismatch,"When he was busy,",Cindy,16.97334098815918
27,1,he,m,Match,"When he was twenty-one,",Andrew,11.789292335510254
27,1,she,m,Mismatch,"When she was twenty-one,",Carlos,14.739980697631836
27,1,she,f,Match,"When she was twenty-one,",Susan,11.585747718811035
27,1,he,f,Mismatch,"When he was twenty-one,",Elizabeth,12.72948932647705
28,1,he,m,Match,"When he was annoyed, the",grandson,13.844743728637695
28,1,she,m,Mismatch,"When she was annoyed,",Douglas,16.635957717895508
28,1,she,f,Match,"When she was annoyed,",Denise,16.476709365844727
28,1,he,f,Mismatch,"When he was annoyed, the",sister,13.125068664550781
29,1,he,m,Match,"When he was in church,",Mitchell,15.059920310974121
29,1,she,m,Mismatch,"When she was in church,",Steven,14.130426406860352
29,1,she,f,Match,"When she was in church, the",lady,8.80697250366211
29,1,he,f,Mismatch,"When he was in church, the",waitress,12.28049087524414
30,1,he,m,Match,"When he was banished, the",boy,8.67025375366211
30,1,she,m,Mismatch,"When she was banished,",Ronald,15.991073608398438
30,1,she,f,Match,"When she was banished,",Connie,15.408544540405273
30,1,he,f,Mismatch,"When he was banished,",Victoria,15.700138092041016
31,1,he,m,Match,"When he was angry,",Dan,12.847579956054688
31,1,she,m,Mismatch,"When she was angry,",Omar,17.2651309967041
31,1,she,f,Match,"When she was angry,",Tara,15.5726900100708
31,1,he,f,Mismatch,"When he was angry, the",girl,8.78869915008545
32,1,he,m,Match,"When he was distraught,",Bradley,13.871186256408691
32,1,she,m,Mismatch,"When she was distraught,",Douglas,15.513748168945312
32,1,she,f,Match,"When she was distraught,",Meredith,15.503973960876465
32,1,he,f,Mismatch,"When he was distraught,",Julie,14.816556930541992
1,1,he,m,Match,"When he was off work, the",guy,8.038653373718262
1,1,she,m,Mismatch,"When she was off work,",Kenneth,16.19659423828125
1,1,she,f,Match,"When she was off work,",Leslie,14.68452262878418
1,1,he,f,Mismatch,"When he was off work,",Jane,14.538969039916992
2,1,he,m,Match,"When he arrived, the",husband,12.189271926879883
2,1,she,m,Mismatch,"When she arrived,",Martin,12.315855979919434
2,1,she,f,Match,"When she arrived,",Erin,13.602594375610352
2,1,he,f,Mismatch,"When he arrived,",Paula,15.621184349060059
3,1,he,m,Match,"When he was fed up, the",grandson,13.44517707824707
3,1,she,m,Mismatch,"When she was fed up,",Phillip,16.484357833862305
3,1,she,f,Match,"When she was fed up,",Stacy,14.836230278015137
3,1,he,f,Mismatch,"When he was fed up,",Diana,16.411771774291992
4,1,he,m,Match,"When he was talking,",Ronald,14.693309783935547
4,1,she,m,Mismatch,"When she was talking,",Aaron,14.530537605285645
4,1,she,f,Match,"When she was talking,",Alice,12.312286376953125
4,1,he,f,Mismatch,"When he was talking,",Mary,12.861510276794434
5,1,he,m,Match,"When he was nearby,",Travis,15.732078552246094
5,1,she,m,Mismatch,"When she was nearby,",George,12.05178451538086
5,1,she,f,Match,"When she was nearby, the",grandmother,12.162871360778809
5,1,he,f,Mismatch,"When he was nearby,",Emily,14.32120418548584
6,1,he,m,Match,"When he was lost,",Theodore,15.215998649597168
6,1,she,m,Mismatch,"When she was lost,",Gary,14.173605918884277
6,1,she,f,Match,"When she was lost,",Jane,12.337337493896484
6,1,he,f,Mismatch,"When he was lost,",Ellen,15.501110076904297
7,1,he,m,Match,"When he was bad-tempered,",Mitchell,15.163817405700684
7,1,she,m,Mismatch,"When she was bad-tempered,",Peter,13.098146438598633
7,1,she,f,Match,"When she was bad-tempered,",Ruth,14.250259399414062
7,1,he,f,Mismatch,"When he was bad-tempered,",Susan,15.362171173095703
8,1,he,m,Match,"When he was jealous,",Adam,11.794296264648438
8,1,she,m,Mismatch,"When she was jealous,",Gerald,15.584673881530762
8,1,she,f,Match,"When she was jealous, the",actress,9.712448120117188
8,1,he,f,Mismatch,"When he was jealous,",Danielle,16.003055572509766
9,1,he,m,Match,"When he was in residence,",Raymond,13.89368724822998
9,1,she,m,Mismatch,"When she was in residence,",Curtis,14.138134956359863
9,1,she,f,Match,"When she was in residence,",Tara,15.170040130615234
9,1,he,f,Mismatch,"When he was in residence,",Jane,14.354930877685547
10,1,he,m,Match,"When he was introduced,",Paul,9.650294303894043
10,1,she,m,Mismatch,"When she was introduced,",Travis,15.85034465789795
10,1,she,f,Match,"When she was introduced,",Caroline,13.182230949401855
10,1,he,f,Mismatch,"When he was introduced,",Rachel,13.746585845947266
11,1,he,m,Match,"When he arrived,",Jason,13.18842887878418
11,1,she,m,Mismatch,"When she arrived,",Curtis,14.734467506408691
11,1,she,f,Match,"When she arrived,",Samantha,13.878329277038574
11,1,he,f,Mismatch,"When he arrived,",Grace,14.391436576843262
12,1,he,m,Match,"When he felt sad,",Kenneth,16.77083969116211
12,1,she,m,Mismatch,"When she felt sad, the",boy,8.878643035888672
12,1,she,f,Match,"When she felt sad,",Sandra,14.792227745056152
12,1,he,f,Mismatch,"When he felt sad,",Mary,13.529532432556152
13,1,he,m,Match,"When he was present,",Aaron,13.051435470581055
13,1,she,m,Mismatch,"When she was present,",Jerry,14.650805473327637
13,1,she,f,Match,"When she was present,",Donna,13.769946098327637
13,1,he,f,Mismatch,"When he was present,",Erin,17.281503677368164
14,1,he,m,Match,"When he was depressed, the",grandson,13.259293556213379
14,1,she,m,Mismatch,"When she was depressed,",Christopher,14.204225540161133
14,1,she,f,Match,"When she was depressed,",Gina,15.266071319580078
14,1,he,f,Mismatch,"When he was depressed,",Sonia,16.003995895385742
15,1,he,m,Match,"When he was around,",Bill,10.588942527770996
15,1,she,m,Mismatch,"When she was around,",Eric,13.328947067260742
15,1,she,f,Match,"When she was around,",Tara,14.981334686279297
15,1,he,f,Mismatch,"When he was around,",Nicole,15.794583320617676
16,1,he,m,Match,"When he was near,",Mark,12.981247901916504
16,1,she,m,Mismatch,"When she was near,",Keith,15.239933967590332
16,1,she,f,Match,"When she was near,",Sonia,15.271524429321289
16,1,he,f,Mismatch,"When he was near,",Kathleen,17.53569984436035
17,1,he,m,Match,"When he was in court,",Curtis,13.959845542907715
17,1,she,m,Mismatch,"When she was in court,",Gary,14.020609855651855
17,1,she,f,Match,"When she was in court, the",granddaughter,15.940720558166504
17,1,he,f,Mismatch,"When he was in court,",Erin,15.759692192077637
18,1,he,m,Match,"When he was poorly, the",brother,12.31233024597168
18,1,she,m,Mismatch,"When she was poorly,",Todd,14.364749908447266
18,1,she,f,Match,"When she was poorly,",Anna,11.206642150878906
18,1,he,f,Mismatch,"When he was poorly,",Meredith,18.385555267333984
19,1,he,m,Match,"When he arrived,",Bill,11.272778511047363
19,1,she,m,Mismatch,"When she arrived,",Bill,11.473060607910156
19,1,she,f,Match,"When she arrived,",Erin,13.602596282958984
19,1,he,f,Mismatch,"When he arrived,",Anne,15.212099075317383
20,1,he,m,Match,"When he was appointed,",Carlos,14.801589965820312
20,1,she,m,Mismatch,"When she was appointed,",Travis,16.506500244140625
20,1,she,f,Match,"When she was appointed, the",lady,11.725639343261719
20,1,he,f,Mismatch,"When he was appointed,",Rachel,15.360387802124023
21,1,he,m,Match,"When he was fired,",Phillip,15.390789031982422
21,1,she,m,Mismatch,"When she was fired,",Andrew,13.148659706115723
21,1,she,f,Match,"When she was fired,",Kathleen,12.896018028259277
21,1,he,f,Mismatch,"When he was fired,",Diana,17.467214584350586
22,1,he,m,Match,"When he was close,",Kevin,12.717093467712402
22,1,she,m,Mismatch,"When she was close,",Adam,12.858572006225586
22,1,she,f,Match,"When she was close,",Susan,12.81132984161377
22,1,he,f,Mismatch,"When he was close,",Monica,15.56661319732666
23,1,he,m,Match,"When he was retired,",Andrew,12.250458717346191
23,1,she,m,Mismatch,"When she was retired,",Dennis,13.664339065551758
23,1,she,f,Match,"When she was retired, the",lady,10.719012260437012
23,1,he,f,Mismatch,"When he was retired,",Martha,15.604995727539062
24,1,he,m,Match,"When he was abroad, the",boy,8.726832389831543
24,1,she,m,Mismatch,"When she was abroad,",Jerry,16.430200576782227
24,1,she,f,Match,"When she was abroad,",Wendy,14.974275588989258
24,1,he,f,Mismatch,"When he was abroad,",Erin,18.238737106323242
25,1,he,m,Match,"When he was discovered,",Steven,13.442627906799316
25,1,she,m,Mismatch,"When she was discovered,",George,12.261472702026367
25,1,she,f,Match,"When she was discovered,",Susan,12.754229545593262
25,1,he,f,Mismatch,"When he was discovered,",Valerie,16.543907165527344
26,1,he,m,Match,"When he was busy,",Alan,13.703333854675293
26,1,she,m,Mismatch,"When she was busy,",Daniel,13.668497085571289
26,1,she,f,Match,"When she was busy, the",granddaughter,14.574685096740723
26,1,he,f,Mismatch,"When he was busy,",Ruth,15.132743835449219
27,1,he,m,Match,"When he was twenty-one, the",boyfriend,12.817249298095703
27,1,she,m,Mismatch,"When she was twenty-one,",Eric,13.424482345581055
27,1,she,f,Match,"When she was twenty-one,",Barbara,12.20177173614502
27,1,he,f,Mismatch,"When he was twenty-one,",Alice,13.67138385772705
28,1,he,m,Match,"When he was annoyed,",Vincent,14.150663375854492
28,1,she,m,Mismatch,"When she was annoyed,",Ronald,15.33566665649414
28,1,she,f,Match,"When she was annoyed,",Barbara,13.807470321655273
28,1,he,f,Mismatch,"When he was annoyed, the",granddaughter,16.3134765625
29,1,he,m,Match,"When he was in church, the",brother,10.179887771606445
29,1,she,m,Mismatch,"When she was in church,",Ronald,14.545148849487305
29,1,she,f,Match,"When she was in church,",Victoria,15.388519287109375
29,1,he,f,Mismatch,"When he was in church, the",granddaughter,16.84343719482422
30,1,he,m,Match,"When he was banished,",Bill,12.3245267868042
30,1,she,m,Mismatch,"When she was banished,",Jeffrey,16.3170223236084
30,1,she,f,Match,"When she was banished,",Susan,12.50488567352295
30,1,he,f,Mismatch,"When he was banished,",Ellen,16.41486358642578
31,1,he,m,Match,"When he was angry,",Todd,15.22143840789795
31,1,she,m,Mismatch,"When she was angry,",William,14.404001235961914
31,1,she,f,Match,"When she was angry,",Jessica,14.211159706115723
31,1,he,f,Mismatch,"When he was angry,",Connie,18.012741088867188
32,1,he,m,Match,"When he was distraught,",Travis,15.700940132141113
32,1,she,m,Mismatch,"When she was distraught,",Eric,13.123533248901367
32,1,she,f,Match,"When she was distraught,",Diana,13.539142608642578
32,1,he,f,Mismatch,"When he was distraught,",Laurie,16.751272201538086
1,1,he,m,Match,"When he was off work,",Mitchell,14.391546249389648
1,1,she,m,Mismatch,"When she was off work,",Jerry,14.825678825378418
1,1,she,f,Match,"When she was off work,",Alice,13.7953462600708
1,1,he,f,Mismatch,"When he was off work,",Paula,15.487458229064941
2,1,he,m,Match,"When he arrived, the",brother,12.546441078186035
2,1,she,m,Mismatch,"When she arrived,",Frank,12.565356254577637
2,1,she,f,Match,"When she arrived,",Barbara,13.060656547546387
2,1,he,f,Mismatch,"When he arrived, the",grandmother,14.15943431854248
3,1,he,m,Match,"When he was fed up,",Kenneth,16.378095626831055
3,1,she,m,Mismatch,"When she was fed up,",Kenneth,16.93659019470215
3,1,she,f,Match,"When she was fed up,",Andrea,13.5330171585083
3,1,he,f,Mismatch,"When he was fed up,",Laurie,16.99550437927246
4,1,he,m,Match,"When he was talking,",Jeffrey,14.951356887817383
4,1,she,m,Mismatch,"When she was talking,",Adam,13.865123748779297
4,1,she,f,Match,"When she was talking,",Anna,9.842270851135254
4,1,he,f,Mismatch,"When he was talking,",Anne,15.538431167602539
5,1,he,m,Match,"When he was nearby,",Theodore,16.19317626953125
5,1,she,m,Mismatch,"When she was nearby, the",brother,12.224127769470215
5,1,she,f,Match,"When she was nearby,",Katherine,14.664698600769043
5,1,he,f,Mismatch,"When he was nearby,",Rebecca,15.840460777282715
6,1,he,m,Match,"When he was lost,",Jerry,14.468559265136719
6,1,she,m,Mismatch,"When she was lost,",Bill,11.398031234741211
6,1,she,f,Match,"When she was lost,",Valerie,15.060914993286133
6,1,he,f,Mismatch,"When he was lost,",April,15.122599601745605
7,1,he,m,Match,"When he was bad-tempered, the",brother,11.940446853637695
7,1,she,m,Mismatch,"When she was bad-tempered,",Lawrence,15.121980667114258
7,1,she,f,Match,"When she was bad-tempered,",Barbara,14.222508430480957
7,1,he,f,Mismatch,"When he was bad-tempered,",Sonia,16.0979061126709
8,1,he,m,Match,"When he was jealous,",Todd,15.211869239807129
8,1,she,m,Mismatch,"When she was jealous,",Craig,15.684794425964355
8,1,she,f,Match,"When she was jealous,",Monica,13.923020362854004
8,1,he,f,Mismatch,"When he was jealous,",Wendy,16.453567504882812
9,1,he,m,Match,"When he was in residence,",Lawrence,12.269482612609863
9,1,she,m,Mismatch,"When she was in residence,",Alan,14.606376647949219
9,1,she,f,Match,"When she was in residence, the",grandmother,11.77658462524414
9,1,he,f,Mismatch,"When he was in residence,",Paula,15.248376846313477
10,1,he,m,Match,"When he was introduced,",Roger,13.474810600280762
10,1,she,m,Mismatch,"When she was introduced,",Kenneth,15.529364585876465
10,1,she,f,Match,"When she was introduced,",Jessica,11.994226455688477
10,1,he,f,Mismatch,"When he was introduced, the",waitress,12.3132963180542
11,1,he,m,Match,"When he arrived,",Frank,12.436713218688965
11,1,she,m,Mismatch,"When she arrived,",Alan,14.171883583068848
11,1,she,f,Match,"When she arrived,",Allison,13.811110496520996
11,1,he,f,Mismatch,"When he arrived,",Victoria,13.79576587677002
12,1,he,m,Match,"When he felt sad,",Paul,11.730708122253418
12,1,she,m,Mismatch,"When she felt sad, the",husband,11.190958976745605
12,1,she,f,Match,"When she felt sad,",Jane,12.974616050720215
12,1,he,f,Mismatch,"When he felt sad,",Grace,16.897464752197266
13,1,he,m,Match,"When he was present,",Gary,14.319440841674805
13,1,she,m,Mismatch,"When she was present,",Gary,14.389876365661621
13,1,she,f,Match,"When she was present,",Victoria,12.848504066467285
13,1,he,f,Mismatch,"When he was present,",Laurie,17.663497924804688
14,1,he,m,Match,"When he was depressed,",Gary,13.262553215026855
14,1,she,m,Mismatch,"When she was depressed,",Dan,12.775245666503906
14,1,she,f,Match,"When she was depressed,",Valerie,14.785785675048828
14,1,he,f,Mismatch,"When he was depressed, the",actress,10.71786880493164
15,1,he,m,Match,"When he was around,",Alan,14.02314567565918
15,1,she,m,Mismatch,"When she was around,",Mitchell,14.276188850402832
15,1,she,f,Match,"When she was around,",Melanie,15.811429977416992
15,1,he,f,Mismatch,"When he was around,",Natalie,16.548654556274414
16,1,he,m,Match,"When he was near,",Carlos,14.388301849365234
